company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
capital one financial corp,COF,2023-10-01,2023-12-31,58089000000.0,-193630.0,-2130.0,0.8785927467897271,1.1381837644959858,-35.52052410686867,97.69,96.59,97.05,131.81,130.6451,131.12
capital one financial corp,COF,2023-07-01,2023-09-30,53668000000.0,140.30849673202616,4.457516339869281,0.8861603402377847,1.1284639523945166,0.028364663501094452,110.42,108.73,109.37,97.69,96.59,97.05
capital one financial corp,COF,2023-04-01,2023-06-30,54559000000.0,142.52612330198536,3.5292580982236155,0.883371098760154,-8.57420407265529,-0.1131991408972152,94.94,94.02,96.16,109.05,107.98,109.26
capital one financial corp,COF,2023-01-01,2023-03-31,54653000000.0,142.8463146889702,2.318348144276006,0.8841262774032141,-8.630084350355881,0.4489638699902998,91.51,91.235,92.96,95.52,93.95,94.18
capital one financial corp,COF,2022-10-01,2022-12-31,52582000000.0,-16961.935483870966,-374.51612903225805,0.8844983734176242,1.1305843289864825,-31.831579816267638,93.79,92.02,92.17,91.51,91.235,92.96
capital one financial corp,COF,2022-07-01,2022-09-30,50861000000.0,132.65779864371413,4.214919144496609,0.8855080228349151,1.129295245455308,0.15327853492765295,103.0,101.57,104.19,93.34,91.94,93.68
capital one financial corp,COF,2022-04-01,2022-06-30,53410000000.0,136.52862985685073,4.982106339468302,0.8786930372846864,-8.24354989702303,0.12380342444165918,133.92,131.29,131.29,107.9,105.35,105.61
capital one financial corp,COF,2022-01-01,2022-03-31,56345000000.0,137.2928849902534,5.648148148148148,0.8702311173551054,-7.706007631555595,0.055787935629047845,145.75,145.34,145.49,135.7,133.56,134.47
capital one financial corp,COF,2021-10-01,2021-12-31,61029000000.0,-9108.805970149253,-342.6865671641791,0.8588536499059857,1.1643427260389065,-6.21357117201697,167.88,161.85,161.97,145.75,145.34,145.49
capital one financial corp,COF,2021-07-01,2021-09-30,63544000000.0,144.81312670920693,6.807201458523245,0.8506172171979209,1.1756169282514308,-0.04194891360765818,153.69,153.6201,154.69,168.62,165.92,166.55
capital one financial corp,COF,2021-04-01,2021-06-30,64624000000.0,143.41766533510875,7.647581003106969,0.8473761277218838,-6.552054964100025,-0.1087130883496609,128.22,126.905,127.23,157.37,153.82,154.15
capital one financial corp,COF,2021-01-01,2021-03-31,61188000000.0,133.42346271260357,7.056258177060619,0.8560874933850767,-6.948666405177486,0.05774006069937788,98.0,97.06,98.85,127.22,126.46,128.56
capital one financial corp,COF,2020-10-01,2020-12-31,60204000000.0,150510.0,6165.0,0.8572018159306645,1.1665864227250842,-103.28919566136076,70.99,70.73,71.86,96.5,95.97,97.88
capital one financial corp,COF,2020-07-01,2020-09-30,58424000000.0,127.61904761904762,5.065530799475754,0.8615161075464051,1.1607444030826035,-0.015411560443717826,62.08,61.65,62.59,71.19,69.75,70.45
capital one financial corp,COF,2020-04-01,2020-06-30,56045000000.0,122.71731990365667,-2.209327786292971,0.8669700163305609,-7.517102328486038,0.968691393168291,52.97,50.0,50.42,61.84,60.76,62.38
capital one financial corp,COF,2020-01-01,2020-03-31,56830000000.0,124.19143356643356,-3.1031468531468533,0.8568073816134933,-6.983600211156079,0.10879650800107564,102.46,102.375,102.91,54.59,52.3168,53.87
capital one financial corp,COF,2019-10-01,2019-12-31,58011000000.0,-25222.17391304348,-452.60869565217394,0.8513929271322993,1.1745458156062512,-43.56819956924097,91.85,90.86,90.98,103.39,102.49,102.64
capital one financial corp,COF,2019-07-01,2019-09-30,58235000000.0,124.03620873269436,2.7050053248136314,0.8462685779150497,1.181657958356079,0.09597768501115432,90.21,89.34,90.74,91.8,90.76,91.34
capital one financial corp,COF,2019-04-01,2019-06-30,55767000000.0,118.45157179269329,3.256159728122345,0.850738318982707,-6.699643158140119,,,,,90.21,89.34,90.74
capital one financial corp,COF,2019-01-01,2019-03-31,53481000000.0,113.93481039625053,2.871751171708564,0.856692685514924,-6.97801088236944,,,,,,,
capital one financial corp,COF,2018-10-01,2018-12-31,51668000000.0,-15656.969696969696,-355.45454545454544,0.8613081081661468,1.161024714058653,,,,,,,
capital one financial corp,COF,2018-07-01,2018-09-30,50638000000.0,105.98158225198829,3.01381331100879,0.8604663979124243,1.1621604311639568,,,,,,,
capital one financial corp,COF,2018-04-01,2018-06-30,49926000000.0,102.91898577612864,3.7394351680065965,0.862836514290267,1.1589681051254048,,,,,,,
capital one financial corp,COF,2018-01-01,2018-03-31,49203000000.0,101.05360443622921,2.6370918052988293,0.8644011277169794,1.1568703093217367,,,,,,,
capital one financial corp,COF,2017-10-01,2017-12-31,48730000000.0,97460.0,-2086.0,0.8667461504595385,1.1537403419326546,,,,,,,
capital one financial corp,COF,2017-07-01,2017-09-30,50154000000.0,103.43163538873995,2.15920808414106,0.8612237895750439,1.1611383848249628,,,,,,,
capital one financial corp,COF,2017-04-01,2017-06-30,49137000000.0,101.52272727272727,1.9586776859504131,0.8598460322938564,1.162998911947349,,,,,,,
capital one financial corp,COF,2017-01-01,2017-03-31,48040000000.0,99.60605432303545,1.5591955214596724,0.8621714593930839,1.159862100635921,,,,,,,
capital one financial corp,COF,2016-10-01,2016-12-31,47514000000.0,98.27094105480869,1.468459152016546,0.8669198645503357,1.1535091545268628,,,,,,,
capital one financial corp,COF,2016-07-01,2016-09-30,48213000000.0,96.21432847734982,1.9197764917182198,0.8602768785808886,1.1624164555597478,,,,,,,
capital one financial corp,COF,2016-04-01,2016-06-30,48108000000.0,94.01602501465703,1.7021692397889387,0.8581374569838728,1.1653144748100575,,,,,,,
capital one financial corp,COF,2016-01-01,2016-03-31,47707000000.0,91.13085004775549,1.8529130850047755,0.8555847505342883,1.1687912849960551,,,,,,,
capital one financial corp,COF,2015-10-01,2015-12-31,47284000000.0,89.08063300678222,1.59758854559156,0.8584514800268225,1.1648882007504429,,,,,,,
capital one financial corp,COF,2015-07-01,2015-09-30,47685000000.0,88.20754716981132,1.9959304476507584,0.847991711826586,1.17925680882657,,,,,,,
capital one financial corp,COF,2015-04-01,2015-06-30,46659000000.0,85.51869501466275,1.5212609970674487,0.849734308073814,1.1768384429090661,,,,,,,
capital one financial corp,COF,2015-01-01,2015-03-31,45730000000.0,83.11523082515448,2.0265358051617595,0.8506648727728722,1.1755510683547414,,,,,,,
capital one financial corp,COF,2014-10-01,2014-12-31,45053000000.0,81.27909074508389,1.7571712069276566,0.8541284878939563,1.1707840379680137,,,,,,,
capital one financial corp,COF,2014-07-01,2014-09-30,44018000000.0,78.61761028755134,1.8860510805500983,0.8533720628110406,-6.822772727272727,,,,,,,
capital one financial corp,COF,2014-04-01,2014-06-30,43815000000.0,77.20704845814979,2.0740088105726873,0.8531260370679512,1.1721597472711414,,,,,,,
capital one financial corp,COF,2014-01-01,2014-03-31,42801000000.0,74.95796847635727,1.989492119089317,0.8526643717728055,1.1727943996544192,,,,,,,
capital one financial corp,COF,2013-10-01,2013-12-31,41744000000.0,-24555.29411764706,-495.29411764705884,0.8594705232824325,1.1635070347507286,,,,,,,
capital one financial corp,COF,2013-07-01,2013-09-30,41750000000.0,71.69843723166753,1.8873432938347932,0.8559788608014129,-6.93511961722488,,,,,,,
capital one financial corp,COF,2013-04-01,2013-06-30,41041000000.0,70.51718213058419,1.8900343642611683,0.8616013920456461,1.1606295082993805,,,,,,,
capital one financial corp,COF,2013-01-01,2013-03-31,41296000000.0,71.07745266781411,1.8037865748709123,0.8624214176963849,1.1595259341669661,,,,,,,
capital one financial corp,COF,2012-10-01,2012-12-31,40499000000.0,6749.833333333333,137.5,0.8705763171182227,1.1486643736303268,,,,,,,
capital one financial corp,COF,2012-07-01,2012-09-30,39672000000.0,68.63667820069205,2.0294117647058822,0.8686309766249765,-7.6067758186397985,,,,,,,
capital one financial corp,COF,2012-04-01,2012-06-30,37192000000.0,64.34602076124567,0.15916955017301038,0.8745936905709237,1.1433880792659419,,,,,,,
capital one financial corp,COF,2012-01-01,2012-03-31,36950000000.0,72.59332023575638,2.742632612966601,0.8745250118004217,1.1434778725667978,,,,,,,
capital one financial corp,COF,2011-10-01,2011-12-31,29666000000.0,29666.0,381.0,0.8560035724860329,1.1682194235425538,,,,,,,
capital one financial corp,COF,2011-07-01,2011-09-30,29378000000.0,64.42543859649123,1.7828947368421053,0.8532186182225153,1.1720325584118991,,,,,,,
capital one financial corp,COF,2011-04-01,2011-06-30,28681000000.0,62.896929824561404,1.9978070175438596,0.8564176758296497,1.1676545548073325,,,,,,,
capital one financial corp,COF,2011-01-01,2011-03-31,27550000000.0,60.68281938325991,2.237885462555066,0.861766181635725,1.1604075691411937,,,,,,,
capital one financial corp,COF,2009-10-01,2009-12-31,26589410000.0,,,0.8432656643514368,1.1858659047491387,,,,,,,
capital one financial corp,COF,2009-07-01,2009-09-30,26222152000.0,,,0.8443825411041919,1.1842973431121735,,,,,,,
capital one financial corp,COF,2009-04-01,2009-06-30,25329576000.0,,,0.852659045864854,1.172801725202713,,,,,,,
capital one financial corp,COF,2009-01-01,2009-03-30,,,,,,,,,,,,
