company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
central pacific financial corp,CPF,2023-10-01,2023-12-31,503815000.0,90941.3357400722,2683.3935018050543,0.9340797530118559,1.0705723968168566,-376.02544895359654,16.41,16.37,16.68,20.01,19.66,19.68
central pacific financial corp,CPF,2023-07-01,2023-09-30,468598000.0,17.328037720407405,0.4859340920871914,0.9386485123444538,1.0653615137601498,0.1405250011837776,16.29,15.7,15.71,16.41,16.37,16.68
central pacific financial corp,CPF,2023-04-01,2023-06-30,476279000.0,17.62426887790254,0.5356341388296341,0.9370633353383745,-15.888989436863687,0.055443089048045964,17.61,17.59,17.9,16.09,16.09,16.22
central pacific financial corp,CPF,2023-01-01,2023-03-31,470926000.0,17.44226056402245,0.5995376593134195,0.9373872444290156,-15.971186555849538,0.13054648934064883,20.29,20.155,20.28,18.44,17.47,17.59
central pacific financial corp,CPF,2022-10-01,2022-12-31,452871000.0,-5100.358140373007,-227.283989548608,0.9390709753560015,1.0648822360002133,-31.828314563754258,20.46,20.3,20.69,20.29,20.155,20.28
central pacific financial corp,CPF,2022-07-01,2022-09-30,438468000.0,16.027860757913974,0.6110039787818771,0.9402439288647794,1.0635537963083348,0.0645751132725525,21.17,21.01,21.45,20.85,20.19,20.34
central pacific financial corp,CPF,2022-04-01,2022-06-30,455100000.0,16.539297239409215,0.6394031984842139,0.9376505135235775,-16.038624478136672,0.015100240085264137,28.06,27.78,27.9,22.02,21.41,21.49
central pacific financial corp,CPF,2022-01-01,2022-03-31,486378000.0,17.627890439735005,0.7044951341704786,0.9333620959774451,-15.00647438823302,-0.06814587887591324,28.39,28.02,28.11,28.76,27.78,28.06
central pacific financial corp,CPF,2021-10-01,2021-12-31,558267000.0,-7076.703681168238,-283.0214988337897,0.9247526212450073,1.0813702789549124,-52.33155136659204,26.19,25.66,25.68,28.39,28.02,28.11
central pacific financial corp,CPF,2021-07-01,2021-09-30,555467000.0,19.861452151848912,0.7442676640389709,0.9238901865397244,1.0823797184656025,0.14701249843725162,25.8,25.8,26.06,25.7,25.65,26.09
