company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"camping world holdings, inc.",CWH,2023-10-01,2023-12-31,214207000.0,,,0.9557942697047517,1.2060093262328149,,20.53,20.23,20.41,26.88,25.79,26.26
"camping world holdings, inc.",CWH,2023-07-01,2023-09-30,270855000.0,,,0.9418424012922623,1.3119102727055059,,30.01,29.6,30.1,20.53,20.23,20.41
"camping world holdings, inc.",CWH,2023-04-01,2023-06-30,258243000.0,,,0.9462340204530706,1.326798042072849,,20.05,20.02,20.87,28.88,28.68,28.71
"camping world holdings, inc.",CWH,2023-01-01,2023-03-31,225753000.0,,,0.9512466545283428,1.3882192548346008,,21.97,21.931,22.32,20.01,19.72,19.92
"camping world holdings, inc.",CWH,2022-10-01,2022-12-31,247686000.0,,,0.9484003302398865,1.326510807139992,,24.81,24.17,25.32,21.97,21.931,22.32
"camping world holdings, inc.",CWH,2022-07-01,2022-09-30,337498000.0,8.038537572942717,0.9795403120161963,0.9251897310493937,1.4158125140033435,-0.24268879493132708,21.38,20.8501,21.59,25.13,23.13,24.68
"camping world holdings, inc.",CWH,2022-04-01,2022-06-30,299931000.0,7.1862136713228075,2.020054148597168,0.9349432932903947,1.3938769758545728,-0.291785294164716,28.91,27.8,27.95,21.71,20.87,21.76
"camping world holdings, inc.",CWH,2022-01-01,2022-03-31,210170000.0,4.825614768213441,1.027024544807476,0.9555434280232722,1.3299070355393416,0.09287531933871189,41.09,40.8,40.86,30.12,28.9,29.05
"camping world holdings, inc.",CWH,2021-10-01,2021-12-31,233894000.0,,,0.9465131951604977,1.4289208126267343,,40.15,38.4,38.87,41.09,40.8,40.86
"camping world holdings, inc.",CWH,2021-07-01,2021-09-30,285900000.0,6.265889366178662,1.7468002103971245,0.9244967307005166,1.4148297157797463,-0.05934328385651889,40.05,39.47,40.99,40.62,40.05,40.38
"camping world holdings, inc.",CWH,2021-04-01,2021-06-30,215475000.0,4.685970902289977,2.374529717504295,0.9417134500930799,1.3830795943449181,-0.16919494919290257,37.22,36.22,36.38,40.51,40.17,40.22
"camping world holdings, inc.",CWH,2021-01-01,2021-03-31,124650000.0,2.8599944933920707,1.4299284140969164,0.9654053664006039,1.4466176027473594,0.04137948976003817,27.27,25.89,26.05,34.6,34.31,36.79
"camping world holdings, inc.",CWH,2020-10-01,2020-12-31,-9231000.0,-8.988315481986367,14.0,1.0028346984781806,1.4429692879236635,-0.8025133248967765,28.7,28.7,29.75,27.66,27.2501,27.36
"camping world holdings, inc.",CWH,2020-07-01,2020-09-30,32218000.0,0.8078736208625877,1.455616850551655,0.9902571639389871,1.5696442617297537,-0.14993288493378273,26.31,26.04,27.16,28.72,28.5,28.85
"camping world holdings, inc.",CWH,2020-04-01,2020-06-30,-69939000.0,-1.8583499402152253,1.543164607413312,1.0214237731314353,1.4248375606350798,-1.8362955507067211,5.9,5.545,5.69,25.8,25.1814,26.87
