company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
graftech international ltd,EAF,2023-10-01,2023-12-31,78247000.0,1420.9933714700808,-3948.224825206574,0.9392911259231788,3.541421096550385,-0.8114201591542685,3.76,3.72,3.83,2.22,2.165,2.19
graftech international ltd,EAF,2023-07-01,2023-09-30,288878000.0,1.1236449221211398,-0.0879886034357144,0.8052260567914803,4.2149428343525654,-0.001390047181757623,5.09,4.97,5.04,3.76,3.72,3.83
graftech international ltd,EAF,2023-04-01,2023-06-30,1846486000.0,7.184667242775125,-0.03054819940309729,-0.21027558967380974,4.1017625983072845,0.016025581283860512,4.83,4.76,4.86,4.9,4.9,5.0
graftech international ltd,EAF,2023-01-01,2023-03-31,1885746000.0,7.338249652580861,-0.028675951952101906,-0.21250111718157752,3.838442711881513,0.0006812113837191046,4.61,4.575,4.76,4.72,4.68,4.83
graftech international ltd,EAF,2022-10-01,2022-12-31,337715000.0,-533.1343179909449,-79.45511262100365,0.7894778509616763,3.4274590922086,0.010937539808087593,4.33,4.29,4.31,4.61,4.575,4.76
graftech international ltd,EAF,2022-07-01,2022-09-30,271001000.0,1.0551002667622353,0.3638369416688413,0.8270537924538296,3.207305559778217,0.0014436675353338422,7.09,7.005,7.07,4.19,4.07,4.35
graftech international ltd,EAF,2022-04-01,2022-06-30,1711489000.0,6.612007618997933,0.44426872750096863,-0.12875396368970046,2.733385654316481,-0.02943340012964552,9.89,9.58,9.62,7.6,7.095,7.2
graftech international ltd,EAF,2022-01-01,2022-03-31,1619209000.0,6.166253431858741,0.4729122984917413,-0.09125531404417295,2.6280470479152958,-0.03285102255204657,12.0,11.74,11.74,10.61,9.855,9.89
graftech international ltd,EAF,2021-10-01,2021-12-31,23402000.0,-21.733093980168853,-131.39039980831936,0.9834300773621805,2.6766409883658966,9.496898762347914,10.85,10.19,10.32,12.0,11.74,11.74
graftech international ltd,EAF,2021-07-01,2021-09-30,-110701000.0,-0.41444578117080805,0.44883286439547515,1.079461162003121,2.463505181526625,-0.048148228672041105,11.37,11.28,11.62,10.83,10.64,10.86
graftech international ltd,EAF,2021-04-01,2021-06-30,1220580000.0,4.561880520036888,0.10526582841504772,0.1263724465694204,2.805286196380246,-0.017868810782418573,12.1,12.0,12.23,11.47,11.345,11.5
graftech international ltd,EAF,2021-01-01,2021-03-31,1144280000.0,4.280580876336223,0.3695923288016416,0.16968103671593424,2.868170204402516,-0.056117059325177625,10.45,10.37,10.66,11.55,11.49,11.91
graftech international ltd,EAF,2020-10-01,2020-12-31,-329385000.0,-40886.916583912614,15528.301886792453,1.229903148713768,3.1761192975016783,-2721.3996407172267,7.12,6.815,6.84,9.64,9.62,10.39
graftech international ltd,EAF,2020-07-01,2020-09-30,-472107000.0,-1.7664331456218823,0.352585454239256,1.3216888379512248,3.0998199234438935,-0.07093522085161358,8.01,7.74,7.98,7.38,7.11,7.14
graftech international ltd,EAF,2020-04-01,2020-06-30,958722000.0,3.587365787441088,0.34715115361453514,0.3747883837343065,3.097364316838049,-0.04614388083644226,8.33,7.78,8.12,7.61,7.5674,8.03
graftech international ltd,EAF,2020-01-01,2020-03-31,853837000.0,3.17155889442569,0.4541618164868005,0.4434701502265652,3.173283365461956,-0.017001917163046724,11.58,11.51,11.62,8.21,7.86,8.35
graftech international ltd,EAF,2019-10-01,2019-12-31,-691073000.0,510.5810626204744,-129.23650704874683,1.4528169973869125,3.0997338855435363,28.903230284157054,12.81,12.67,12.8,11.7,11.58,11.59
graftech international ltd,EAF,2019-07-01,2019-09-30,-606892000.0,-2.091921439245204,0.6062343465537353,1.3324217040438326,3.623410526010891,-0.010467898948389155,11.23,11.22,11.5,13.12,12.43,12.79
graftech international ltd,EAF,2019-04-01,2019-06-30,1016516000.0,3.4984068027808735,0.6758134127239261,0.41117754527750394,3.3885533251567708,,,,,11.23,11.22,11.5
graftech international ltd,EAF,2019-01-01,2019-03-31,648081000.0,2.2304624679959604,0.6795039321184396,0.5763342984469494,3.1200288251429633,,,,,,,
graftech international ltd,EAF,2018-07-01,2018-09-30,-1038484000.0,-3.506773989584076,0.6735608643044835,1.6910755057373128,2.2309202566841893,,,,,,,
graftech international ltd,EAF,2018-04-01,2018-06-30,-991019000.0,-3.2790668323974312,0.6665477203290732,1.6324650667075113,2.558154959522748,,,,,,,
