company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"brinker international, inc",EAT,2023-09-28,2023-12-27,-109500000.0,-2.47737556561086,0.9524886877828054,1.0436133349265144,0.358135593220339,-0.03250995568666951,29.02,28.94,29.45,42.86,42.6,44.32
"brinker international, inc",EAT,2023-06-29,2023-09-27,2318500000.0,51.98430493273543,0.16143497757847533,0.06315661871666398,0.3269940915805022,-0.008895938815988132,35.79,35.23,36.2,29.38,28.86,28.92
"brinker international, inc",EAT,2023-03-29,2023-06-28,-144300000.0,,,1.058021712907117,0.3420414256391118,,35.13,35.01,35.88,34.88,34.455,35.8
"brinker international, inc",EAT,2022-09-29,2022-12-28,-267500000.0,-6.079545454545454,0.634090909090909,1.106167645658041,0.4136006974716652,-0.0005216665507407664,26.14,25.53,26.61,33.09,32.34,32.86
"brinker international, inc",EAT,2022-06-30,2022-09-28,2197200000.0,50.0501138952164,-0.6879271070615034,0.11893495869756997,0.3657601115760112,0.027070165869934874,22.72,21.62,22.41,25.66,25.5101,25.9
"brinker international, inc",EAT,2022-03-31,2022-06-29,-268100000.0,670.25,-100.5,1.1079133794880052,0.36057347670250894,-0.052882072977260705,37.82,37.31,37.34,23.54,22.71,22.76
"brinker international, inc",EAT,2021-12-30,2022-03-30,-311200000.0,-7.009009009009009,0.8243243243243243,1.126565804457459,0.3224146801577774,-0.04341983340367831,37.14,36.72,36.9,36.94,36.635,38.28
"brinker international, inc",EAT,2021-09-30,2021-12-29,2129900000.0,47.22616407982262,0.6119733924611973,0.133235665160949,0.38742536002809974,0.0046787346829923315,52.13,50.91,51.08,37.18,37.06,37.14
"brinker international, inc",EAT,2021-07-01,2021-09-29,2013900000.0,43.87581699346405,0.2875816993464052,0.13913824057450627,0.3971125730994152,0.011327965897771962,60.39,59.9406,61.85,52.81,51.46,51.62
"brinker international, inc",EAT,2021-03-25,2021-06-30,-303300000.0,-1516.5,375.0,1.1333245417380984,0.3624912526242127,-7.898162881527557,69.13,66.01,66.28,60.24,60.105,60.47
