company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
enterprise financial services corp,EFSC,2023-10-01,2023-12-31,1716068000.0,100945.17647058824,2564.235294117647,0.8818020207196429,1.1340414021549816,584.3581817896537,37.49,37.04,37.5,45.46,44.44,44.65
enterprise financial services corp,EFSC,2023-07-01,2023-09-30,1611880000.0,43.09263467450876,1.1690148375885576,0.8850712889130742,1.1298524904452225,0.07582191506084975,40.09,39.07,39.1,37.49,37.04,37.5
enterprise financial services corp,EFSC,2023-04-01,2023-06-30,1618233000.0,43.32966503333601,1.2903312180362545,0.8833382572207042,-8.571790341687507,0.2945924901836716,44.74,44.02,44.59,39.54,39.54,39.81
enterprise financial services corp,EFSC,2023-01-01,2023-03-31,1592820000.0,42.69722557297949,1.4689719876692133,0.88047259856722,-8.366282442460541,0.10943010854403588,49.69,48.925,48.96,44.84,43.59,44.37
enterprise financial services corp,EFSC,2022-10-01,2022-12-31,1522263000.0,-37128.365853658535,-1440.5853658536585,0.8833887741022564,1.1320044235520763,5.8225756141339735,44.57,43.98,44.04,49.69,48.925,48.96
enterprise financial services corp,EFSC,2022-07-01,2022-09-30,1446218000.0,38.8340270132381,1.3228162509062593,0.8887078333796468,1.125229195063042,-0.07992207897568439,41.36,41.05,41.5,44.78,44.0,44.45
enterprise financial services corp,EFSC,2022-04-01,2022-06-30,1447412000.0,38.8640012888328,1.1870955615820422,0.8893796984005358,-9.03993196132131,-0.3574185345978007,47.89,47.18,47.31,42.39,41.85,41.95
enterprise financial services corp,EFSC,2022-01-01,2022-03-31,1473177000.0,38.98531279771356,1.2295966973642427,0.8925219356946922,-9.30422413599995,0.1155134720056915,47.66,46.96,47.17,49.04,47.65,47.89
enterprise financial services corp,EFSC,2021-10-01,2021-12-31,1529116000.0,1196.491392801252,39.75821596244131,0.8870447246796606,1.1273388727508988,10.419443332929456,46.11,45.25,45.28,47.66,46.96,47.17
enterprise financial services corp,EFSC,2021-07-01,2021-09-30,1439635000.0,39.016613366578135,0.3770665076697924,0.8882966160190987,1.1257500951444575,0.09882453780351375,46.05,46.05,46.39,45.47,44.62,45.82
enterprise financial services corp,EFSC,2021-04-01,2021-06-30,1118301000.0,35.76846313769391,1.2283703822165362,0.8919201936253364,-9.252422201178394,0.07211194384029532,50.11,48.99,49.44,46.64,46.22,46.27
enterprise financial services corp,EFSC,2021-01-01,2021-03-31,1092497000.0,34.963260473005406,0.9577239414983838,0.8927946944561899,-9.327896552576346,0.4166460516387146,34.69,34.54,34.95,49.59,49.19,50.0
enterprise financial services corp,EFSC,2020-10-01,2020-12-31,1078975000.0,1624.9623493975903,43.57078313253012,0.8893537256714841,1.1244119984373768,-0.04764176009896418,27.66,27.06,27.27,34.28,34.28,34.58
enterprise financial services corp,EFSC,2020-07-01,2020-09-30,882267000.0,33.6524774001602,0.6847083953160163,0.8945662607062926,1.1178601786417293,-0.021426287283135198,29.66,29.66,31.12,27.39,26.86,27.42
enterprise financial services corp,EFSC,2020-04-01,2020-06-30,867963000.0,33.15366692131398,0.5589763177998472,0.8961456301351325,-9.628867820402483,1.1633839924999962,26.85,26.85,27.91,28.42,28.16,29.88
enterprise financial services corp,EFSC,2020-01-01,2020-03-31,846436000.0,31.97355796471877,0.48608015714123826,0.8871515415411718,-8.861441384818226,0.10770502549595382,48.23,48.1,48.21,27.16,26.31,27.09
enterprise financial services corp,EFSC,2019-10-01,2019-12-31,867185000.0,5192.724550898203,174.19161676646706,0.8817548795704705,1.134102031266479,-5.01389425776948,41.05,40.62,40.75,48.19,47.89,48.3
enterprise financial services corp,EFSC,2019-07-01,2019-09-30,846095000.0,31.596646500858913,1.085555306594966,0.8848347530234629,1.1301545249924008,0.11143450589779896,41.17,41.09,41.6,41.22,40.57,40.96
enterprise financial services corp,EFSC,2019-04-01,2019-06-30,825501000.0,30.70260720794436,0.6852382192137464,0.8850574120474446,-8.699995517873388,,,,,41.17,41.09,41.6
enterprise financial services corp,EFSC,2019-01-01,2019-03-31,797835000.0,33.34454800016717,0.6752204622393112,0.8849180780460068,-8.6894621068266,,,,,,,
enterprise financial services corp,EFSC,2018-10-01,2018-12-31,603804000.0,-20820.827586206895,-811.3448275862069,0.8930499204521986,1.1197582319851134,,,,,,,
enterprise financial services corp,EFSC,2018-07-01,2018-09-30,586837000.0,25.35152064973216,0.9726974252635217,0.8936415311246554,1.1190169270014696,,,,,,,
enterprise financial services corp,EFSC,2018-04-01,2018-06-30,574084000.0,24.826327624978376,0.9622470160871821,0.8958090891997784,1.1163092806898116,,,,,,,
enterprise financial services corp,EFSC,2018-01-01,2018-03-31,555015000.0,24.01103179753407,0.9050832792558945,0.8968968078256737,1.1149554678695723,,,,,,,
enterprise financial services corp,EFSC,2017-10-01,2017-12-31,548573000.0,14065.97435897436,193.05128205128204,0.8962848054299071,1.1157167832610366,,,,,,,
enterprise financial services corp,EFSC,2017-07-01,2017-09-30,546336000.0,23.423769507803122,0.6994940833476248,0.8955677619828241,1.1166100907718681,,,,,,,
enterprise financial services corp,EFSC,2017-04-01,2017-06-30,548753000.0,23.37605963791267,0.5092651757188499,0.8910922587907665,1.122218255331972,,,,,,,
enterprise financial services corp,EFSC,2017-01-01,2017-03-31,537921000.0,24.53123859905144,0.5650766143743159,0.8946538989852779,1.1177506755787978,,,,,,,
enterprise financial services corp,EFSC,2016-10-01,2016-12-31,387098000.0,387098.0,13628.0,0.9051539106878937,1.1047844882424753,,,,,,,
