company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
electro sensors inc,ELSE,2023-10-01,2023-12-31,13755000.0,,,0.04776739356178609,19.042028985507248,,4.02,3.9089,3.9089,3.8499,3.79,3.8
electro sensors inc,ELSE,2023-07-01,2023-09-30,13529000.0,3.946591925778751,0.002333707990703674,0.05721254355400697,16.132764920828258,-0.0001312546676436262,4.445,4.44,4.44,4.02,3.9089,3.9089
electro sensors inc,ELSE,2023-04-01,2023-06-30,27758000.0,8.097383300744074,0.03383876586520328,-0.9446546167857643,16.456962025316457,,,,,4.32,4.32,4.3716
electro sensors inc,ELSE,2023-01-01,2023-03-31,27553000.0,8.037582033482291,-0.012835393948870209,-0.9421301191231409,15.74786845310597,-0.00012907676939732712,4.52,4.52,4.52,4.45,4.45,4.67
electro sensors inc,ELSE,2022-10-01,2022-12-31,13414000.0,3862.366829830118,78.03052116325944,0.044859014525776134,20.33809523809524,5.125251943564641,5.0,4.8601,5.06,4.52,4.52,4.52
electro sensors inc,ELSE,2022-07-01,2022-09-30,13052000.0,3.8367020588615706,0.03586252307547591,0.06457392675410306,14.194444444444445,0.0014833731228395227,5.945,5.895,6.04,5.57,4.73,4.86
electro sensors inc,ELSE,2022-04-01,2022-06-30,26895000.0,7.9207285126494575,-0.08363959463069143,-0.9216204629894256,11.678244972577696,-0.00011549239799874542,5.1,4.93,5.1219,6.01,5.86,5.96
electro sensors inc,ELSE,2022-01-01,2022-03-31,27196000.0,8.009374702733394,-0.002650550534071207,-0.9403538812785388,15.38387484957882,-4.573068554298149e-05,6.44,6.2701,6.28,5.21,5.09,5.0905
electro sensors inc,ELSE,2021-10-01,2021-12-31,13188000.0,,,0.050608307537254336,18.11764705882353,,5.19,5.03,5.03,6.44,6.2701,6.28
electro sensors inc,ELSE,2021-07-01,2021-09-30,13006000.0,3.830340027347791,0.005006595453245614,0.06492199295420231,14.156424581005586,-5.80878924845761e-05,5.07,4.85,4.89,5.23,5.15,5.19
electro sensors inc,ELSE,2021-04-01,2021-06-30,27006000.0,7.953418635903003,0.06302420158791537,-0.9265230418033956,12.432908912830559,-0.00012749160818043326,4.62,4.62,4.8,4.69,4.635,5.03
electro sensors inc,ELSE,2021-01-01,2021-03-31,26242000.0,7.728416346121847,-0.0005890112297936016,-0.9483257851362388,17.64817518248175,-7.113662195574899e-05,4.14,4.0,4.81,4.79,4.6,4.6
electro sensors inc,ELSE,2020-10-01,2020-12-31,12774000.0,,,0.040918987912005406,22.24390243902439,,3.4687,3.4,3.4618,4.1214,4.02,4.17
electro sensors inc,ELSE,2020-07-01,2020-09-30,12777000.0,3.762898241536424,-0.013547258285252838,0.057117555899933586,15.81578947368421,-8.764787205642713e-05,3.3601,3.3601,3.48,3.5,3.5,3.53
electro sensors inc,ELSE,2020-04-01,2020-06-30,26441000.0,7.787022963486311,0.005301101068142414,-0.9414788163594977,15.364450127877237,-9.882738754926202e-05,2.98,2.98,2.98,3.3501,3.3501,3.36
electro sensors inc,ELSE,2020-01-01,2020-03-31,26237000.0,7.726943818047363,-0.026800010955608876,-0.9530296263212744,19.130081300813007,-0.00016316100548299214,3.61,3.61,3.63,2.981,2.981,2.981
electro sensors inc,ELSE,2019-10-01,2019-12-31,12891000.0,,,0.04333951762523191,20.743362831858406,,3.845,3.845,3.845,3.665,3.65,3.7299
electro sensors inc,ELSE,2019-07-01,2019-09-30,12834000.0,3.7796850615855417,0.005595606683039216,0.05597646193453475,15.898785425101215,-8.870651051108459e-05,3.32,3.32,3.32,3.84,3.83,3.83
electro sensors inc,ELSE,2019-04-01,2019-06-30,26474000.0,7.796741648777905,0.030334078334370483,-0.9375,14.332533013205282,,,,,3.32,3.32,3.32
electro sensors inc,ELSE,2019-01-01,2019-03-31,26048000.0,7.6712822568318675,-0.009129674061800826,-0.9511610486891385,18.406995230524643,,,,,,,
electro sensors inc,ELSE,2018-10-01,2018-12-31,12725000.0,,,0.04143126177024482,21.802281368821294,,,,,,,
electro sensors inc,ELSE,2018-07-01,2018-09-30,12663000.0,3.7293246014381887,0.055072549985701755,0.04653264061441156,18.508090614886733,,,,,,,
electro sensors inc,ELSE,2018-04-01,2018-06-30,12475000.0,3.6739575458375904,-0.012663741440562435,0.047128017109685304,18.098865478119937,,,,,,,
electro sensors inc,ELSE,2018-01-01,2018-03-31,12508000.0,3.6836762311291844,-0.059490134209153764,0.04050322184719239,20.973484848484848,,,,,,,
electro sensors inc,ELSE,2017-10-01,2017-12-31,12707000.0,,,0.05277674245247857,16.043785310734464,,,,,,,
electro sensors inc,ELSE,2017-07-01,2017-09-30,12669000.0,3.7310916351275694,0.04476485346431373,0.05848692033293698,14.424396442185515,,,,,,,
electro sensors inc,ELSE,2017-04-01,2017-06-30,12498000.0,3.6807311749802167,0.06567475212198658,0.06891156969380913,12.152432432432432,,,,,,,
electro sensors inc,ELSE,2017-01-01,2017-03-31,12253000.0,3.6085772993305003,-0.024738471651331268,0.054552469135802466,15.16973125884017,,,,,,,
electro sensors inc,ELSE,2016-10-01,2016-12-31,12320000.0,,,0.056517077653545716,19.87476979742173,,,,,,,
electro sensors inc,ELSE,2016-07-01,2016-09-30,12186000.0,3.588845423132415,0.006773629142626419,0.07246156188156493,18.95079086115993,,,,,,,
electro sensors inc,ELSE,2016-04-01,2016-06-30,12143000.0,3.5761816816918524,0.04123078608555211,0.07678856534630883,17.138755980861244,,,,,,,
electro sensors inc,ELSE,2016-01-01,2016-03-31,11980000.0,3.5281772664636737,-0.02621099972581527,0.07746804250731557,19.045372050816695,,,,,,,
electro sensors inc,ELSE,2015-10-01,2015-12-31,12040000.0,,,0.10289844273899114,11.74730021598272,,,,,,,
electro sensors inc,ELSE,2015-07-01,2015-09-30,12054000.0,3.549970681966037,0.05742859490487616,0.1229627473806752,9.098785425101214,,,,,,,
electro sensors inc,ELSE,2015-04-01,2015-06-30,11843000.0,3.487829997222812,0.1460747849888132,0.13409373400599547,8.04713560551124,,,,,,,
electro sensors inc,ELSE,2015-01-01,2015-03-31,11663000.0,3.434818986541388,0.16286160503793085,0.13824442145707108,8.872168284789645,,,,,,,
electro sensors inc,ELSE,2014-10-01,2014-12-31,11530000.0,-2306000.0,-35800.0,0.16230746875908167,11.328236493374108,,,,,,,
electro sensors inc,ELSE,2014-07-01,2014-09-30,11332000.0,3.337337628010547,0.09218025746269866,0.17519470121551786,10.064043915827996,,,,,,,
electro sensors inc,ELSE,2014-04-01,2014-06-30,11231000.0,3.3075925609059698,0.059490134209153764,0.1770352458415769,11.267080745341614,,,,,,,
electro sensors inc,ELSE,2014-01-01,2014-03-31,11290000.0,3.3249860182718143,0.11780287044364267,0.19253325704477184,10.777456647398845,,,,,,,
electro sensors inc,ELSE,2013-10-01,2013-12-31,11263000.0,64360.0,948.5714285714286,0.10674914743437228,35.160493827160494,,,,,,,
electro sensors inc,ELSE,2013-07-01,2013-09-30,11035000.0,3.2506592637455607,0.030636027497012986,0.12218598361307773,22.937246963562753,,,,,,,
electro sensors inc,ELSE,2013-04-01,2013-06-30,10819000.0,3.1879321196463133,0.07955833924618769,0.12382572076449627,26.458233890214796,,,,,,,
electro sensors inc,ELSE,2013-01-01,2013-03-31,10950000.0,3.2266096583182438,0.04891481308500717,0.1350027648313453,27.073809523809523,,,,,,,
electro sensors inc,ELSE,2012-10-01,2012-12-31,11249000.0,54606.796116504855,3305.8252427184466,0.1566201829359724,18.981072555205046,,,,,,,
electro sensors inc,ELSE,2012-07-01,2012-09-30,10654000.0,3.1410124119225213,0.04245408178307143,0.15958034235229154,18.161137440758292,,,,,,,
electro sensors inc,ELSE,2012-04-01,2012-06-30,10259000.0,3.0255530798915293,0.053969803452592835,0.14028324813542278,20.661538461538463,,,,,,,
electro sensors inc,ELSE,2012-01-01,2012-03-31,10719000.0,3.1612764136456013,0.023003970544300485,0.15184364614654217,25.510022271714924,,,,,,,
electro sensors inc,ELSE,2011-10-01,2011-12-31,10379000.0,,,0.12986250838363514,33.175925925925924,,,,,,,
electro sensors inc,ELSE,2011-07-01,2011-09-30,9777000.0,2.8844911323360987,0.03481333268033749,0.13178225734837049,17.77777777777778,,,,,,,
electro sensors inc,ELSE,2011-04-01,2011-06-30,10654000.0,3.1444044269578226,0.03482633024038136,0.1600441501103753,18.746341463414634,,,,,,,
electro sensors inc,ELSE,2011-01-01,2011-03-30,,,-42.247191011235955,,,,,,,,,
