company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
equity residential,EQR,2023-10-01,2023-12-31,11578376000.0,72819.97484276729,1955.4716981132076,0.42207996141069004,2.369219321992368,-41.28524697103996,59.39,58.15,58.71,61.51,61.15,61.16
equity residential,EQR,2023-07-01,2023-09-30,11543669000.0,30.470047749390925,0.45330246823966025,0.4259444352583859,2.3477240626312708,-0.009724805858879011,66.06,64.92,65.97,59.39,58.15,58.71
equity residential,EQR,2023-04-01,2023-06-30,11581862000.0,30.587895690388283,0.3655959983308772,0.42509590990725626,2.3524103071661435,-0.005942266009749254,58.73,58.73,60.0,64.53,64.4,65.42
equity residential,EQR,2023-01-01,2023-03-31,11670004000.0,30.845200493734488,0.5583930898316598,0.41947574150631617,2.383928082251075,-0.015910191804764415,58.99,58.4,59.0,58.19,58.12,58.53
equity residential,EQR,2022-10-01,2022-12-31,11700952000.0,23448.80160320641,317.1302605210421,0.42126815845991117,2.373784915659991,-5.4836157833732555,66.98,66.53,67.22,58.99,58.4,59.0
equity residential,EQR,2022-07-01,2022-09-30,11632274000.0,30.949245709724625,0.8573952374617534,0.42600337866428034,2.347399222831207,-0.026491866012332232,71.83,71.21,72.22,66.87,65.5798,66.22
equity residential,EQR,2022-04-01,2022-06-30,11502869000.0,30.611543261950825,0.5943225758378152,0.44091201931337304,2.268026173469455,-0.013524989392766393,92.0,89.89,89.92,72.28,71.69,72.4
equity residential,EQR,2022-01-01,2022-03-31,11530493000.0,30.70630264520957,0.18639499985353214,0.4464540657890738,2.239872086801529,-0.012352645540720648,90.45,90.2301,90.54,92.29,90.72,91.5
equity residential,EQR,2021-10-01,2021-12-31,11686185000.0,32552.047353760445,1465.7437325905291,0.4479639114127899,2.2323226816334314,-0.7979564041504756,81.87,80.12,80.92,90.45,90.2301,90.54
equity residential,EQR,2021-07-01,2021-09-30,11333583000.0,30.278762409566454,1.1519337016574585,0.45150390685967173,2.2148202591540405,-0.010777318497146316,77.74,76.81,77.0,80.56,80.56,81.55
equity residential,EQR,2021-04-01,2021-06-30,11082170000.0,29.64637304313398,0.8443121141108365,0.45846449234194925,2.181194000197822,-0.00023715188846128545,72.16,71.411,71.63,77.64,77.5,77.56
equity residential,EQR,2021-01-01,2021-03-31,10961764000.0,29.444944665305684,0.15248200279359622,0.4565047425469216,2.190557746280622,-0.010150935989590196,58.64,57.82,59.28,72.3,72.14,72.83
equity residential,EQR,2020-10-01,2020-12-31,11102437000.0,264343.7380952381,6002.0,0.4527285132058924,2.208829289144461,-283.61934333213196,51.53,50.69,51.33,58.39,58.35,58.96
equity residential,EQR,2020-07-01,2020-09-30,11048072000.0,29.709580524324426,0.2434002296507641,0.4643093587473765,2.1537364715150713,-0.012127461524406113,57.8,57.35,58.82,52.3,50.63,51.09
