company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
fb financial corp,FBK,2023-10-01,2023-12-31,1454887000.0,67634.55906280507,1365.3014736646367,0.8845731130621577,1.130488803280788,103.15966257913327,28.74,28.3,28.36,40.57,39.81,39.85
fb financial corp,FBK,2023-07-01,2023-09-30,1372994000.0,29.32581598104617,0.40955934362172036,0.8900692902776711,1.1235080357485812,-0.30529667204927885,28.6,27.95,28.05,28.74,28.3,28.36
fb financial corp,FBK,2023-04-01,2023-06-30,1387044000.0,29.650751309529745,0.7545844763937485,0.8923720426044208,-9.291266174685157,-0.16865059251703204,30.39,30.12,31.08,28.31,28.17,28.33
fb financial corp,FBK,2023-01-01,2023-03-31,1369789000.0,29.344477497652186,0.7793765578801437,0.8954451087374258,-9.564354072050513,0.12555098439723736,36.31,36.03,36.14,31.12,29.9219,30.12
fb financial corp,FBK,2022-10-01,2022-12-31,1325518000.0,-19383.735723791,-557.784829562903,0.8968288314317302,1.1150399774765978,-200.31529909716008,38.61,38.15,38.21,36.31,36.03,36.14
fb financial corp,FBK,2022-07-01,2022-09-30,1281254000.0,27.31388668838838,0.6785760880965761,0.8954767964515167,1.116723519763633,-0.001038258508876819,38.17,37.93,39.22,38.98,38.29,38.74
fb financial corp,FBK,2022-04-01,2022-06-30,1319945000.0,28.017733841876392,0.41062548907045276,0.8917533263866689,-9.238159165722815,-0.2288243775351714,44.35,44.26,44.42,38.96,38.23,38.77
fb financial corp,FBK,2022-01-01,2022-03-31,1379869000.0,29.031220361149003,0.7413341995837622,0.8911276467271165,-9.185068292714742,0.06402530912621535,44.42,43.79,43.87,45.74,44.18,44.3
fb financial corp,FBK,2021-10-01,2021-12-31,1432695000.0,16831.86869992246,573.6389482835593,0.8862731615949151,1.1283203004821052,201.25696539709773,43.87,42.81,42.88,44.42,43.79,43.87
fb financial corp,FBK,2021-07-01,2021-09-30,1401006000.0,29.54947431900143,0.9552390867045357,0.8813741237514066,1.1345919661717367,-0.08901000257702753,37.2,37.2,37.32,43.06,42.22,43.51
fb financial corp,FBK,2021-04-01,2021-06-30,1371814000.0,28.970579871768372,0.9143020008312642,0.8848991644576811,-8.68803423787773,-0.0254850103737108,45.23,44.28,44.46,38.18,37.44,37.48
fb financial corp,FBK,2021-01-01,2021-03-31,1329196000.0,28.113957473386893,1.1183432597208076,0.8886381219029165,-8.979733613402388,0.4460829531774646,34.83,34.6632,34.73,44.91,44.91,45.45
fb financial corp,FBK,2020-10-01,2020-12-31,1291382000.0,27.357041998623103,0.9660470946793519,0.884773447377743,1.130232833007999,0.11933169595168872,25.65,25.03,25.12,34.62,34.56,34.91
fb financial corp,FBK,2020-07-01,2020-09-30,1245091000.0,31.007245178732,-0.13943524268966723,0.8869172143742147,1.1275009479949867,0.07984312600359796,24.31,24.01,24.77,25.37,24.6,25.37
fb financial corp,FBK,2020-04-01,2020-06-30,805216000.0,25.08908598462143,0.7126816453302542,0.8890204665788992,-9.010670428804197,0.9144502916326405,19.54,19.095,19.72,22.94,22.8,23.97
fb financial corp,FBK,2020-01-01,2020-03-31,782330000.0,25.02836177626283,0.023834097533414044,0.8824569124118967,-8.5075185663339,0.20126013056042202,39.61,39.5,39.59,19.9,18.9,19.83
fb financial corp,FBK,2019-10-01,2019-12-31,762329000.0,35558.048416437334,1000.8862353654555,0.8755365171240576,1.1421568152117483,6.9471316112196195,37.72,37.52,37.55,39.66,39.362,39.68
fb financial corp,FBK,2019-07-01,2019-09-30,744835000.0,24.10501785736073,0.771466721735371,0.8776732067148473,1.1393762420332108,0.11224645831548177,36.23,36.02,36.6,37.67,37.67,37.74
fb financial corp,FBK,2019-04-01,2019-06-30,718759000.0,23.291264085245963,0.6023410027791679,0.87900498989799,-8.264803640719629,,,,,36.23,36.02,36.6
fb financial corp,FBK,2019-01-01,2019-03-31,694577000.0,22.56095524935391,0.6328385349977932,0.8698113044866916,-7.681158460473065,,,,,,,
fb financial corp,FBK,2018-10-01,2018-12-31,671857000.0,48324.6062001007,1219.089405164353,0.8692061772742529,1.1504750266914854,,,,,,,
fb financial corp,FBK,2018-07-01,2018-09-30,648731000.0,21.136350870507574,0.6927713159377347,0.871745832037574,1.1471233509228844,,,,,,,
fb financial corp,FBK,2018-04-01,2018-06-30,630959000.0,20.56665836123866,0.7154141833502115,0.8718409326848997,1.1469982223941066,,,,,,,
fb financial corp,FBK,2018-01-01,2018-03-31,611075000.0,19.961105773558955,0.6452754301041339,0.8706833430114936,1.148523177830909,,,,,,,
fb financial corp,FBK,2017-10-01,2017-12-31,596729000.0,610.598125830105,23.55298244321519,0.8737806207779533,1.1444520240213953,,,,,,,
fb financial corp,FBK,2017-07-01,2017-09-30,572528000.0,19.081117010285503,0.27955385497700513,0.8750468960438835,1.1427958941641112,,,,,,,
fb financial corp,FBK,2017-04-01,2017-06-30,509517000.0,19.793241915303444,0.43660220539470795,0.847749486787965,1.179593754505115,,,,,,,
fb financial corp,FBK,2017-01-01,2017-03-31,342142000.0,14.174157175131098,0.4040443877952827,0.891948071963035,1.1211415007592986,,,,,,,
fb financial corp,FBK,2016-10-01,2016-12-31,330498000.0,203.6532094522774,5.5519713195390565,0.8991425077688204,1.112170753089466,,,,,,,
fb financial corp,FBK,2016-07-01,2016-09-30,329108000.0,18.02429995561672,0.06610392347323486,0.8967400648849453,1.1151503531051703,,,,,,,
