company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
first foundation inc.,FFWM,2023-10-01,2023-12-31,925343000.0,104664.97002601516,288.20269200316704,0.9305675860462715,1.074612972765071,5838.907801889024,5.83,5.83,6.08,9.86,9.545,9.68
first foundation inc.,FFWM,2023-07-01,2023-09-30,919207000.0,16.28542462583716,0.03862266680336965,0.9295711226639198,1.0757649152592526,0.8065874531139546,4.09,3.93,3.97,5.83,5.83,6.08
first foundation inc.,FFWM,2023-04-01,2023-06-30,915534000.0,16.22400868121464,-3.761916384227886,0.9286998053199262,-14.025207146867293,-1.3347459658254437,7.5,7.25,7.45,4.15,3.93,4.03
first foundation inc.,FFWM,2023-01-01,2023-03-31,1133738000.0,20.110056520011852,0.15070063823742408,0.9167359959295497,-12.009991726483543,0.7521027445951715,14.32,14.19,14.33,8.0,7.375,7.43
first foundation inc.,FFWM,2022-10-01,2022-12-31,1134378000.0,-60163.24582338902,-920.3924688411562,0.9128352237970602,1.0954879631401233,-1970.145884723158,18.28,18.07,18.14,14.32,14.19,14.33
first foundation inc.,FFWM,2022-07-01,2022-09-30,1121965000.0,19.89742363065853,0.5144052353066997,0.9089968799231527,1.1001137870622182,0.8781267962499616,20.35,20.18,20.48,18.57,17.98,18.26
first foundation inc.,FFWM,2022-04-01,2022-06-30,1102909000.0,19.530375249661468,0.5899616213284337,0.9019570210965363,-10.199608489911679,0.5403650767828183,24.26,24.23,24.29,21.1,20.6,20.68
first foundation inc.,FFWM,2022-01-01,2022-03-31,1082575000.0,19.17220592869797,0.5460999395121175,0.8966495385685793,-9.67581553241115,0.17764590361824056,25.22,25.03,25.09,25.19,24.07,24.28
first foundation inc.,FFWM,2021-10-01,2021-12-31,1064051000.0,2134.5055165496487,47.89568706118355,0.8956424371266012,1.1165169922142129,-14.069646834459627,26.97,26.3,26.3,25.22,25.03,25.09
first foundation inc.,FFWM,2021-07-01,2021-09-30,766831000.0,17.109223495547486,0.83057147382572,0.9008629923246908,1.110046709122199,-0.2661770962653106,22.825,22.23,22.51,26.24,26.14,26.77
first foundation inc.,FFWM,2021-04-01,2021-06-30,734018000.0,16.387125678893707,0.5816617200639448,0.9075443241038632,-10.815993613235642,0.817749227953906,23.62,23.26,23.46,23.24,22.6,22.65
first foundation inc.,FFWM,2021-01-01,2021-03-31,714430000.0,15.980014904809053,0.5000255213205022,0.8986887379052706,-9.870570944669177,0.07947088347004332,19.92,19.92,20.0,23.21,23.035,23.55
first foundation inc.,FFWM,2020-10-01,2020-12-31,695711000.0,874008.7939698492,28097.989949748742,0.9000007186840607,1.1111102238475472,42588.798857509435,13.16,13.05,13.07,19.82,19.0065,19.88
first foundation inc.,FFWM,2020-07-01,2020-09-30,677936000.0,15.191615731107936,0.6932781375956097,0.8954115266144168,1.116804921845306,-0.9940281303816781,15.65,15.65,16.34,13.16,12.93,13.14
first foundation inc.,FFWM,2020-04-01,2020-06-30,638721000.0,14.314449817434575,0.40012804814696384,0.9105594743136852,1.098225901996933,1.2619530478828105,10.38,10.1,10.22,15.62,15.4434,15.795
first foundation inc.,FFWM,2020-01-01,2020-03-31,623083000.0,13.948684320662295,0.2957488305093697,0.904342810577324,1.1057753633952254,0.23835963289944084,17.41,17.37,17.4,10.4,10.28,10.49
first foundation inc.,FFWM,2019-10-01,2019-12-31,613869000.0,40943.707063296206,1014.7402120989796,0.9027832414486424,1.1076856039057168,-256.81279384606376,15.22,15.16,15.275,17.45,17.3,17.45
first foundation inc.,FFWM,2019-07-01,2019-09-30,604360000.0,13.538687871393487,0.38880380352092353,0.9049501238215095,1.1050332760628894,0.07120633882239531,13.42,13.35,13.44,15.14,15.14,15.26
first foundation inc.,FFWM,2019-04-01,2019-06-30,586703000.0,13.147207886366218,0.2780910441395472,0.9066643270559436,1.1029440225658038,,,,,13.42,13.35,13.44
first foundation inc.,FFWM,2019-01-01,2019-03-31,568243000.0,12.757789953113843,0.2527791052104624,0.9053118340919589,1.1045917686506492,,,,,,,
first foundation inc.,FFWM,2018-10-01,2018-12-31,559184000.0,695.8859172404696,17.58307126936857,0.9042560696060483,1.105881435151067,,,,,,,
first foundation inc.,FFWM,2018-07-01,2018-09-30,530999000.0,11.958064991372387,0.33120074016733303,0.9028592011901325,1.1075924116205698,,,,,,,
first foundation inc.,FFWM,2018-04-01,2018-06-30,517969000.0,12.689096616007356,0.12606563556115108,0.913179867049972,1.0950745149808225,,,,,,,
first foundation inc.,FFWM,2018-01-01,2018-03-31,412114000.0,10.68281890650067,0.2326758676112678,0.9148908487950267,1.0930265630234117,,,,,,,
first foundation inc.,FFWM,2017-10-01,2017-12-31,394951000.0,486.8107229974498,2.8016659620388435,0.9130290882225675,1.095255357030018,,,,,,,
first foundation inc.,FFWM,2017-07-01,2017-09-30,340453000.0,9.849375175552101,0.27715136650812044,0.915959547387709,1.0917512709507444,,,,,,,
first foundation inc.,FFWM,2017-04-01,2017-06-30,316927000.0,9.425710833299553,0.2859889986432475,0.9188039968907834,1.0883714082480949,,,,,,,
first foundation inc.,FFWM,2017-01-01,2017-03-31,291780000.0,8.894373146052995,0.1863434883879017,0.9208821673589725,1.0859152619579246,,,,,,,
first foundation inc.,FFWM,2016-10-01,2016-12-31,284264000.0,17.510746787790918,0.40144913466366977,0.9284942935345172,1.077012542740872,,,,,,,
first foundation inc.,FFWM,2016-07-01,2016-09-30,287294000.0,17.672009511221255,0.5951279595851832,0.9200554976141369,1.0868909566794318,,,,,,,
first foundation inc.,FFWM,2016-04-01,2016-06-30,277508000.0,17.199271961860987,0.20601344826536863,0.9205517415128802,1.0863050439256685,,,,,,,
first foundation inc.,FFWM,2016-01-01,2016-03-31,270180000.0,16.882991582624552,0.23664182812717147,0.8995677973126636,1.1116449510391146,,,,,,,
first foundation inc.,FFWM,2015-10-01,2015-12-31,259736000.0,160.23679926166798,3.114221219518665,0.8998155890331596,1.1113388256303576,,,,,,,
first foundation inc.,FFWM,2015-07-01,2015-09-30,257296000.0,20.381618267030124,0.21879092427996238,0.8855825043902227,1.1292002665393224,,,,,,,
first foundation inc.,FFWM,2015-04-01,2015-06-30,122002000.0,15.117244701802367,0.3645426625194879,0.9347471225022463,1.0698080538863566,,,,,,,
first foundation inc.,FFWM,2015-01-01,2015-03-31,103522000.0,13.178354868469143,0.3342899082765013,0.9294136578387714,1.0759471754755228,,,,,,,
