company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
southern co,SO,2023-10-01,2023-12-31,35225000000.0,,,0.7471847614672973,0.774634291230415,,65.82,64.36,64.72,69.85,69.63,70.12
southern co,SO,2023-07-01,2023-09-30,35304000000.0,32.32967032967033,1.3021978021978022,0.74476760578654,0.8391100348115635,-0.010037252583702245,69.43,68.85,70.25,65.82,64.36,64.72
southern co,SO,2023-04-01,2023-06-30,34648000000.0,31.72893772893773,0.7673992673992674,0.7473088479827299,0.8292296072507553,0.015099303394101083,69.2,68.765,69.58,69.51,68.67,69.14
southern co,SO,2023-01-01,2023-03-31,34562000000.0,31.679193400549956,0.7901008249312558,0.7435216242690492,0.6877564240984668,0.005765197963437469,72.18,70.81,71.41,69.42,68.847,69.06
southern co,SO,2022-10-01,2022-12-31,34532000000.0,6906.4,-17.4,0.7440007116857315,0.6624268633935385,3.487605674165353,69.79,67.85,68.0,72.18,70.81,71.41
southern co,SO,2022-07-01,2022-09-30,35718000000.0,33.011090573012936,1.3604436229205175,0.733457706801985,0.8095461292086555,0.01750396138825863,70.33,70.17,71.31,72.45,69.27,69.38
southern co,SO,2022-04-01,2022-06-30,33255000000.0,31.225352112676056,1.0394366197183098,0.7456966100528413,0.851484286584835,-0.00025906114944136704,72.49,72.3801,72.51,70.86,70.34,70.67
southern co,SO,2022-01-01,2022-03-31,32920000000.0,30.9689557855127,0.9708372530573848,0.7440900504512629,0.89102932719954,-0.0026614133401068373,68.22,67.77,68.36,72.0,71.7719,72.5
southern co,SO,2021-10-01,2021-12-31,32567000000.0,32567.0,-215.0,0.7446406448476485,0.8208955223880597,2.276707530647986,62.81,61.925,61.97,68.22,67.77,68.36
southern co,SO,2021-07-01,2021-09-30,33510000000.0,31.583411875589068,1.0377002827521207,0.7379185208937831,0.8592237321254108,0.0020424884369428468,60.45,60.115,60.51,61.97,61.81,62.64
southern co,SO,2021-04-01,2021-06-30,33037000000.0,31.13760603204524,0.35061262959472195,0.7376079169545776,0.8191252144082333,-0.0009634584672171022,61.63,61.5,62.16,61.22,60.275,60.46
southern co,SO,2021-01-01,2021-03-31,33359000000.0,31.470754716981133,1.070754716981132,0.7339644158764843,0.8172794752287244,0.027003120775895898,60.58,60.45,61.43,62.02,61.153,61.54
