company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"gaia, inc",GAIA,2023-10-01,2023-12-31,86780000.0,157.78181818181818,-3.3381818181818184,0.3338604315552724,0.511659720675723,-2.9783876500857636,2.65,2.63,2.72,2.67,2.67,2.7
"gaia, inc",GAIA,2023-07-01,2023-09-30,83345000.0,3.9399168006050864,-0.0364942800415997,0.3821811389008317,0.4882330492303778,2.0464235269945774e-05,2.31,2.265,2.31,2.65,2.63,2.72
"gaia, inc",GAIA,2023-04-01,2023-06-30,84002000.0,4.024240682188369,-0.09044744658426751,0.37432406262569085,0.5988321573806958,-0.0010458458328778844,2.84,2.75,2.78,2.35,2.2879,2.305
"gaia, inc",GAIA,2023-01-01,2023-03-31,84695000.0,4.066791510611735,-0.062710073946029,0.3697350796249442,0.5981622510636776,0.00041157344528131045,2.1,2.1,2.38,2.82,2.7,2.77
"gaia, inc",GAIA,2022-10-01,2022-12-31,88984000.0,2966.133333333333,-30.733333333333334,0.3566010860212721,0.6273700361670259,19.35695538057743,2.54,2.43,2.43,2.1,2.1,2.38
"gaia, inc",GAIA,2022-07-01,2022-09-30,89352000.0,4.294530423916178,-0.1141497644910122,0.34712368203771765,0.48372146912292896,0.0867229815202776,4.13,4.09,4.25,2.6,2.55,2.55
"gaia, inc",GAIA,2022-04-01,2022-06-30,91390000.0,4.39628631903021,0.005580142389840293,0.30460124333249633,0.42670196107672803,-3.833041894381298e-05,5.02,4.92,4.92,4.0,4.0,4.1
"gaia, inc",GAIA,2022-01-01,2022-03-31,90841000.0,4.438846811629611,0.004202296603957977,0.31587905260383325,0.4633299428290835,-0.00026045655202520533,8.63,8.6,8.74,5.42,5.2,5.26
"gaia, inc",GAIA,2021-10-01,2021-12-31,90215000.0,2004.7777777777778,46.28888888888889,0.3251219366228792,0.5026334328558489,0.14537902388369675,9.63,9.362,9.48,8.63,8.6,8.74
"gaia, inc",GAIA,2021-07-01,2021-09-30,77871000.0,4.0310073506574176,0.03349207992545812,0.3268121893235358,0.7871586408171775,-0.00037945526152197156,11.05,10.65,10.99,9.63,9.49,9.58
"gaia, inc",GAIA,2021-04-01,2021-06-30,76691000.0,3.980226281918206,0.033371392983184554,0.32812061956826466,0.7782569708356463,0.002879844860487318,11.66,11.62,11.89,11.73,10.9,11.03
"gaia, inc",GAIA,2021-01-01,2021-03-31,75277000.0,3.920472892036873,0.01864486224675798,0.32890255861638584,0.7524621295764695,0.00013581706527843515,9.97,9.772,9.88,11.49,11.2,11.57
"gaia, inc",GAIA,2020-10-01,2020-12-31,74235000.0,3.869832664338216,0.016160141792211855,0.32524064462764846,0.7679501008300895,0.012561576315810653,9.91,9.68,9.83,9.79,9.69,9.84
"gaia, inc",GAIA,2020-07-01,2020-09-30,73451000.0,3.8289631444508156,0.3291455976645989,0.31222435507280305,0.6266176400362924,-0.0821118830917778,8.21,8.18,8.38,10.05,9.81,9.91
"gaia, inc",GAIA,2020-04-01,2020-06-30,66733000.0,3.5426554122206295,-0.13404469926209056,0.3594390424173778,0.6289240413340517,0.0003519899550145297,9.2,8.42,8.88,7.87,7.87,8.29
"gaia, inc",GAIA,2020-01-01,2020-03-31,65919000.0,3.566659452440212,-0.19370198030516178,0.3713798003108818,0.638194159719375,0.000787961627319365,8.24,7.98,7.99,8.18,8.1,9.16
"gaia, inc",GAIA,2019-10-01,2019-12-31,68914000.0,,,0.35092114681837017,0.872603254739782,,6.61,6.37,6.535,8.32,8.2,8.29
"gaia, inc",GAIA,2019-07-01,2019-09-30,71224000.0,,,0.3310855865585995,1.0261893320518982,,7.61,7.07,7.58,6.88,6.65,6.7
"gaia, inc",GAIA,2019-04-01,2019-06-30,74880000.0,,,0.31569568197395476,1.426594878858073,,,,,7.61,7.07,7.58
"gaia, inc",GAIA,2019-01-01,2019-03-31,75333000.0,,,0.25976476137134097,1.9414754574498982,,,,,,,
"gaia, inc",GAIA,2018-10-01,2018-12-31,81465000.0,,,0.23971778144860992,2.6485946859161418,,,,,,,
"gaia, inc",GAIA,2018-07-01,2018-09-30,92033000.0,,,0.12318626563646237,2.7778474071753094,,,,,,,
"gaia, inc",GAIA,2018-04-01,2018-06-30,101928000.0,,,0.09374777722455367,4.379479768786127,,,,,,,
"gaia, inc",GAIA,2018-01-01,2018-03-31,107738000.0,,,0.09186847273616157,5.157056357708431,,,,,,,
"gaia, inc",GAIA,2017-10-01,2017-12-31,76152000.0,,,0.2147578341702843,1.8307379488196787,,,,,,,
"gaia, inc",GAIA,2017-07-01,2017-09-30,81263000.0,,,0.10536803399608076,3.494723644342284,,,,,,,
"gaia, inc",GAIA,2017-04-01,2017-06-30,85935000.0,,,0.08372162453218464,4.968033622007132,,,,,,,
"gaia, inc",GAIA,2017-01-01,2017-03-31,91778000.0,,,0.08269699756126814,5.716944645878656,,,,,,,
"gaiam, inc",GAIA,2016-10-01,2016-12-31,97537000.0,,,0.09010597410351133,6.13705249286185,,,,,,,
"gaia, inc",GAIA,2016-07-01,2016-09-30,101276000.0,6.690183643810279,6.63522261857577,0.11668919802886922,5.336778567884902,,,,,,,
"gaia, inc",GAIA,2016-04-01,2016-06-30,77707000.0,3.161391375101709,-0.09922701383238405,0.1337495122902848,3.1386064344057343,,,,,,,
