company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
hmn financial inc,HMNF,2023-10-01,2023-12-31,107707000.0,35325.352574614626,476.2217120367334,0.9027155676588673,1.1077686436641758,-911.9952441023075,20.49,19.13,19.13,23.25,23.0,23.0
hmn financial inc,HMNF,2023-07-01,2023-09-30,101770000.0,23.36525306541238,0.3439240354916748,0.9118241577721152,1.0967026827226505,0.57355369282945,18.66,18.66,18.74,20.49,19.13,19.13
hmn financial inc,HMNF,2023-04-01,2023-06-30,102152000.0,23.500625060677127,0.32690880463644567,0.9079186599204772,-10.859963583679223,0.3760721754658046,19.48,19.27,19.27,18.66,18.61,18.95
hmn financial inc,HMNF,2023-01-01,2023-03-31,100222000.0,23.098364063700615,0.3765912362563789,0.9064728597531501,-10.692083574464688,-0.25501917608548674,21.05,21.05,21.34,19.21,19.21,19.21
hmn financial inc,HMNF,2022-10-01,2022-12-31,97336000.0,-11252.716763005781,-281.84971098265896,0.9112061463124497,1.097446504335917,-210.34684832405634,22.4787,22.4,22.4,21.05,21.05,21.34
hmn financial inc,HMNF,2022-07-01,2022-09-30,89710000.0,20.63036801209812,0.4210701575092148,0.9143819437617926,1.093634893845314,-0.31376999400317984,22.76,22.76,23.08,22.3,22.3,22.34
hmn financial inc,HMNF,2022-04-01,2022-06-30,95848000.0,21.979871658720345,0.5249136781864083,0.9114166333182071,-11.288801018278942,,,,,22.75,22.75,23.0
hmn financial inc,HMNF,2022-01-01,2022-03-31,100623000.0,22.91404075079845,0.33862216984623095,0.9022506358085016,-10.230245570098287,-0.28228426491649866,24.62,24.62,24.62,24.87,24.87,24.87
hmn financial inc,HMNF,2021-10-01,2021-12-31,110031000.0,-4702.581417215147,-85.43465253440465,0.8971228698746562,1.11467451514163,,,,,24.62,24.62,24.62
hmn financial inc,HMNF,2021-07-01,2021-09-30,109934000.0,24.802101412605722,0.8164790238890617,0.8939490553387709,1.118631977994585,0.5680089422380413,20.94,20.94,21.3,,,
hmn financial inc,HMNF,2021-04-01,2021-06-30,107958000.0,24.03070716496064,1.0079016102830896,0.8899539869483581,-9.087107949387725,0.04337851130182865,20.5,20.11,20.11,21.18,20.9,21.25
hmn financial inc,HMNF,2021-01-01,2021-03-31,105064000.0,23.03659732635669,0.7494392909225537,0.891832122762675,-9.244888829665728,0.7740896746070663,17.2002,17.2002,17.2002,20.16,20.16,20.5
hmn financial inc,HMNF,2020-10-01,2020-12-31,103252000.0,22.35562927658152,0.6766100558760823,0.8864838716770378,1.1280521078270878,0.11851904415863701,13.2117,13.2117,13.26,17.16,17.16,17.2237
