company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
healthstream inc,HSTM,2023-10-01,2023-12-31,340752000.0,-4155.512195121952,-55.97560975609756,0.3184169363646183,1.1001089886026647,4.642901238032168,21.73,21.55,21.58,27.14,27.0,27.03
healthstream inc,HSTM,2023-07-01,2023-09-30,342246000.0,11.154254799074407,0.12603070103966366,0.31282802931432585,1.1073205215478872,-0.0032207754114021423,24.64,24.54,24.56,21.73,21.55,21.58
healthstream inc,HSTM,2023-04-01,2023-06-30,834093000.0,27.183320297223307,0.13469560683092166,-0.6902471052172962,1.0811902776887066,-0.001904706777812491,26.35,26.3385,27.1,24.42,24.42,24.52
healthstream inc,HSTM,2023-01-01,2023-03-31,839198000.0,27.43283972410186,0.0857441731228139,-0.6678584701853688,1.0339162341740769,-0.0010447385165439495,24.75,24.62,24.84,26.24,25.76,26.19
healthstream inc,HSTM,2022-10-01,2022-12-31,334064000.0,-13919.333333333334,-102.04166666666667,0.32883969775445465,0.9758047315570798,0.09233066163759232,21.21,21.21,21.26,24.75,24.62,24.84
healthstream inc,HSTM,2022-07-01,2022-09-30,330282000.0,10.804121687929342,0.11992149165848871,0.3136241497764949,0.9901413796375368,-3.0744181356236515e-05,21.28,21.2,21.71,21.17,20.9,21.3
healthstream inc,HSTM,2022-04-01,2022-06-30,804436000.0,26.382735889278802,0.10111180348299498,-0.6839632910756451,0.9086775835446175,-0.0055314815958350345,20.23,19.84,19.92,21.57,21.05,21.41
healthstream inc,HSTM,2022-01-01,2022-03-31,806498000.0,26.053884671297045,0.09345824584073656,-0.6665729884321157,0.9359648050837102,-0.025098086132863733,26.03,26.0,26.46,20.45,20.18,20.2
healthstream inc,HSTM,2021-10-01,2021-12-31,339019000.0,-84754.75,96.75,0.3035091720030488,1.0647234678624813,49.455205811138015,28.91,28.56,28.58,26.03,26.0,26.46
healthstream inc,HSTM,2021-07-01,2021-09-30,342198000.0,10.843462830344128,0.04753152924773433,0.3082912551494399,1.101088769004414,-9.050351435456767e-05,27.66,26.25,27.94,28.63,28.63,28.73
healthstream inc,HSTM,2021-04-01,2021-06-30,836681000.0,26.516686210502964,0.07736189902703387,-0.6858304016506079,1.040115938745067,0.0,22.43,22.21,22.34,27.6,27.3,27.62
healthstream inc,HSTM,2021-01-01,2021-03-31,838487000.0,26.615255205688168,0.07272092432706957,-0.6713515733073939,0.9834995637520744,-0.0006011964247682395,21.7,21.56,21.84,22.39,22.2,22.43
healthstream inc,HSTM,2020-10-01,2020-12-31,334062000.0,-2474.5333333333333,-6.837037037037037,0.33229398396603727,0.9605080290015238,1.353602358577483,20.1,20.0,20.07,21.94,21.74,21.74
healthstream inc,HSTM,2020-07-01,2020-09-30,336265000.0,10.523079330308246,0.08242841495853544,0.29438661062580135,2.0954490917128004,-0.009361904674246477,21.42,21.38,22.13,20.13,19.93,20.05
healthstream inc,HSTM,2020-04-01,2020-06-30,817249000.0,25.541425758664875,0.10757258492983718,-0.7103521163605923,2.1492395231604684,-0.00017362738867879977,24.12,23.37,23.95,21.13,21.0301,21.44
healthstream inc,HSTM,2020-01-01,2020-03-31,816927000.0,25.265262571905733,0.21933568380033402,-0.6965905244116957,1.9581162050861682,-0.011726324671413643,27.11,26.91,27.2,23.0,22.95,24.23
healthstream inc,HSTM,2019-10-01,2019-12-31,338168000.0,112722.66666666667,1227.6666666666667,0.30921837465069535,2.1350192517944575,-0.11551790527531768,25.97,25.64,25.89,27.55,27.2,27.22
healthstream inc,HSTM,2019-07-01,2019-09-30,333893000.0,10.31297874969113,0.1146528292562392,0.30467495632001035,2.2364015687218526,-5.579141475062329e-05,26.02,25.78,25.86,26.29,25.77,25.96
healthstream inc,HSTM,2019-04-01,2019-06-30,806122000.0,24.88491695993085,0.07411866395011422,-0.6919305447989405,2.181613825231658,,,,,26.02,25.78,25.86
healthstream inc,HSTM,2019-01-01,2019-03-31,808641000.0,25.006679654884497,0.18474193648142995,-0.6724736297828335,2.016020615955741,,,,,,,
healthstream inc,HSTM,2018-10-01,2018-12-31,318947000.0,15947.35,139.5,0.27831554843556255,2.2594755460722107,,,,,,,
healthstream inc,HSTM,2018-07-01,2018-09-30,315694000.0,9.767155497803353,0.09392983107480973,0.25102253855278767,2.365514978104585,,,,,,,
healthstream inc,HSTM,2018-04-01,2018-06-30,312188000.0,9.661673681604357,0.07876330774944293,0.25258087376223404,2.327490460087488,,,,,,,
healthstream inc,HSTM,2018-01-01,2018-03-31,309044000.0,9.62843879490295,0.7429354768358414,0.3240256090012096,1.8513009288768254,,,,,,,
