company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"hub group, inc.",HUBG,2023-10-01,2023-12-31,1634645000.0,52032.24471606824,916.2528647822766,0.4432497163703442,1.290234119809787,-20.063388124072972,39.82,39.18,39.27,46.74,45.74,45.97
"hub group, inc.",HUBG,2023-07-01,2023-09-30,1629068000.0,52316.002440669254,978.1624329618807,0.4417428683829244,1.6499067482568628,-6.393475055495887,40.5,39.89,40.16,39.82,39.18,39.27
"hub group, inc.",HUBG,2023-04-01,2023-06-30,4410778000.0,137677.62274869683,1451.6028342229297,-0.5752542283294322,1.6672482934363195,-74.60917001677558,41.145,41.1,41.97,39.78,39.725,40.105
"hub group, inc.",HUBG,2023-01-01,2023-03-31,4547030000.0,139697.99379397216,1898.0613843743279,-0.5744661843460244,1.6815528134394009,-12.970701480172705,40.03,39.52,39.745,41.03,40.355,40.78
"hub group, inc.",HUBG,2022-10-01,2022-12-31,1599602000.0,-5902590.405904059,-292523.9852398524,0.43076302782731174,1.5275308267198635,-2043.9700219123704,35.305,34.425,34.49,40.03,39.52,39.745
"hub group, inc.",HUBG,2022-07-01,2022-09-30,1517385000.0,45780.208176195505,2634.635691657867,0.4487572393559398,1.3811066826523228,-67.44175711590957,34.59,34.315,35.47,35.18,35.01,35.515
"hub group, inc.",HUBG,2022-04-01,2022-06-30,4214434000.0,125239.48768238685,3056.2539003298566,-0.5729931379922328,1.556632273236438,10.49107317114559,39.455,37.75,38.605,35.345,34.135,35.095
"hub group, inc.",HUBG,2022-01-01,2022-03-31,3974105000.0,118122.25062418262,2600.850077279753,-0.5602261208087207,1.4170332923956195,-6.051263655852237,42.355,41.905,42.08,41.065,40.21,40.3
"hub group, inc.",HUBG,2021-10-01,2021-12-31,1340314000.0,191473428.57142857,12044857.142857144,0.45008111454752686,1.3015985294053436,44137.39931422079,35.205,34.37,34.375,42.355,41.905,42.08
"hub group, inc.",HUBG,2021-07-01,2021-09-30,1255125000.0,37541.500912272306,1296.2641701313073,0.45226447536090214,1.3674796975115482,25.006720363550127,33.01,32.92,32.99,35.0,34.805,35.135
"hub group, inc.",HUBG,2021-04-01,2021-06-30,3393295000.0,101510.56000957282,795.5007777910733,-0.5521294984628713,1.3503469935666885,-13.113406510416079,33.92,33.285,33.64,33.27,32.86,33.175
"hub group, inc.",HUBG,2021-01-01,2021-03-31,3331268000.0,99681.85762590144,515.5749723211347,-0.5459991729964307,1.3011441781523425,-32.69877197705121,28.385,28.18,28.5,33.67,33.255,33.98
"hub group, inc.",HUBG,2020-10-01,2020-12-31,1157923000.0,105265.72727272728,2035.2727272727273,0.4500212786573167,1.2716474045794313,106.35682803597665,25.37,24.815,25.0975,28.29,27.7962,28.325
"hub group, inc.",HUBG,2020-07-01,2020-09-30,1135011000.0,34.210778551406094,0.7469331163155198,0.4503498840176855,1.388268156424581,-0.030722947521166926,23.27,23.27,23.93,25.285,25.1,25.26
"hub group, inc.",HUBG,2020-04-01,2020-06-30,3105014000.0,93.6062825962437,0.3965512043652588,-0.553146119628227,1.343899730095283,-0.16745273620462686,21.75,21.505,22.735,23.425,23.105,23.345
"hub group, inc.",HUBG,2020-01-01,2020-03-31,3183316000.0,96.00156820169487,0.399167646792726,-0.5197676700211543,1.4893577667817537,0.1091397156689604,25.575,25.5075,25.645,21.56,21.5075,21.91
"hub group, inc.",HUBG,2019-10-01,2019-12-31,1075279000.0,-10646.326732673268,-276.7821782178218,0.4600858416508751,1.2618573647322238,3.63590074413848,22.945,22.8375,23.25,25.86,25.595,25.65
"hub group, inc.",HUBG,2019-07-01,2019-09-30,1044556000.0,31.62063328691651,0.7902464127868257,0.45330753453084577,1.257733325841434,-0.041390850644022224,20.615,20.615,20.99,23.38,22.7075,22.875
"hub group, inc.",HUBG,2019-04-01,2019-06-30,2962701000.0,88.3017703862661,0.8707975679542204,-0.5349835942757933,1.2301417466082885,,,,,20.615,20.615,20.99
"hub group, inc.",HUBG,2019-01-01,2019-03-31,2938376000.0,87.53242574994786,0.7117876612350681,-0.5214403472872328,1.181772810174003,,,,,,,
"hub group, inc.",HUBG,2018-10-01,2018-12-31,980834000.0,163472.33333333334,8151.833333333333,0.49044884456215343,1.1175777112070437,,,,,,,
