company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
haverty furniture companies inc,HVT,2023-10-01,2023-12-31,308366000.0,,,0.5285882228843369,1.8196565989700861,,28.9,28.6,28.78,36.4,35.49,35.5
haverty furniture companies inc,HVT,2023-07-01,2023-09-30,316416000.0,,,0.532400052609723,1.7894337080432743,,30.79,29.95,30.22,28.9,28.6,28.78
haverty furniture companies inc,HVT,2023-04-01,2023-06-30,305583000.0,,,0.534307136652494,1.7821214743035128,,31.56,31.19,31.91,30.54,30.41,30.45
haverty furniture companies inc,HVT,2023-01-01,2023-03-31,296412000.0,,,0.5428668368251814,1.965272866359713,,29.81,29.7,29.9,31.88,31.33,31.44
haverty furniture companies inc,HVT,2022-10-01,2022-12-31,289399000.0,,,0.5541184101662586,1.7888326253626192,,25.12,24.8,24.9,29.81,29.7,29.9
haverty furniture companies inc,HVT,2022-07-01,2022-09-30,283609000.0,,,0.5907199117968789,1.6087856557334523,,23.18,22.77,23.18,25.78,24.945,25.34
haverty furniture companies inc,HVT,2022-04-01,2022-06-30,266726000.0,,,0.6158324403424476,1.483842966486984,,27.74,27.02,27.42,24.43,23.58,23.67
haverty furniture companies inc,HVT,2022-01-01,2022-03-31,260400000.0,,,0.62472167578201,1.4649905025685173,,31.0,30.84,30.94,29.03,27.7,27.82
haverty furniture companies inc,HVT,2021-10-01,2021-12-31,255970000.0,,,0.627023561468184,1.4690626827077105,,35.75,33.7,33.71,31.0,30.84,30.94
haverty furniture companies inc,HVT,2021-07-01,2021-09-30,291541000.0,,,0.6182819210223107,1.5399552481692433,,42.59,42.5,42.76,36.15,35.7,36.0
haverty furniture companies inc,HVT,2021-04-01,2021-06-30,289412000.0,,,0.61976558876739,1.6207000809095942,,38.26,36.78,37.19,43.21,42.3,42.43
haverty furniture companies inc,HVT,2021-01-01,2021-03-31,270314000.0,,,0.6183471886506878,1.5944874562644233,,27.81,27.66,27.67,35.56,35.56,37.64
haverty furniture companies inc,HVT,2020-10-01,2020-12-31,252967000.0,,,0.6281931061242967,1.5499041859234173,,20.6,20.6,20.94,28.23,27.34,27.82
haverty furniture companies inc,HVT,2020-07-01,2020-09-30,267377000.0,,,0.6177188404761054,1.6379355566662872,,16.07,15.85,16.0,20.39,20.26,20.67
haverty furniture companies inc,HVT,2020-04-01,2020-06-30,264378000.0,,,0.5939573865512533,1.798434193552487,,11.46,11.3,11.89,15.8,15.58,16.14
haverty furniture companies inc,HVT,2020-01-01,2020-03-31,252447000.0,,,0.5608693307635172,1.5003645581350977,,20.11,19.96,20.16,12.37,11.34,11.7
haverty furniture companies inc,HVT,2019-10-01,2019-12-31,260503000.0,,,0.5348758731020298,1.6102144611702462,,20.3,20.14,20.27,20.09,19.86,20.17
haverty furniture companies inc,HVT,2019-07-01,2019-09-30,268722000.0,,,0.5354872835577343,1.6161469354559352,,17.03,16.96,17.03,20.32,20.19,20.24
haverty furniture companies inc,HVT,2019-04-01,2019-06-30,267260000.0,,,0.5234104169935946,1.729271861116563,,,,,17.03,16.96,17.03
haverty furniture companies inc,HVT,2019-01-01,2019-03-31,281926000.0,,,0.5097646774465598,1.8475917757541263,,,,,,,
haverty furniture companies inc,HVT,2018-10-01,2018-12-31,274629000.0,,,0.37609699690353243,2.2878743227619975,,,,,,,
haverty furniture companies inc,HVT,2018-07-01,2018-09-30,292423000.0,,,0.3825319267542822,2.2822346169821395,,,,,,,
haverty furniture companies inc,HVT,2018-04-01,2018-06-30,291778000.0,,,0.36413106251293953,2.2932179403440016,,,,,,,
haverty furniture companies inc,HVT,2018-01-01,2018-03-31,294522000.0,,,0.3538194208284974,2.4349149423117757,,,,,,,
haverty furniture companies inc,HVT,2017-10-01,2017-12-31,294142000.0,,,0.36240297054813375,2.349215021631506,,,,,,,
haverty furniture companies inc,HVT,2017-07-01,2017-09-30,293972000.0,,,0.3747923751432904,2.1725332382456317,,,,,,,
haverty furniture companies inc,HVT,2017-04-01,2017-06-30,290291000.0,,,0.36104006444824993,2.2687158343370704,,,,,,,
haverty furniture companies inc,HVT,2017-01-01,2017-03-31,286467000.0,,,0.3712589438567227,2.1409309057667403,,,,,,,
haverty furniture companies inc,HVT,2016-10-01,2016-12-31,281871000.0,,,0.37982860474582236,2.0230849400729545,,,,,,,
haverty furniture companies inc,HVT,2016-07-01,2016-09-30,293637000.0,,,0.37323477681773165,2.10336520989731,,,,,,,
haverty furniture companies inc,HVT,2016-04-01,2016-06-30,287940000.0,,,0.36986679096883474,2.1285692321208924,,,,,,,
haverty furniture companies inc,HVT,2016-01-01,2016-03-31,305037000.0,,,0.3449545067032016,2.511415078180439,,,,,,,
haverty furniture companies inc,HVT,2015-10-01,2015-12-31,301739000.0,,,0.35970639850101116,2.3276537323598903,,,,,,,
haverty furniture companies inc,HVT,2015-07-01,2015-09-30,293613000.0,,,0.37857183675110745,2.0912950752313684,,,,,,,
haverty furniture companies inc,HVT,2015-04-01,2015-06-30,299224000.0,,,0.367381758292406,2.2269106965995378,,,,,,,
haverty furniture companies inc,HVT,2015-01-01,2015-03-31,297461000.0,,,0.36660023082197324,2.2065903852315834,,,,,,,
haverty furniture companies inc,HVT,2014-10-01,2014-12-31,292083000.0,,,0.3663964493575741,2.184730117340287,,,,,,,
haverty furniture companies inc,HVT,2014-07-01,2014-09-30,290028000.0,,,0.3445220897330428,2.1804146786186114,,,,,,,
haverty furniture companies inc,HVT,2014-04-01,2014-06-30,305922000.0,,,0.3051838325474912,2.6305782506808537,,,,,,,
haverty furniture companies inc,HVT,2014-01-01,2014-03-31,303610000.0,,,0.28027725954916877,2.7030520599103185,,,,,,,
haverty furniture companies inc,HVT,2013-10-01,2013-12-31,298264000.0,,,0.2862021514640246,2.5692760673366193,,,,,,,
haverty furniture companies inc,HVT,2013-07-01,2013-09-30,280924000.0,,,0.3157340919941152,2.206714867640744,,,,,,,
haverty furniture companies inc,HVT,2013-04-01,2013-06-30,272092000.0,,,0.31829923058999793,2.213356342959303,,,,,,,
haverty furniture companies inc,HVT,2013-01-01,2013-03-31,267788000.0,,,0.33038603299709435,2.1780216854639622,,,,,,,
haverty furniture companies inc,HVT,2012-10-01,2012-12-31,259428000.0,,,0.3548107914527874,2.0012904804814826,,,,,,,
haverty furniture companies inc,HVT,2012-07-01,2012-09-30,272421000.0,,,0.32966943734959325,2.197799926511115,,,,,,,
haverty furniture companies inc,HVT,2012-04-01,2012-06-30,268952000.0,,,0.31422160459987,2.3944738854174905,,,,,,,
haverty furniture companies inc,HVT,2012-01-01,2012-03-31,266384000.0,14.12054068380599,0.13024118738404453,0.3124970965194365,2.5331885073580938,,,,,,,
haverty furniture companies inc,HVT,2011-10-01,2011-12-31,262669000.0,,,0.317920020773825,2.454990120625095,,,,,,,
haverty furniture companies inc,HVT,2011-07-01,2011-09-30,254425000.0,13.630397514196936,0.006321654344798028,0.31749472210225305,2.3699622541553538,,,,,,,
