company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"midland states bancorp, inc.",MSBI,2023-10-01,2023-12-31,791853000.0,-7999.0807430828445,-116.97796813916135,0.8993432964681751,1.1119224482209578,74.41587316709077,20.66,20.47,20.54,28.06,27.53,27.56
"midland states bancorp, inc.",MSBI,2023-07-01,2023-09-30,764250000.0,34.78548292218266,0.7115036559235319,0.9041803928697926,1.1059739935590553,-0.17326588959816958,20.25,19.615,19.91,20.66,20.47,20.54
"midland states bancorp, inc.",MSBI,2023-04-01,2023-06-30,776821000.0,34.990491608972725,0.8611356008402716,0.9033169913429477,-10.343079036225848,0.13689677785842938,21.41,21.1,21.42,20.17,20.08,20.13
"midland states bancorp, inc.",MSBI,2023-01-01,2023-03-31,775643000.0,34.50552182304329,0.8591647742175653,0.9021909229230027,-10.223999958743907,0.10052173920953067,26.59,26.58,26.62,22.05,21.22,21.3
"midland states bancorp, inc.",MSBI,2022-10-01,2022-12-31,758574000.0,21565.714285714286,834.001421464108,0.9034340394075439,1.1068876712413698,5.250518016636661,23.64,23.48,23.57,26.59,26.58,26.62
"midland states bancorp, inc.",MSBI,2022-07-01,2022-09-30,739279000.0,33.09390268818042,1.041504952721781,0.9054857293204688,1.1043796358341953,0.7088701495800122,24.06,23.8,24.04,24.07,23.5,23.75
"midland states bancorp, inc.",MSBI,2022-04-01,2022-06-30,636188000.0,28.521460315553185,0.9701155629597783,0.9144426997347431,-11.688073336812389,0.03559005795883324,29.14,28.82,28.86,24.69,24.155,24.33
"midland states bancorp, inc.",MSBI,2022-01-01,2022-03-31,644986000.0,28.955751239826885,0.9208128760625645,0.9121118615452433,-11.37809967968297,-0.13634917973813745,25.16,24.8,24.89,29.9,29.07,29.14
"midland states bancorp, inc.",MSBI,2021-10-01,2021-12-31,663837000.0,-10452.644507077737,-359.8702546095829,0.910820205526609,1.0979115240661903,-238.16641504390918,24.97,24.69,24.73,25.16,24.8,24.89
"midland states bancorp, inc.",MSBI,2021-07-01,2021-09-30,657844000.0,29.21089803560747,0.8597500437268286,0.9072670140890299,1.102211349548602,0.6503662611648391,26.26,26.1,26.27,24.77,24.645,24.86
"midland states bancorp, inc.",MSBI,2021-04-01,2021-06-30,648186000.0,28.692061268125315,0.8821162397077401,0.9022345365994923,-10.228560937755521,-0.4205665434232028,27.98,27.58,27.74,26.42,25.98,26.15
