company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
minerals technologies inc,MTX,2023-10-02,2023-12-31,1686700000.0,,,0.4959959361740274,2.4032363874917997,,55.58,54.67,54.76,72.1,70.295,71.31
minerals technologies inc,MTX,2023-07-03,2023-10-01,1622600000.0,49.926153846153845,-0.5907692307692308,0.5148742787096002,2.3108764519535376,-0.0022178946229579138,56.88,56.88,57.69,55.58,54.67,54.76
minerals technologies inc,MTX,2023-04-03,2023-07-02,1661500000.0,51.12307692307692,0.8492307692307692,0.5124992664749721,2.2867429055484965,-0.008658678005411674,59.7,59.47,60.42,56.88,56.88,57.69
minerals technologies inc,MTX,2023-01-01,2023-04-02,1658000000.0,51.01538461538462,1.1723076923076923,0.5195177790013621,2.1732943469785577,-0.004681278701453994,60.47,59.7804,60.72,59.7,59.47,60.42
minerals technologies inc,MTX,2022-10-03,2022-12-31,1613200000.0,-16132.0,-198.0,0.525752587017874,2.129924393155591,0.737198645148436,50.19,49.38,49.41,60.47,59.7804,60.72
minerals technologies inc,MTX,2022-07-04,2022-10-02,1535600000.0,47.24923076923077,0.4123076923076923,0.5466595813774983,2.1752786220871325,-0.0037314373597559436,61.02,60.49,61.68,50.19,49.38,49.41
minerals technologies inc,MTX,2022-04-04,2022-07-03,1576900000.0,48.076219512195124,1.3871951219512195,0.5366283682524757,2.2912642197896544,-0.01468681630337898,66.22,65.58,66.15,61.02,60.49,61.68
minerals technologies inc,MTX,2022-01-01,2022-04-03,1603000000.0,48.429003021148034,1.3564954682779455,0.5320800980792808,2.3957372006152493,0.003675764528046289,73.15,72.71,72.8,66.22,65.58,66.15
minerals technologies inc,MTX,2021-10-04,2021-12-31,1579500000.0,-15795.0,-412.0,0.5318890403651236,2.4499761791329204,4.553191489361702,70.5,70.5,72.46,73.15,72.71,72.8
minerals technologies inc,MTX,2021-07-05,2021-10-03,1545600000.0,46.13731343283582,1.2358208955223882,0.5433028986791951,2.4327899834632647,0.026829171926827478,79.33,77.54,77.7,70.5,70.5,72.46
