company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"northeast community bancorp, inc./md/",NECB,2023-10-01,2023-12-31,279325000.0,-1311.3849765258217,-56.81220657276995,0.8416646118352621,1.1881217125423456,-8.714444910732107,14.935,14.74,14.76,17.95,17.61,17.74
"northeast community bancorp, inc./md/",NECB,2023-07-01,2023-09-30,272413000.0,18.477446923963914,0.8032964796852744,0.8416152842096695,1.1881913491377047,0.40872847606423907,14.99,14.77,14.88,14.935,14.74,14.76
"northeast community bancorp, inc./md/",NECB,2023-04-01,2023-06-30,269560000.0,18.337414965986394,0.75421768707483,0.8331571402752573,-5.993663748330613,0.5284615384615384,13.0,13.0,13.12,14.83,14.83,14.94
"northeast community bancorp, inc./md/",NECB,2023-01-01,2023-03-31,262503000.0,17.91951669055908,0.7675609256604546,0.8253170874535848,-5.724658384856554,0.3193532069223243,14.82,14.8,14.92,12.97,12.89,13.0
"northeast community bancorp, inc./md/",NECB,2022-10-01,2022-12-31,261989000.0,-3194.987804878049,-100.76829268292683,0.8161432963522561,1.225275027644642,-123.11947544534922,12.61,12.4,12.4,14.82,14.8,14.92
"northeast community bancorp, inc./md/",NECB,2022-07-01,2022-09-30,260037000.0,16.73770597322348,0.4854531410916581,0.7976216140492877,1.253727309272999,0.3035146920262068,11.75,11.75,11.77,12.4,12.16,12.54
"northeast community bancorp, inc./md/",NECB,2022-04-01,2022-06-30,256312000.0,16.489449305198146,0.346950591868245,0.7901816485072733,-4.766027341677331,-0.3590074319759229,12.15,12.11,12.25,11.97,11.79,11.82
"northeast community bancorp, inc./md/",NECB,2022-01-01,2022-03-31,254373000.0,16.38684532629002,0.23481285833923854,0.8014818641770183,-5.037323143572627,0.3282921105052212,11.22,11.19,11.21,11.95,11.95,12.01
"northeast community bancorp, inc./md/",NECB,2021-07-01,2021-09-30,248699000.0,,,0.7755484959793507,1.289410017792911,,,,,10.83,10.83,10.86
northeast community bancorp inc,NECB,2015-07-01,2015-09-30,104320000.0,8.722408026755852,0.07642140468227425,0.8126938014073102,1.2304757317803323,,,,,,,
northeast community bancorp inc,NECB,2015-04-01,2015-06-30,103491000.0,8.656712672521957,0.06148055207026349,0.8073915948432292,1.2385563664360038,,,,,,,
northeast community bancorp inc,NECB,2015-01-01,2015-03-31,102918000.0,8573.642119293569,-12.99566811062979,0.8085307069357807,1.2368114054565242,,,,,,,
northeast community bancorp inc,NECB,2014-10-01,2014-12-31,103810000.0,-8650.833333333334,-54.0,0.798593393801232,1.252201693329932,,,,,,,
northeast community bancorp inc,NECB,2014-07-01,2014-09-30,103567000.0,8.572717490273984,0.031288800595977155,0.7937167122785632,1.259895356277996,,,,,,,
northeast community bancorp inc,NECB,2014-04-01,2014-06-30,103276000.0,8.539441045146354,0.03770464693236315,0.7827616090735459,1.2775281623527388,,,,,,,
northeast community bancorp inc,NECB,2014-01-01,2014-03-31,103463000.0,8.482659670410756,0.0176272853980487,0.7770611975771784,1.286899929011935,,,,,,,
northeast community bancorp inc,NECB,2013-10-01,2013-12-31,104168000.0,-52084.0,-84.0,0.7726706312401113,1.2942125138042744,,,,,,,
northeast community bancorp inc,NECB,2013-07-01,2013-09-30,104632000.0,8.490100616682895,0.03091528724440117,0.7584220502910286,1.318527064998006,,,,,,,
northeast community bancorp inc,NECB,2013-04-01,2013-06-30,104309000.0,8468.014288033772,30.930345835362882,0.7567783726309506,1.3213908274406494,,,,,,,
northeast community bancorp inc,NECB,2013-01-01,2013-03-31,103990000.0,8446.917390951181,16.814231175371617,0.7573490636039929,1.320395109807498,,,,,,,
northeast community bancorp inc,NECB,2012-10-01,2012-12-31,103849000.0,34616333.333333336,-677000.0,0.7662237970033137,1.3051017260374587,,,,,,,
northeast community bancorp inc,NECB,2012-07-01,2012-09-30,106049000.0,8623.27207676045,-81.3140348024069,0.7631111031688237,1.3104251738016832,,,,,,,
northeast community bancorp inc,NECB,2012-01-01,2012-03-31,107170000.0,8723.646723646723,20.512820512820515,0.7884185983151668,1.2683617587623859,,,,,,,
northeast community bancorp inc,NECB,2011-10-01,2011-12-31,107065000.0,-1784416.6666666667,-5483.333333333333,0.7811824913292553,1.2801106157645779,,,,,,,
northeast community bancorp inc,NECB,2011-07-01,2011-09-30,106840000.0,8702.45173902419,38.03860878064674,0.7695476801622053,1.299464641085293,,,,,,,
northeast community bancorp inc,NECB,2011-04-01,2011-06-30,107499000.0,8557.4749243751,57.63413469192804,0.7579903330309122,1.3192780388126903,,,,,,,
northeast community bancorp inc,NECB,2011-01-01,2011-03-30,,,10569.620253164558,,,,,,,,,
