company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
new england realty associates limited partnership,NEN,2023-10-01,2023-12-31,-65354384.0,,,1.169430086053044,0.855117387457604,,,,,67.04,67.04,69.7
new england realty associates limited partnership,NEN,2023-07-01,2023-09-30,-64652184.0,,,1.1674240677352987,0.8565867602335056,,70.1,70.1,72.97,,,
new england realty associates limited partnership,NEN,2023-04-01,2023-06-30,-64306033.0,,,1.1661926202027322,0.857491277749776,,,,,,,
new england realty associates limited partnership,NEN,2023-01-01,2023-03-31,-64929774.0,,,1.1686503432549034,0.8556879358926285,,71.0,71.0,71.0,,,
new england realty associates limited partnership,NEN,2022-10-01,2022-12-31,-59869357.0,,,1.1527980047382949,0.8674546589166047,,78.522,76.11,77.0,71.0,71.0,71.0
new england realty associates limited partnership,NEN,2022-07-01,2022-09-30,-61002779.0,,,1.1573119319151142,0.8640712779528721,,76.75,76.75,77.0,77.14,76.13,76.13
new england realty associates limited partnership,NEN,2022-04-01,2022-06-30,-59372762.0,,,1.1522928782134008,0.8678349219258156,,79.8,79.8,80.11,78.0,78.0,78.0
new england realty associates limited partnership,NEN,2022-01-01,2022-03-31,-56109137.0,,,1.1602189287272708,0.8619062965098951,,68.245,67.875,67.875,78.99,78.99,78.99
new england realty associates limited partnership,NEN,2021-10-01,2021-12-31,-49292607.0,,,1.1381226676762883,0.878639911497155,,60.99,60.97,60.97,68.245,67.875,67.875
new england realty associates limited partnership,NEN,2021-07-01,2021-09-30,-44775300.0,,,1.1549901649144536,0.8658082383533255,,61.33,60.01,60.01,61.97,59.81,60.12
new england realty associates limited partnership,NEN,2021-04-01,2021-06-30,-43531055.0,,,1.1499995442922362,0.8695655619719806,,54.64,54.64,55.35,,,
new england realty associates limited partnership,NEN,2021-01-01,2021-03-31,-42932085.0,,,1.1479738631358838,0.8710999719700341,,50.1569,50.1569,50.1569,,,
new england realty associates limited partnership,NEN,2020-10-01,2020-12-31,-41469045.0,,,1.1421781519762213,0.8755201614299646,,49.0,48.4899,49.0,50.7581,50.44,50.5981
new england realty associates limited partnership,NEN,2020-07-01,2020-09-30,-39330161.0,,,1.1341927733976434,0.881684333964103,,53.0,53.0,53.0,49.125,49.125,49.125
new england realty associates limited partnership,NEN,2020-04-01,2020-06-30,-37722018.0,,,1.1279422554093794,0.8865702080086152,,46.977,46.977,46.977,51.17,51.0,52.01
new england realty associates limited partnership,NEN,2020-01-01,2020-03-31,-38014124.0,,,1.1290006333444171,0.8857390956794409,,62.0,61.64,62.0,,,
new england realty associates limited partnership,NEN,2019-10-01,2019-12-31,-37823788.0,,,1.1285239696083282,0.8861132124176907,,,,,,,
new england realty associates limited partnership,NEN,2019-07-01,2019-09-30,-38181542.0,,,1.1566965765696509,0.8645309584693707,,59.855,59.0001,59.0001,,,
new england realty associates limited partnership,NEN,2019-04-01,2019-06-30,-38017344.0,,,1.1554963520162764,0.865428954626344,,,,,59.855,59.0001,59.0001
new england realty associates limited partnership,NEN,2019-01-01,2019-03-31,-38231583.0,,,1.1572185764804712,0.8641409845332496,,,,,,,
new england realty associates limited partnership,NEN,2018-10-01,2018-12-31,-35624010.0,,,1.1442061285644394,0.8739684004792341,,,,,,,
new england realty associates limited partnership,NEN,2018-07-01,2018-09-30,-36081408.0,,,1.144336581373063,0.8738687692742665,,,,,,,
new england realty associates limited partnership,NEN,2018-04-01,2018-06-30,-35622256.0,,,1.1403772836020436,0.8769027710209711,,,,,,,
new england realty associates limited partnership,NEN,2018-01-01,2018-03-31,-34556100.0,,,1.1349219115146667,0.8811178900100713,,,,,,,
new england realty associates limited partnership,NEN,2017-10-01,2017-12-31,-35315177.0,,,1.1557056892135487,0.865272196315391,,,,,,,
new england realty associates limited partnership,NEN,2017-07-01,2017-09-30,-32376258.0,,,1.1361584185697475,0.880158949364517,,,,,,,
new england realty associates limited partnership,NEN,2017-04-01,2017-06-30,-32128500.0,,,1.1682262821074823,0.8559985469561584,,,,,,,
new england realty associates limited partnership,NEN,2017-01-01,2017-03-31,-33492726.0,,,1.1762556356494187,0.850155331623889,,,,,,,
new england realty associates limited partnership,NEN,2016-10-01,2016-12-31,-34224726.0,,,1.1795988399915858,0.8477458319704122,,,,,,,
new england realty associates limited partnership,NEN,2016-07-01,2016-09-30,-30894011.0,,,1.1602862931952054,0.8618562555334445,,,,,,,
new england realty associates limited partnership,NEN,2016-04-01,2016-06-30,-31167832.0,,,1.1610140767501331,0.8613159995434011,,,,,,,
