company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"nexpoint real estate finance, inc.",NREF,2023-10-01,2023-12-31,445507000.0,40500.63636363636,1239.5454545454545,0.9365225716061873,1.0677799236434262,-558.2171012734991,16.49,16.12,16.36,16.7,15.59,15.75
"nexpoint real estate finance, inc.",NREF,2023-07-01,2023-09-30,434163000.0,25.19516016713092,-0.9023909006499535,0.9369531303434488,1.0672892459769474,-0.807799442896936,16.0,15.38,15.59,16.49,16.12,16.36
"nexpoint real estate finance, inc.",NREF,2023-04-01,2023-06-30,466188000.0,27.08348341369895,0.33387555917039446,0.9386855726542715,-20.45843726371814,-1.435560530610629,15.82,15.16,15.67,15.23,15.22,15.85
"nexpoint real estate finance, inc.",NREF,2023-01-01,2023-03-31,472976000.0,27.630330646103516,0.38363126533473535,0.9411909084737383,-21.31813796174562,-0.22278286209688844,16.18,15.82,15.89,15.33,15.175,15.58
"nexpoint real estate finance, inc.",NREF,2022-10-01,2022-12-31,545014000.0,3406.3375,-41.5625,0.9331610363133507,1.071626397894527,-43.60955505761844,15.62,14.91,14.98,16.18,15.82,15.89
"nexpoint real estate finance, inc.",NREF,2022-07-01,2022-09-30,495071000.0,33.08855767945462,-0.5386311990375618,0.9401793540345112,1.063626844929944,-0.5875505449169425,20.51,20.03,20.27,16.67,15.02,15.68
"nexpoint real estate finance, inc.",NREF,2022-04-01,2022-06-30,514541000.0,34.88886628695416,0.3405885543802549,0.9345468362436363,-21.461063442360246,-1.4628827523299595,22.83,22.53,22.6,21.14,20.2,20.48
"nexpoint real estate finance, inc.",NREF,2022-01-01,2022-03-31,508649000.0,36.71230602670516,0.9325153374233128,0.9365889355484759,-22.319825146708144,-0.9276973477623064,19.25,19.25,19.33,22.78,22.56,22.75
"nexpoint real estate finance, inc.",NREF,2021-10-01,2021-12-31,506706000.0,587.1448435689456,14.409038238702202,0.9404849730153583,1.0632812098994269,-18.881554734734955,19.93,19.25,19.48,19.25,19.25,19.33
"nexpoint real estate finance, inc.",NREF,2021-07-01,2021-09-30,496495000.0,72.34372723298848,1.9281655252804897,0.9401554190868409,1.0636539232750317,-1.207501724806848,20.75,20.51,20.89,19.56,19.36,19.86
"nexpoint real estate finance, inc.",NREF,2021-04-01,2021-06-30,437536000.0,82.46061062947607,1.044477949491142,0.9487430606743195,-56.14915869653875,0.2780522761511941,18.82,18.31,18.58,20.73,20.11,20.58
"nexpoint real estate finance, inc.",NREF,2021-01-01,2021-03-31,419954000.0,83.6062114274338,1.6657376070077643,0.9295403193481833,-44.357639896700825,-1.2063768204719827,16.25,16.185,16.52,18.64,18.22,18.59
"nexpoint real estate finance, inc.",NREF,2020-10-01,2020-12-31,403913000.0,-8593.893617021276,-198.29787234042553,0.934602861579163,1.0699731844500646,56.07043286867204,14.5,14.21,14.68,16.24,16.11,16.11
"nexpoint real estate finance, inc.",NREF,2020-07-01,2020-09-30,389020000.0,73.94411708800608,0.5440030412469112,0.9369052838053922,1.0673437510548969,1.0963014238822992,16.75,16.27,16.75,14.88,14.5,14.5
"nexpoint real estate finance, inc.",NREF,2020-04-01,2020-06-30,337681000.0,64.16131483944518,1.001330039901197,0.9125010559024559,-44.720650775809126,0.39569233054003117,8.7,8.3001,9.65,16.9,16.51,16.92
"nexpoint real estate finance, inc.",NREF,2020-01-01,2020-03-31,316494000.0,60.59620907524411,-1.2163507562703426,0.8834415769751319,-32.675784305466976,,,,,9.45,8.68,8.68
