company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
oak valley bancorp,OVLY,2023-10-01,2023-12-31,166092000.0,88629.66915688367,3129.6691568836713,0.9098512718584559,1.0990807299278782,-338.4300009510022,25.25,25.0,25.08,30.2851,29.8425,29.95
oak valley bancorp,OVLY,2023-07-01,2023-09-30,135095000.0,16.48102964499207,0.897157496645114,0.9263948715322311,1.079453298727818,-0.08150916028590745,25.73,25.07,25.19,25.25,25.0,25.08
oak valley bancorp,OVLY,2023-04-01,2023-06-30,147122000.0,17.952654057352046,1.025503355704698,0.9209749300778369,-12.654212150460163,-0.4530659317467503,23.3773,23.3773,23.66,25.11,25.04,25.32
oak valley bancorp,OVLY,2023-01-01,2023-03-31,141470000.0,17.288280581693755,1.127337162409874,0.9271026457818263,-13.717918993426169,-0.25218825432853836,22.59,22.39,22.65,24.25,23.39,23.41
oak valley bancorp,OVLY,2022-10-01,2022-12-31,126626000.0,60936.47738209817,4559.672762271415,0.9356688305816152,1.068754208022935,-447.3784727467339,17.84,17.84,17.87,22.59,22.39,22.65
oak valley bancorp,OVLY,2022-07-01,2022-09-30,106188000.0,12.992536400342592,0.8320078306619356,0.9458906378186673,1.057204670411069,-0.1641267129124472,17.05,17.05,17.2,18.07,18.07,18.07
oak valley bancorp,OVLY,2022-04-01,2022-06-30,118698000.0,14.528518971848225,0.5211750305997552,0.9403897581149387,-16.775640701612495,0.352827616403459,18.45,18.425,18.45,18.2,16.76,17.13
oak valley bancorp,OVLY,2022-01-01,2022-03-31,131649000.0,16.137411130178965,0.2903898014219171,0.9323495813761326,-14.781874530000227,-0.0636759641222199,17.31,17.2509,17.2509,18.48,18.48,18.5
oak valley bancorp,OVLY,2021-10-01,2021-12-31,142612000.0,70321.49901380671,1709.5660749506903,0.9274046336991303,1.0782779853183495,,,,,17.31,17.2509,17.2509
oak valley bancorp,OVLY,2021-07-01,2021-09-30,139788000.0,17.156111929307805,0.5589101620029455,0.9247139774197943,1.0814154694517264,0.5812210939720435,18.05,18.0,18.17,17.5227,17.5227,17.54
oak valley bancorp,OVLY,2021-04-01,2021-06-30,136620000.0,16.77142155659219,0.48612816106064327,0.9225713871181277,-12.915122236861368,0.6638907060244498,17.88,17.07,17.15,18.2,18.05,18.05
oak valley bancorp,OVLY,2021-01-01,2021-03-31,131942000.0,16.219053472649048,0.5355869698832206,0.9207743032579678,-12.622167315941853,1.0816000698275767,16.9,16.61,16.62,17.4,17.15,17.46
