company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
petmed express inc,PETS,2023-04-01,2023-06-30,118322000.0,5.819210150986081,-0.04362366596173708,0.3453360407664175,1.8462370468580998,-0.018709680821798354,16.04,15.97,16.24,13.92,13.81,14.07
petmed express inc,PETS,2023-01-01,2023-03-31,123795000.0,6877.5,-283.44444444444446,0.24569057440728262,3.6016932898594405,-19.565633371603518,17.42,17.42,17.7,16.25,15.79,15.9
petmed express inc,PETS,2022-10-01,2022-12-31,133585000.0,6.580217723264864,-0.0009359144869710851,0.19098721543595304,4.313314666409192,-0.015320447670718945,19.6,19.28,19.52,17.42,17.42,17.7
petmed express inc,PETS,2022-07-01,2022-09-30,138153000.0,6.818666403435171,0.1272888801145057,0.18380645733022183,4.522035007361361,-0.01523637792876161,20.22,19.74,19.9,19.75,19.291,19.71
petmed express inc,PETS,2022-04-01,2022-06-30,140200000.0,6.93784639746635,0.13732185273159145,0.1489568347507269,5.615181821986023,-0.011247345448415933,26.68,25.79,25.8,20.98,20.13,20.53
petmed express inc,PETS,2022-01-01,2022-03-31,142186000.0,12926.0,551.4545454545455,0.19358662424355855,4.5484531734795315,-21.40158870255958,25.75,25.75,25.99,28.77,26.56,26.61
petmed express inc,PETS,2021-10-01,2021-12-31,140902000.0,6.972585114806018,0.21065914489311163,0.16343385046518116,5.440852845992766,-0.010723005404267386,27.98,26.75,26.87,25.75,25.75,25.99
petmed express inc,PETS,2021-07-01,2021-09-30,141487000.0,7.011943701060561,0.31464961839627315,0.11229970009913041,8.200897246804326,-0.009059127144805825,34.06,31.85,31.85,27.52,27.48,28.0
petmed express inc,PETS,2021-04-01,2021-06-30,140347000.0,6.9793127455368245,0.22019991048784127,0.190257496119961,4.61938986880924,-0.00895032573666833,33.52,33.3,35.175,34.75,33.57,34.11
petmed express inc,PETS,2021-01-01,2021-03-31,141281000.0,10867.76923076923,524.0,0.2464892771617679,3.587114721264048,-13.359825905951366,32.52,31.99,32.06,33.09,32.38,33.18
petmed express inc,PETS,2020-10-01,2020-12-31,139127000.0,6.923808101920971,0.3787697820244849,0.16875085887041363,5.237881207978901,-0.008877110806855213,31.54,31.33,31.62,32.92,32.41,32.43
petmed express inc,PETS,2020-07-01,2020-09-30,136409000.0,6.799033045905398,0.41927927029855955,0.14180649139032017,6.266893488328136,-0.00868372411335431,33.4,33.05,35.64,31.59,31.14,31.38
petmed express inc,PETS,2020-04-01,2020-06-30,132871000.0,6.648869095276221,0.38871096877502004,0.18361340665417344,4.658335904556207,-0.010087349158606165,27.75,27.495,28.78,36.59,32.985,33.26
petmed express inc,PETS,2020-01-01,2020-03-31,130010000.0,-6842.631578947368,-368.57894736842104,0.16297006882432094,5.300004107957113,12.189555038304219,23.29,23.25,23.52,26.95,26.47,27.79
petmed express inc,PETS,2019-10-01,2019-12-31,127710000.0,6.390612489991994,0.3422738190552442,0.14600385170919594,5.923618817852835,-0.015084693453086492,17.9,17.67,18.02,23.12,22.95,23.26
petmed express inc,PETS,2019-07-01,2019-09-30,125591000.0,6.291188699093323,0.3338676551620498,0.13705105918082686,6.375128025443372,-0.01736148631386349,15.97,15.64,15.67,17.72,17.55,17.82
petmed express inc,PETS,2019-04-01,2019-06-30,123643000.0,6.11035334815913,0.26404744255003704,0.14633001235872048,5.787064922241422,,,,,15.97,15.64,15.67
petmed express inc,PETS,2019-01-01,2019-03-31,134680000.0,14964.444444444445,735.5555555555555,0.1278727165586329,6.787877160957801,,,,,,,
petmed express inc,PETS,2018-10-01,2018-12-31,132858000.0,6.486256895962505,0.3801689205682761,0.15332309437473313,5.57318237029325,,,,,,,
petmed express inc,PETS,2018-07-01,2018-09-30,129841000.0,6.345159556272296,0.5254361530567365,0.12311661297620737,6.989029040774421,,,,,,,
petmed express inc,PETS,2018-04-01,2018-06-30,123881000.0,6.070217561740494,0.6165229321834574,0.18855417346250336,4.411232337685566,,,,,,,
petmed express inc,PETS,2018-01-01,2018-03-31,115731000.0,12859.0,1131.4444444444443,0.14169064641490403,5.8111988513998565,,,,,,,
petmed express inc,PETS,2017-10-01,2017-12-31,109981000.0,5.399695600942655,0.44501178318931656,0.1888768428583018,4.2349001363599905,,,,,,,
petmed express inc,PETS,2017-07-01,2017-09-30,104323000.0,5.1266892722001085,0.4304879846675512,0.1646274082734101,4.911243832770709,,,,,,,
petmed express inc,PETS,2017-04-01,2017-06-30,99031000.0,4.880057162568374,0.45710343468191,0.21194445549675725,3.7088775390853446,,,,,,,
