company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
packaging corp of america,PKG,2023-10-01,2023-12-31,3997300000.0,,,0.5395399200562141,2.57122540886466,,154.53,153.348,153.55,163.01,162.4719,162.91
packaging corp of america,PKG,2023-07-01,2023-09-30,3887200000.0,43.627384960718295,2.04040404040404,0.5246527098415182,2.1685041832825083,-0.013186362996248927,131.5,130.35,132.16,154.53,153.348,153.55
packaging corp of america,PKG,2023-04-01,2023-06-30,11955100000.0,134.17620650953984,2.2536475869809203,-0.4747548263738975,3.3478751410304626,-0.01003779713441584,138.31,138.07,138.83,128.89,128.735,131.86
packaging corp of america,PKG,2023-01-01,2023-03-31,11806700000.0,132.65955056179774,2.1179775280898876,-0.4668530252205243,3.119073470865002,-0.010344380567380015,127.41,127.06,127.91,137.98,136.93,137.58
packaging corp of america,PKG,2022-10-01,2022-12-31,3667100000.0,-6111.833333333333,-350.1666666666667,0.5418301306879232,2.8649914334665905,7.3025948455728935,113.43,111.95,112.29,127.41,127.06,127.91
packaging corp of america,PKG,2022-07-01,2022-09-30,3971200000.0,42.793103448275865,2.8081896551724137,0.524088011121231,3.01795723479344,-0.020841814554026006,137.22,135.48,137.5,113.8,111.98,114.22
packaging corp of america,PKG,2022-04-01,2022-06-30,12305100000.0,132.45532831001077,3.217438105489774,-0.47532551614991725,3.0736971939562134,-0.00711607159263532,156.41,156.11,156.11,140.0,137.98,138.92
packaging corp of america,PKG,2022-01-01,2022-03-31,11917100000.0,128.27879440258343,2.7147470398277718,-0.4644129863107965,2.9645624547990495,-0.007491640498281576,135.35,134.02,134.67,156.39,156.08,156.87
packaging corp of america,PKG,2021-10-01,2021-12-31,3607200000.0,-36072.0,-2150.0,0.5397100857492855,3.0884945750452077,73.67864693446089,141.9,137.37,137.44,135.35,134.02,134.67
packaging corp of america,PKG,2021-07-01,2021-09-30,3608300000.0,38.26405090137858,2.64050901378579,0.5819275154099273,2.3137922646558016,0.04665707460063428,134.53,134.23,135.42,142.05,141.14,141.38
packaging corp of america,PKG,2021-04-01,2021-06-30,11117900000.0,118.0244161358811,2.1815286624203822,-0.4488506046705588,3.6252448579823704,-0.008382892174794066,135.12,133.79,134.48,136.03,134.635,135.07
packaging corp of america,PKG,2021-01-01,2021-03-31,10880200000.0,115.50106157112526,1.753715498938429,-0.441276990329845,3.5454206999255398,-0.007354443750929918,137.56,136.2,137.91,135.62,135.07,135.45
packaging corp of america,PKG,2020-10-01,2020-12-31,3246300000.0,32463.0,1235.0,0.5632701931873217,3.5143112701252237,-6.894659839063643,109.36,107.96,109.05,136.14,136.14,137.47
packaging corp of america,PKG,2020-07-01,2020-09-30,3205400000.0,34.0276008492569,1.4660297239915074,0.5652280064020834,3.5384317771472786,-0.008194393206815385,97.55,97.11,99.8,111.39,108.35,108.75
packaging corp of america,PKG,2020-04-01,2020-06-30,10405100000.0,110.69255319148937,0.597872340425532,-0.43084433443344333,3.8897015798712697,-0.010067382151717916,90.56,86.2,86.83,97.09,96.75,98.02
packaging corp of america,PKG,2020-01-01,2020-03-31,10497500000.0,111.79446219382322,1.496272630457934,-0.4286978060863411,3.5100725221595486,-0.007176092922769209,111.6,111.24,111.99,86.91,86.15,90.76
packaging corp of america,PKG,2019-10-01,2019-12-31,3071000000.0,,,0.5755825202465519,3.424150317767339,,105.26,105.26,106.1,111.68,111.065,111.72
packaging corp of america,PKG,2019-07-01,2019-09-30,3034700000.0,32.31842385516507,1.900958466453674,0.5779922404082825,3.2844167639807966,-0.008543269450299531,93.99,93.96,95.32,105.05,104.79,105.6
packaging corp of america,PKG,2019-04-01,2019-06-30,9995600000.0,106.56289978678038,2.0479744136460556,-0.41292547777903427,3.2931743421052633,,,,,93.99,93.96,95.32
packaging corp of america,PKG,2019-01-01,2019-03-31,9723200000.0,103.76947705442903,1.9786552828175026,-0.40334266662817886,3.054407992439584,,,,,,,
packaging corp of america,PKG,2018-10-01,2018-12-31,2672400000.0,,,0.5932234348600393,3.0494521337946945,,,,,,,
packaging corp of america,PKG,2018-07-01,2018-09-30,2530200000.0,27.003201707577375,2.188900747065101,0.6107384615384616,2.758904109589041,,,,,,,
packaging corp of america,PKG,2018-04-01,2018-06-30,2388000000.0,25.512820512820515,1.9786324786324787,0.6218886566596998,2.7334450963956414,,,,,,,
packaging corp of america,PKG,2018-01-01,2018-03-31,2273800000.0,24.292735042735043,1.485042735042735,0.6296622039805857,2.7206057007125892,,,,,,,
packaging corp of america,PKG,2017-10-01,2017-12-31,2182600000.0,,,0.6478257361839451,2.299867899603699,,,,,,,
packaging corp of america,PKG,2017-07-01,2017-09-30,1994200000.0,21.305555555555557,1.4743589743589745,0.6691332625431378,2.4284847749605727,,,,,,,
packaging corp of america,PKG,2017-04-01,2017-06-30,1906600000.0,20.41327623126338,1.5203426124197001,0.6770226317929259,2.451197053406998,,,,,,,
packaging corp of america,PKG,2017-01-01,2017-03-31,1824700000.0,19.536402569593147,1.246252676659529,0.6877331690454188,2.292654639175258,,,,,,,
packaging corp of america,PKG,2016-10-01,2016-12-31,1759800000.0,-17598.0,-1106.0,0.6953782239916911,2.712344099776143,,,,,,,
packaging corp of america,PKG,2016-07-01,2016-09-30,1730000000.0,18.522483940042825,1.265524625267666,0.6989838530066815,2.740392156862745,,,,,,,
packaging corp of america,PKG,2016-04-01,2016-06-30,1662300000.0,17.835836909871244,1.23068669527897,0.6861275278034781,2.919129646418858,,,,,,,
packaging corp of america,PKG,2016-01-01,2016-03-31,1590800000.0,16.905419766206165,1.0903294367693943,0.6956746312627934,2.8037777370254906,,,,,,,
packaging corp of america,PKG,2015-10-01,2015-12-31,1633300000.0,-8166.5,-521.5,0.690932142451652,2.766506495817761,,,,,,,
packaging corp of america,PKG,2015-07-01,2015-09-30,1615000000.0,16.735751295336787,1.3088082901554403,0.7021504186492568,2.6723424570337366,,,,,,,
packaging corp of america,PKG,2015-04-01,2015-06-30,1591000000.0,16.43595041322314,1.1632231404958677,0.7059095362206326,2.7340811613328935,,,,,,,
packaging corp of america,PKG,2015-01-01,2015-03-31,1556300000.0,16.027806385169928,0.9227600411946447,0.7110149663906117,2.5990664735232576,,,,,,,
packaging corp of america,PKG,2014-10-01,2014-12-31,1521400000.0,33073.913043478264,2141.304347826087,0.7155464148826773,2.5836333878887072,,,,,,,
packaging corp of america,PKG,2014-07-01,2014-09-30,1552039000.0,15.973231101734164,1.0599907374054442,0.7088516079072565,2.3153999434811277,,,,,,,
packaging corp of america,PKG,2014-04-01,2014-06-30,1482619000.0,15.299558334881224,1.0117330196272676,0.72048402060466,2.3927920560925227,,,,,,,
packaging corp of america,PKG,2014-01-01,2014-03-31,1417583000.0,14.646419457158503,0.9162800789362208,0.730699657367436,2.4265820994571308,,,,,,,
packaging corp of america,PKG,2013-10-01,2013-12-31,1313015000.0,30535.232558139534,5279.6511627906975,0.7474958528638797,2.2515006683935392,,,,,,,
packaging corp of america,PKG,2013-07-01,2013-09-30,1099128000.0,11.359556832509973,0.8700055809338763,0.5863444066464718,3.2097247260541053,,,,,,,
packaging corp of america,PKG,2013-04-01,2013-06-30,1051286000.0,10.901837564294011,0.6685021569603451,0.5979510643367175,3.203059712334738,,,,,,,
packaging corp of america,PKG,2013-01-01,2013-03-31,1001819000.0,10.390696468391848,0.6286677384224446,0.6018109349276493,3.532495285983658,,,,,,,
packaging corp of america,PKG,2012-10-01,2012-12-31,969461000.0,-40394.208333333336,-2542.9583333333335,0.6049092660756844,3.6061090030248684,,,,,,,
packaging corp of america,PKG,2012-07-01,2012-09-30,940096000.0,9.756081361560813,0.41294105437941053,0.6170922346903448,3.009965598830946,,,,,,,
packaging corp of america,PKG,2012-04-01,2012-06-30,922720000.0,9.58510793011032,0.4690544948372219,0.6741222204132028,1.8634534776533884,,,,,,,
packaging corp of america,PKG,2012-01-01,2012-03-31,921944000.0,9.544131348475124,0.18472432141452205,0.6300918126160798,2.697449071851247,,,,,,,
packaging corp of america,PKG,2011-10-01,2011-12-31,928910000.0,-1398.960843373494,-59.43524096385542,0.6149594258899175,2.156873837981408,,,,,,,
packaging corp of america,PKG,2011-07-01,2011-09-30,973551000.0,9.831862250050495,0.42190466572409613,0.5639663857416639,1.5875420636049102,,,,,,,
packaging corp of america,PKG,2011-04-01,2011-06-30,1021205000.0,10.20245968789338,0.39331028832897075,0.5479755716784092,1.7435446932951248,,,,,,,
packaging corp of america,PKG,2011-01-01,2011-03-31,1020496000.0,10.129897459822713,0.37141779414538273,0.5405131234558952,1.9934987645587139,,,,,,,
packaging corp of america,PKG,2010-10-01,2010-12-31,1009001000.0,-4311.970085470086,-234.57692307692307,0.5463683880672975,1.9677604682930678,,,,,,,
packaging corp of america,PKG,2010-07-01,2010-09-30,966312000.0,9.494497720484201,0.916915579311429,0.5587680910598567,1.908208410493284,,,,,,,
packaging corp of america,PKG,2010-04-01,2010-06-30,921153000.0,9.027813985397168,0.37271524476895185,0.5819627604754032,2.1681044362222215,,,,,,,
packaging corp of america,PKG,2010-01-01,2010-03-30,,,-362.1509433962264,,,,,,,,,
