company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"riley exploration permian, inc.",REPX,2023-10-01,2023-12-31,421595000.0,11094.605263157895,1000.6578947368421,0.5542031339383807,0.6705177804865122,-32.281242397210285,32.45,31.53,31.79,28.0,27.23,27.24
"riley exploration permian, inc.",REPX,2023-07-01,2023-09-30,388780000.0,19.755081300813007,0.439380081300813,0.5921484538505034,0.6263315346548495,-0.024568294874323406,37.1,35.61,35.72,32.45,31.53,31.79
"riley exploration permian, inc.",REPX,2023-04-01,2023-06-30,386853000.0,19.666158304102485,1.6810533272329826,0.5848873780344513,0.6205107427040776,0.41824682697032856,36.0,36.0,38.06,35.66,35.0,35.64
"riley exploration permian, inc.",REPX,2023-01-01,2023-03-31,359472000.0,18.29467148455392,1.6209985240979186,0.37498674242753544,0.540080971659919,0.04493254159858824,29.38,28.5,29.43,37.02,34.44,35.27
"riley exploration permian, inc.",REPX,2022-10-01,2022-12-31,333446000.0,14497.652173913044,1165.5217391304348,0.3529014504341211,0.6682917240023589,1.2163833783845694,18.98,18.62,18.98,29.38,28.5,29.43
"riley exploration permian, inc.",REPX,2022-07-01,2022-09-30,312654000.0,15.995804768239026,3.0603192469047373,0.3626473088425057,0.6062411962292773,-0.03985812375270414,24.22,23.345,24.18,18.33,17.58,19.0
"riley exploration permian, inc.",REPX,2022-01-01,2022-03-31,225238000.0,11.550074355161273,-0.36757089380031793,0.48011042327382847,0.4500496123214176,-0.02239754499308334,19.47,18.7181,18.75,25.56,25.56,25.83
"riley exploration permian, inc.",REPX,2021-10-01,2021-12-31,237838000.0,12.215613764766307,1.0990241397021059,0.39965519765554597,0.48854485298707784,-0.0030190013573197353,22.95,22.751,23.48,19.47,18.7181,18.75
"riley exploration permian, inc.",REPX,2021-07-01,2021-09-30,221690000.0,192.94168842471714,13.62402088772846,0.4289739871365244,0.4392274113496382,0.0932404989846243,30.0,28.1301,28.98,23.98,22.555,23.35
"riley exploration permian, inc.",REPX,2021-04-01,2021-06-30,164628000.0,9.25604407961318,-1.2088721466321826,0.546261844520514,0.3863758827032699,-0.010595571246411742,26.5,25.35,26.0,36.64,36.51,37.19
"riley exploration permian, inc.",REPX,2021-01-01,2021-03-31,181240000.0,12.46321001237794,-3.606931646265988,0.49258929521313827,0.47922388900626806,,,,,22.52,22.19,26.72
"riley exploration permian, inc.",REPX,2020-10-01,2020-12-30,,,9.16028955532575,,,,,,,,,
