company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
royal gold inc,RGLD,2023-10-01,2023-12-31,2900641000.0,458889.5744344249,9931.814586299635,0.13698547808025868,2.3118113280494876,-145.9366518263624,108.21,105.36,106.33,121.03,119.31,120.96
royal gold inc,RGLD,2023-07-01,2023-09-30,2861782000.0,43.61182422163346,0.7518659952514657,0.15759650037398854,2.311544596101458,-0.013595422654683883,113.63,113.09,114.78,108.21,105.36,106.33
royal gold inc,RGLD,2023-04-01,2023-06-30,2835893000.0,43.226523869052166,0.9671308871552949,0.1755427566692415,2.6201718779729815,-0.014831940162980782,129.45,127.98,129.71,110.89,110.1233,113.0
royal gold inc,RGLD,2023-01-01,2023-03-31,2794932000.0,42.60893330292653,0.9737788306564998,0.19939662541048034,3.4394705262009526,-0.013563984478400485,112.65,111.5,112.72,128.82,127.44,129.41
royal gold inc,RGLD,2022-10-01,2022-12-31,2753469000.0,523672.30886268546,10721.376949410422,0.22097839538132738,2.922499882051363,209.31411051228474,92.4,92.2923,93.82,112.65,111.5,112.72
royal gold inc,RGLD,2022-07-01,2022-09-30,2719939000.0,41.47523459726964,0.69826343262778,0.19452006682079712,2.819390160679943,0.059144473994463646,109.64,106.31,106.78,92.3,91.66,92.92
royal gold inc,RGLD,2022-04-01,2022-06-30,2696658000.0,41.12690731729338,1.0849607872233895,0.054814398365816745,5.316732538703076,-0.0024903638315572655,142.2,141.0,141.28,111.33,108.88,109.76
royal gold inc,RGLD,2022-01-01,2022-03-31,2646114000.0,40.358184042320275,1.0016664954644374,0.05152172946808648,5.220616434208667,-0.003394090267649025,104.1,103.91,104.73,141.5,140.44,142.4
royal gold inc,RGLD,2021-04-01,2021-06-30,2503415000.0,1760488.7482419128,57438.11533052039,0.0558869062322631,5.705028512182478,-1128.6992822200084,105.98,105.61,107.62,111.52,111.36,114.02
royal gold inc,RGLD,2021-01-01,2021-03-31,2440125000.0,37.22517330176475,0.8241902414020357,0.11381806454705712,7.1193951284873425,-0.009885850425079664,108.16,105.73,106.36,105.64,105.17,105.6
royal gold inc,RGLD,2020-10-01,2020-12-31,2404679000.0,36.68636664614295,0.9136811242044595,0.12991662728757544,7.88205549917766,-0.011930736151067886,119.71,118.29,120.17,108.12,107.4403,108.2
royal gold inc,RGLD,2020-07-01,2020-09-30,2363221000.0,36.05894767705813,1.6317169683397867,0.15514372117416533,8.368959190580524,-0.00632541394783213,120.18,119.44,124.32,119.74,119.71,119.98
royal gold inc,RGLD,2020-04-01,2020-06-30,2302119000.0,107847.7934976108,2296.2147474936755,0.1677945925350479,8.314774423143152,94.58277822509538,89.96,86.65,87.71,118.28,117.02,120.33
royal gold inc,RGLD,2020-01-01,2020-03-31,2270535000.0,34.65837141777557,0.5885039656472678,0.10954662680048818,3.021814168171784,-0.006123221468823963,123.28,122.09,122.25,91.07,88.29,91.68
royal gold inc,RGLD,2019-10-01,2019-12-31,2247214000.0,34.31075471632143,0.6308943855071738,0.1203388662807539,3.0918196238386586,-0.006315195593890093,123.72,122.36,123.21,121.32,121.07,123.1
royal gold inc,RGLD,2019-07-01,2019-09-30,2222328000.0,33.94649444270825,1.0761833415104,0.12778429073856976,5.072436907299292,-0.010457331713370575,101.14,100.04,102.49,125.99,124.1,125.59
royal gold inc,RGLD,2019-04-01,2019-06-30,2170453000.0,423255.2652106084,5159.711388455538,0.14688514950567005,4.602171972627194,,,,,101.14,100.04,102.49
royal gold inc,RGLD,2019-01-01,2019-03-31,2160361000.0,33.03386663970167,0.439949809757488,0.1996840020967739,5.386387625852549,,,,,,,
royal gold inc,RGLD,2018-10-01,2018-12-31,2146970000.0,32.83056803166006,0.36066725552510476,0.1974261954479561,5.4802829782655476,,,,,,,
royal gold inc,RGLD,2018-07-01,2018-09-30,2139266000.0,32.72306516085249,0.22956834817833507,0.19963589644972848,4.266142195820288,,,,,,,
royal gold inc,RGLD,2018-04-01,2018-06-30,2141269000.0,242334.65368945224,3016.070620190131,0.20161960256762076,2.448416791545842,,,,,,,
royal gold inc,RGLD,2018-01-01,2018-03-31,2130405000.0,32.62122637271128,-2.3527223378498863,0.22627709921418498,3.490930408993724,,,,,,,
royal gold inc,RGLD,2017-10-01,2017-12-31,2299817000.0,35.215600784764014,-0.22608683455554973,0.2408341585792566,3.980252555622369,,,,,,,
royal gold inc,RGLD,2017-07-01,2017-09-30,2330186000.0,35.71960271444859,0.43888682934211154,0.23996549131656497,3.9243985388587985,,,,,,,
royal gold inc,RGLD,2017-04-01,2017-06-30,2320264000.0,305338.0707987893,2634.5571785761285,0.24926099448657882,4.542808996046406,,,,,,,
royal gold inc,RGLD,2017-01-01,2017-03-31,2316501000.0,35.545575553664875,0.36306647964981004,0.25961572266779853,5.415264156273964,,,,,,,
royal gold inc,RGLD,2016-10-01,2016-12-31,2310265000.0,35.460968414225256,0.43073227341451703,0.2689599284105911,6.09709911361805,,,,,,,
royal gold inc,RGLD,2016-07-01,2016-09-30,2298544000.0,35.29884797884217,0.45744035561023483,0.2699769515951738,7.503849912057847,,,,,,,
royal gold inc,RGLD,2016-04-01,2016-06-30,2285885000.0,423390.4426745694,3785.701055751065,0.2545748449724642,7.26494708994709,,,,,,,
