company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"resources connection, inc.",RGP,2023-11-26,2024-02-24,414860000.0,12.397573439321041,0.07620356812001315,0.20701730241377464,2.986927638537322,-0.003724796256846581,14.0,13.91,14.02,13.1,13.02,13.25
"resources connection, inc.",RGP,2023-08-27,2023-11-25,413604000.0,12.380017360591458,0.14651740548953876,0.21197872210706012,2.79157397268169,-0.01889058217494038,15.33,15.21,15.3,14.0,13.91,14.02
"resources connection, inc.",RGP,2023-05-28,2023-08-26,418841000.0,12.53564587573327,0.09328983598707051,0.19821703066883364,3.0223030158540944,-0.003037811208832683,15.34,15.34,15.57,15.33,15.21,15.3
"resources connection, inc.",RGP,2023-02-26,2023-05-27,414520000.0,-37683.63636363636,-1069.8181818181818,0.22082560305564483,2.719974455111038,38.06441902468392,18.12,17.88,18.05,15.34,15.34,15.57
"resources connection, inc.",RGP,2022-11-27,2023-02-25,406835000.0,12.15666646745951,0.20973525369031257,0.23573226630598137,2.5717895974140466,-0.0402593409619615,19.21,19.21,19.3,18.12,17.88,18.05
"resources connection, inc.",RGP,2022-08-28,2022-11-26,402146000.0,12.000775887794688,0.5202029245001492,0.2695054785363443,2.760124764828201,-0.013254039305964103,21.0,20.42,20.47,19.21,19.21,19.3
"resources connection, inc.",RGP,2022-05-29,2022-08-27,391955000.0,11.778555759233104,0.5451212549208162,0.2660307366189719,2.8553985905828276,-0.049296832774148876,17.75,17.54,18.18,21.0,20.42,20.47
"resources connection, inc.",RGP,2022-02-27,2022-05-28,372449000.0,186224.5,10263.5,0.3594732687502257,2.4817892247550715,-90.0061500615006,16.26,16.26,16.75,17.75,17.54,18.18
"resources connection, inc.",RGP,2021-11-28,2022-02-26,357028000.0,10.905614270877878,0.5932249984727228,0.3621515780597351,2.4019785883533094,-0.012337293209259753,17.7,17.22,17.51,16.26,16.26,16.75
"resources connection, inc.",RGP,2021-08-29,2021-11-27,353600000.0,10.643869841365401,0.4306011257939255,0.3430098176926564,2.6241547746402114,0.016184775250734508,15.05,15.05,15.9,17.7,17.22,17.51
"resources connection, inc.",RGP,2021-05-30,2021-08-28,340845000.0,10.361920107010397,0.39286800024320545,0.3376956483721473,2.445502201719438,-0.023549153351375206,14.7,14.43,14.58,15.05,15.05,15.9
resources connection inc,RGP,2020-11-29,2021-02-27,307591000.0,9.458517835178352,0.021217712177121772,0.38678274807516716,2.050903850431856,-0.04183080849312113,12.43,12.225,12.5,12.93,12.76,12.76
resources connection inc,RGP,2020-08-30,2020-11-28,306947000.0,9.486555816540982,-0.03065891952033626,0.4004543270451553,2.385067004234144,-0.06703307295635814,12.71,12.47,12.73,12.43,12.225,12.5
resources connection inc,RGP,2020-05-31,2020-08-29,309928000.0,9.630177422863003,0.07096914520088245,0.41430412614662426,2.629108087851189,-0.004222080554095918,11.26,10.81,10.99,12.71,12.47,12.73
regency energy partners lp,RGP,2015-01-01,2015-03-31,9464000000.0,,,0.4565916398713826,1.0311041990668741,,,,,,,
regency energy partners lp,RGP,2014-10-01,2014-12-31,9618000000.0,,,0.437642518856341,0.9298941798941799,,,,,,,
regency energy partners lp,RGP,2014-07-01,2014-09-30,9823000000.0,,,0.4282305005820722,0.8678787878787879,,,,,,,
regency energy partners lp,RGP,2014-04-01,2014-06-30,9151000000.0,,,0.4080470923086875,0.810958904109589,,,,,,,
regency energy partners lp,RGP,2014-01-01,2014-03-31,8895000000.0,,,0.41468710929788777,0.8370702541106129,,,,,,,
regency energy partners lp,RGP,2013-10-01,2013-12-31,4948000000.0,,,0.4365748121156912,0.8421052631578947,,,,,,,
regency energy partners lp,RGP,2013-07-01,2013-09-30,5046000000.0,,,0.4109269203829092,0.7598343685300207,,,,,,,
regency energy partners lp,RGP,2013-04-01,2013-06-30,5092000000.0,,,0.40241755662480927,0.843520782396088,,,,,,,
regency energy partners lp,RGP,2013-01-01,2013-03-31,3606000000.0,,,0.4251554280248685,0.7889273356401384,,,,,,,
regency energy partners lp,RGP,2012-10-01,2012-12-31,3683000000.0,,,0.4018190677277895,0.8257839721254355,,,,,,,
regency energy partners lp,RGP,2012-07-01,2012-09-30,3686011000.0,,,0.3823848853310313,0.9793421046486103,,,,,,,
regency energy partners lp,RGP,2012-04-01,2012-06-30,3740593000.0,,,0.3586706836549701,0.9124612682310683,,,,,,,
regency energy partners lp,RGP,2012-01-01,2012-03-31,3788078000.0,,,0.3377074975807065,1.171015239076119,,,,,,,
regency energy partners lp,RGP,2011-07-01,2011-09-30,3364887000.0,,,0.3910521289550592,0.7860824637745811,,,,,,,
