company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"sunstone hotel investors, inc.",SHO,2023-10-01,2023-12-31,2166638000.0,-3248.3328335832084,-184.58770614692654,0.31203011696807026,3.204818847990654,6.121180247572548,9.55,9.28,9.35,10.83,10.72,10.73
"sunstone hotel investors, inc.",SHO,2023-07-01,2023-09-30,2087685000.0,10.155591769227028,0.05963905239091307,0.3241176510580547,3.0852994174664183,-0.013972495060647332,10.19,10.02,10.12,9.55,9.28,9.35
"sunstone hotel investors, inc.",SHO,2023-04-01,2023-06-30,2101124000.0,10.190677123498286,0.1897071020123096,0.3191897767197382,1.5439725001701723,-0.007585000993158219,9.58,9.56,9.88,9.63,9.63,10.07
"sunstone hotel investors, inc.",SHO,2023-01-01,2023-03-31,2072402000.0,10.009911367643152,0.08320815321080977,0.3256472465582792,0.5459829104702902,-0.018488694788313213,9.53,9.49,9.66,9.44,9.255,9.45
"sunstone hotel investors, inc.",SHO,2022-10-01,2022-12-31,2084961000.0,-1757.977234401349,-11.827150084317031,0.3236831767827931,0.5617556867110541,3.4969143554231996,9.4,9.24,9.42,9.53,9.49,9.66
"sunstone hotel investors, inc.",SHO,2022-07-01,2022-09-30,2103656000.0,9.969461162978059,0.0807212928297237,0.3236665709656978,1.3577912254160363,-0.004452448706835354,9.82,9.59,9.92,9.54,9.24,9.45
"sunstone hotel investors, inc.",SHO,2022-04-01,2022-06-30,2103445000.0,9.866851484405418,0.1468691218342926,0.31852869624829466,1.3775150110607817,0.03314770827609213,12.01,11.78,11.78,10.01,9.685,9.98
"sunstone hotel investors, inc.",SHO,2022-01-01,2022-03-31,2208009000.0,1086.0841121495328,4.992129857353665,0.25224933860910814,1.232044884287698,-3.6208730897312695,11.66,11.655,11.67,12.04,11.915,11.97
"sunstone hotel investors, inc.",SHO,2021-10-01,2021-12-31,2239774000.0,,,0.26348638249498774,1.6050250913187452,,12.23,11.94,11.94,11.66,11.655,11.67
"sunstone hotel investors, inc.",SHO,2021-07-01,2021-09-30,2102463000.0,,,0.3071685018923448,1.2833115076117203,,12.24,12.21,12.42,12.29,12.1,12.21
"sunstone hotel investors, inc.",SHO,2021-04-01,2021-06-30,2103305000.0,,,0.30247015117919507,2.1353891878583235,,12.67,12.46,12.46,12.41,12.25,12.25
"sunstone hotel investors, inc.",SHO,2021-01-01,2021-03-31,2031613000.0,,,0.30344872275749707,4.627786614752736,,11.22,11.12,11.33,12.53,12.53,12.73
"sunstone hotel investors, inc.",SHO,2020-10-01,2020-12-31,2089379000.0,,,0.30020862660459785,4.792715297434825,,7.98,7.81,7.94,11.18,11.18,11.25
"sunstone hotel investors, inc.",SHO,2020-07-01,2020-09-30,2128045000.0,,,0.3445679445062835,1.8165511250108592,,8.2,8.04,8.15,8.33,7.835,7.96
"sunstone hotel investors, inc.",SHO,2020-04-01,2020-06-30,2219992000.0,,,0.35158122744947645,2.3629593614237843,,8.67,8.13,8.71,8.01,7.93,8.16
"sunstone hotel investors, inc.",SHO,2020-01-01,2020-03-31,2337006000.0,,,0.38492396447991073,5.038481779419819,,13.89,13.89,13.92,8.74,8.135,8.67
"sunstone hotel investors, inc.",SHO,2019-10-01,2019-12-31,2621071000.0,,,0.33118438652565696,2.806715977785423,,13.7,13.68,13.74,13.8,13.68,13.94
"sunstone hotel investors, inc.",SHO,2019-07-01,2019-09-30,2712519000.0,,,0.3042748388814408,6.389254205299501,,13.72,13.7,13.71,13.67,13.61,13.66
"sunstone hotel investors, inc.",SHO,2019-04-01,2019-06-30,2738066000.0,,,0.302535063453005,6.969675966037082,,,,,13.72,13.7,13.71
"sunstone hotel investors, inc.",SHO,2019-01-01,2019-03-31,2710287000.0,,,0.3033857777748077,7.050853339502767,,,,,,,
"sunstone hotel investors, inc.",SHO,2018-10-01,2018-12-31,2711171000.0,,,0.31757237215860823,3.9036373402084004,,,,,,,
"sunstone hotel investors, inc.",SHO,2018-07-01,2018-09-30,2760440000.0,,,0.29555687178090817,6.356610318469338,,,,,,,
"sunstone hotel investors, inc.",SHO,2018-04-01,2018-06-30,2685331000.0,,,0.3017157472683809,5.62366002167354,,,,,,,
