company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
siebert financial corp,SIEB,2023-07-01,2023-09-30,71565000.0,1.8036096993147115,0.0695838242130639,0.9071965619999326,1.083475967420208,-0.00020324515490257128,2.48,2.4,2.48,2.0,1.95,1.95
siebert financial corp,SIEB,2023-04-01,2023-06-30,71318000.0,1.9587466284691208,0.07492443425872516,0.9330378226729474,1.0560009152428431,0.19557320718772622,1.8738,1.82,1.91,2.42,2.41,2.47
siebert financial corp,SIEB,2023-01-01,2023-03-31,53135000.0,1.6346550437929732,0.0989068592414493,0.9312336528668067,1.053000927252803,-0.006321078922166885,1.28,1.265,1.36,1.9,1.82,1.85
siebert financial corp,SIEB,2022-10-01,2022-12-31,49920000.0,-4559.320485889122,253.90446616129327,0.9314330923235831,1.053238587411773,204.72498848201465,1.4499,1.4429,1.48,1.28,1.265,1.36
siebert financial corp,SIEB,2022-07-01,2022-09-30,54246000.0,1.6740921083959672,0.03246589422321568,0.9470846620045711,1.0331424733334929,-0.005299598571902913,1.45,1.45,1.55,1.4401,1.44,1.44
siebert financial corp,SIEB,2022-04-01,2022-06-30,53338000.0,1.6460702149029256,0.015739169252699615,0.9536607954239406,1.0287166835640602,-0.012779110080899438,2.13,2.1,2.16,1.46,1.45,1.51
siebert financial corp,SIEB,2022-01-01,2022-03-31,52828000.0,1.630331045650226,-0.033700338870486235,0.9531598565748921,1.0288312439223106,0.0013226192649327406,2.1,2.1,2.31,2.19,2.0201,2.26
siebert financial corp,SIEB,2021-10-01,2021-12-31,50506000.0,,,0.9640330856302542,1.0214763931629276,,3.29,3.25,3.35,2.1,2.1,2.31
siebert financial corp,SIEB,2021-07-01,2021-09-30,42623000.0,,,0.9658251577127719,1.026672459386089,,4.69,4.64,4.81,3.37,3.28,3.3
siebert financial corp,SIEB,2021-04-01,2021-06-30,43071000.0,,,0.9614376346338764,1.0219114184208655,,4.1,4.05,4.05,4.93,4.671,4.7
siebert financial corp,SIEB,2021-01-01,2021-03-31,41642000.0,,,0.9663404879263212,1.0189903737059467,,4.15,4.13,4.2,4.13,4.02,4.07
siebert financial corp,SIEB,2020-10-01,2020-12-31,37986000.0,,,0.9723333141537392,1.0170573047849474,,3.33,3.2,3.23,4.35,4.05,4.1
siebert financial corp,SIEB,2020-07-01,2020-09-30,36318000.0,,,0.9460718804012758,1.0390421820992908,,5.215,5.04,5.06,3.3,3.2411,3.28
siebert financial corp,SIEB,2020-04-01,2020-06-30,35737000.0,,,0.9334118396756396,1.0297320134233563,,8.11,6.81,7.22,5.21,5.04,5.34
siebert financial corp,SIEB,2020-01-01,2020-03-31,34111000.0,,,0.9133653684975136,1.045365773246571,,8.57,8.57,8.65,7.85,7.05,8.2
siebert financial corp,SIEB,2019-10-01,2019-12-31,20781000.0,,,0.2701506690548941,3.701638065522621,,9.01,9.01,9.2,8.54,8.29,8.39
siebert financial corp,SIEB,2019-07-01,2019-09-30,20276000.0,,,0.15492018505397406,6.454936776970675,,8.57,8.33,9.0,8.96,8.96,9.1
siebert financial corp,SIEB,2019-04-01,2019-06-30,19172000.0,,,0.15556730091613813,-1.1842269977049864,,,,,8.57,8.33,9.0
siebert financial corp,SIEB,2019-01-01,2019-03-31,18180000.0,,,0.1563413615480997,-1.1853135313531353,,,,,,,
siebert financial corp,SIEB,2018-10-01,2018-12-31,17174000.0,,,0.055179622599989,18.122632103688932,,,,,,,
siebert financial corp,SIEB,2018-07-01,2018-09-30,11824000.0,,,0.12369376713851626,8.084481725584181,,,,,,,
siebert financial corp,SIEB,2018-04-01,2018-06-30,8705000.0,,,0.1556741028128031,6.423676012461059,,,,,,,
siebert financial corp,SIEB,2018-01-01,2018-03-31,6905000.0,,,0.2348182624113475,4.258612553091081,,,,,,,
siebert financial corp,SIEB,2017-10-01,2017-12-31,5212000.0,,,0.13493775933609958,7.410824108241083,,,,,,,
siebert financial corp,SIEB,2017-07-01,2017-09-30,4481000.0,,,0.09929648241206031,10.070850202429149,,,,,,,
siebert financial corp,SIEB,2017-04-01,2017-06-30,3480000.0,0.15757211437236085,0.016526960271813707,0.08637437647676556,11.577507598784194,,,,,,,
siebert financial corp,SIEB,2017-01-01,2017-03-31,3114000.0,0.1409998747573367,0.0026714812494164626,0.08357857563272514,11.964788732394366,,,,,,,
siebert financial corp,SIEB,2016-10-01,2016-12-31,2253000.0,,,0.40959119496855345,2.441458733205374,,,,,,,
