company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
silgan holdings inc,SLGN,2023-10-01,2023-12-31,1889358000.0,-2479.472440944882,-84.55249343832021,0.7517672556730602,1.0160589586894686,21.092458579490625,43.49,43.035,43.11,45.53,45.2,45.25
silgan holdings inc,SLGN,2023-07-01,2023-09-30,1781889000.0,16.43490652179928,1.0202543787642615,0.7719125733282115,1.3895783010825549,-0.01689981015871447,47.16,46.43,46.89,43.49,43.035,43.11
silgan holdings inc,SLGN,2023-04-01,2023-06-30,1871136000.0,16.990402164734085,0.7163417446812375,0.7635580026134355,1.43563430404011,-0.006231262313282518,52.99,52.645,53.67,46.67,46.531,47.15
silgan holdings inc,SLGN,2023-01-01,2023-03-31,1781290000.0,16.16136963681398,0.6535080158593346,0.7734224130540357,1.423451899691722,0.10580508795836328,52.34,51.62,51.84,52.61,52.39,52.66
silgan holdings inc,SLGN,2022-10-01,2022-12-31,1718256000.0,-16058.467289719627,-229.85981308411215,0.7660886413748781,1.4832125519869805,106.95018106639398,41.86,41.74,42.04,52.34,51.62,51.84
silgan holdings inc,SLGN,2022-07-01,2022-09-30,1693231000.0,15.353787143750964,1.2577234519092138,0.7748187258766076,1.3870651571417356,-0.04110813459301235,41.35,40.1291,41.35,42.13,41.38,41.89
silgan holdings inc,SLGN,2022-04-01,2022-06-30,1625463000.0,14.664949476723205,0.8361151208949837,0.7935788676841536,1.3026026522941636,0.02585453584466305,46.32,46.19,46.23,41.98,41.535,41.85
silgan holdings inc,SLGN,2022-01-01,2022-03-31,1638239000.0,14.81228752260398,0.7674050632911392,0.7875289381498519,1.328963001963941,-0.007527938622191699,43.05,42.5,42.71,46.1,45.71,46.32
silgan holdings inc,SLGN,2021-10-01,2021-12-31,1562696000.0,65112.333333333336,3543.0,0.7989027192148705,1.5219194681946966,-121.62028686764577,38.81,38.11,38.36,43.05,42.5,42.71
silgan holdings inc,SLGN,2021-07-01,2021-09-30,1456706000.0,13.187036617933282,0.9622233286561355,0.8070035930809344,1.0687309905305407,0.14917834321356654,41.21,41.17,41.5,38.66,38.66,38.74
silgan holdings inc,SLGN,2021-04-01,2021-06-30,1388580000.0,12.572934209811486,0.855435432172543,0.7934987914761331,1.56122738384449,0.012103936498900052,42.71,42.01,42.03,41.43,40.87,41.17
silgan holdings inc,SLGN,2021-01-01,2021-03-31,1276356000.0,11.581547284176905,0.6649456472424369,0.8018533651935458,1.5749505673928326,0.0063095027575004875,36.95,36.68,37.08,43.27,42.53,42.72
silgan holdings inc,SLGN,2020-10-01,2020-12-31,1252873000.0,-9865.141732283464,-473.2204724409449,0.8075932652966574,1.5098714355247478,46.29096935402159,36.68,36.2525,36.77,36.58,36.58,37.05
