company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
spartannash co,SPTN,2023-10-08,2023-12-30,778182000.0,3521.185520361991,46.6289592760181,0.6696424439892595,1.6328163831876539,7.974968217596438,23.42,22.95,22.96,23.17,22.87,22.95
spartannash co,SPTN,2023-07-16,2023-10-07,777267000.0,23.01444941225239,0.32946436502531606,0.6669487560074318,1.5945313805201313,-0.02795931278269569,21.64,21.29,21.44,23.42,22.95,22.96
spartannash co,SPTN,2023-04-23,2023-07-15,3095308000.0,91363.61758021193,574.6332536379468,-0.33022191222612296,1.6186505640297555,-41.44318032654254,24.67,24.57,24.73,21.64,21.29,21.44
spartannash co,SPTN,2022-01-02,2022-04-23,3059537000.0,87260.76664194855,550.1397524385375,-0.3512465369067583,1.5596312110334405,24.504166487621763,26.35,25.82,25.87,35.05,33.84,33.94
spartannash co,SPTN,2021-10-10,2022-01-01,782869000.0,1186.1651515151516,33.70454545454545,0.6452440703250253,1.4594960950722586,-0.48100258603540874,22.85,22.7,22.83,26.35,25.82,25.87
spartannash co,SPTN,2021-07-18,2021-10-09,3008246000.0,86.17887529721833,0.4347552066920675,-0.34136212032033103,1.4347086013004864,-0.08422937485610714,18.995,18.51,18.71,22.85,22.7,22.83
spartannash co,SPTN,2021-04-25,2021-07-17,2965323000.0,84.61472392638036,0.47978313596804106,-0.3422932018557389,1.5309915858064258,,19.93,19.47,19.66,18.995,18.51,18.71
spartannash co,SPTN,2021-01-03,2021-04-24,3026086000.0,86.49914246512691,0.5578550194374571,-0.32981684556721275,1.6518136494289422,,17.21,17.05,17.41,19.93,19.47,19.66
spartannash co,SPTN,2020-07-12,2020-10-03,723451000.0,20.76137863743328,0.5725764793663548,0.6883770776448068,1.5772104661508648,-0.02775618774684615,20.3,20.07,20.55,16.51,16.143,16.45
spartannash co,SPTN,2020-04-19,2020-07-11,3005800000.0,86.21006137784661,0.8164687661331956,-0.3088333843519124,1.5629152075964168,,16.16,15.79,16.3,20.3,20.07,20.55
spartannash co,SPTN,2019-12-29,2020-04-18,685692000.0,,,0.7037042798529956,1.5429552151808554,,14.33,14.06,14.12,16.16,15.79,16.3
spartannash co,SPTN,2019-10-06,2019-12-28,687538000.0,40443.41176470588,319.05882352941177,0.697866373353243,1.7636206634178797,-71.57121423767397,11.37,11.02,11.235,14.33,14.06,14.12
spartannash co,SPTN,2019-07-14,2019-10-05,689296000.0,19.465589788483804,-0.009516816808336393,0.7047408789546233,1.7161967301123298,-0.043612350833937975,11.43,11.39,11.62,11.37,11.02,11.235
spartannash co,SPTN,2019-04-21,2019-07-13,2979609000.0,84.16499067849274,-0.19247500141234958,-0.30002434593213506,1.7586895640686921,,,,,11.43,11.39,11.62
spartannash co,SPTN,2018-12-30,2019-04-20,3053298000.0,86.63558720880742,0.21192860993672502,-0.294046694717855,1.8966195584619125,,,,,,,
spartannash co,SPTN,2018-10-07,2018-12-29,715947000.0,-24687.827586206895,483.0344827586207,0.636927509949734,2.101152059708134,,,,,,,
spartannash co,SPTN,2018-07-15,2018-10-06,736370000.0,20.978604598159595,0.4975641719609128,0.6415018005969696,1.985576644702558,,,,,,,
spartannash co,SPTN,2018-04-22,2018-07-14,724466000.0,20.642997578002564,0.5063969226385525,0.6397147023192621,2.0606785918101567,,,,,,,
spartannash co,SPTN,2017-12-31,2018-04-21,712044000.0,20.075107840649583,0.34799402294961795,0.6469676544185564,2.1208577585557347,,,,,,,
spartannash co,SPTN,2017-10-08,2017-12-30,721950000.0,-4297.321428571428,-205.99404761904762,0.6488223302203476,2.0305794197512643,,,,,,,
spartannash co,SPTN,2017-07-16,2017-10-07,705956000.0,19.272091943981874,-3.3716251262591794,0.6528837520786479,1.813523455775996,,,,,,,
spartannash co,SPTN,2017-04-23,2017-07-15,849068000.0,22.844059405940595,0.565782393456737,0.6138028277921435,1.865689211081456,,,,,,,
spartannash co,SPTN,2017-01-01,2017-04-22,841453000.0,22.74074374358143,0.4060591319388141,0.6141212456119031,1.9298511548471713,,,,,,,
spartannash co,SPTN,2016-10-09,2016-12-31,825407000.0,165081.4,2569.0,0.5724024211329012,1.7658589224411387,,,,,,,
spartannash co,SPTN,2016-07-17,2016-10-08,815583000.0,22.152949804432854,0.4521946979574098,0.5909566227439077,1.789750738946278,,,,,,,
spartannash co,SPTN,2016-04-24,2016-07-16,803867000.0,21.84124439614183,0.4750441516098356,0.5821599562962644,1.9311248422891527,,,,,,,
spartannash co,SPTN,2016-01-03,2016-04-23,791482000.0,21.496564273880335,0.2675520790896005,0.5879380502961291,1.9877500404856503,,,,,,,
spartannash co,SPTN,2014-07-13,2014-10-04,744248000.0,19.732428347959807,0.45327040856908024,0.6262443697963459,1.7670711366327556,,,,,,,
spartannash co,SPTN,2014-04-20,2014-07-12,732829000.0,19.415774692666385,0.4588543874523103,0.6316024158042745,1.7950677563631856,,,,,,,
spartan stores inc,SPTN,2013-12-29,2014-04-19,719575000.0,19.137632978723403,0.3273936170212766,0.6351866488681318,1.843034100436033,,,,,,,
