company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"presidio property trust, inc.",SQFT,2023-07-01,2023-09-30,68127541.0,5.7485080804766175,1.7684501241758002,0.6171177237567256,1.6204363632800323,-2.45808276939347,0.89,0.884999,0.9027,0.78,0.75,0.796
"presidio property trust, inc.",SQFT,2023-04-01,2023-06-30,63480706.0,5.361836396717086,-0.1547287315132517,0.6454615607980194,-3.8314695690351015,0.08693166271492318,1.0499,1.0301,1.0315,0.889,0.86,0.9072
"presidio property trust, inc.",SQFT,2023-01-01,2023-03-31,66116833.0,5.58671354706043,-0.1293648078997818,0.626404595583719,-3.566948499002662,-9.233072830904339,1.03,0.95,0.95,1.01,1.01,1.02
"presidio property trust, inc.",SQFT,2022-10-01,2022-12-31,183254207.0,-5825.17584792905,24.796306303442577,0.3710205365781105,2.695268594086223,-36.17468868209415,1.28,1.25,1.25,1.03,0.95,0.95
"presidio property trust, inc.",SQFT,2022-07-01,2022-09-30,183336078.0,15.563215391393445,-0.1105287820381678,0.3647900329758427,2.7413029677437004,-0.05950139627784581,3.05,3.05,3.19,1.39,1.3,1.32
"presidio property trust, inc.",SQFT,2022-04-01,2022-06-30,185252471.0,15.699775731377327,-0.07035880352439797,0.35920112287358485,-5.106284254601087,-0.0706044998799167,3.77,3.65,3.71,3.15,3.06,3.09
"presidio property trust, inc.",SQFT,2022-01-01,2022-03-31,189043317.0,16.056476373637434,-0.32479760522842155,0.3521044422489283,-4.822152143757314,2.9769527519840153,3.74,3.74,3.87,3.79,3.77,3.83
"presidio property trust, inc.",SQFT,2021-10-01,2021-12-31,65482620.0,,,0.593772115634853,1.6841477962144007,,3.79,3.7027,3.77,3.74,3.74,3.87
"presidio property trust, inc.",SQFT,2021-07-01,2021-09-30,69017471.0,,,0.5735308771313254,1.7435852887324548,,4.02,3.85,3.93,3.78,3.73,3.78
"presidio property trust, inc.",SQFT,2021-04-01,2021-06-30,65249930.0,,,0.5943342969867685,-2.465083916565121,,3.76,3.6006,3.66,4.18,3.9785,4.02
"presidio property trust, inc.",SQFT,2021-01-01,2021-03-31,44834500.0,,,0.7182736278943223,-3.5495434542595548,,3.86,3.8,4.24,3.84,3.76,3.77
