company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
stepstone group inc.,STEP,2023-10-01,2023-12-31,1665848000.0,26.00086232095696,-0.3156911322663745,0.5196767412081434,1.9242731504111614,-0.006753597667164749,31.9,31.52,31.58,31.89,30.77,31.83
stepstone group inc.,STEP,2023-07-01,2023-09-30,1697683000.0,27.008023803570904,0.4172071136063959,0.5295143531845327,-2.202355208796816,-0.00613586367748775,24.53,24.43,24.81,31.9,31.52,31.58
stepstone group inc.,STEP,2023-04-01,2023-06-30,1670161000.0,26.580183617305934,0.3384906756632923,0.5269713621515008,-2.168061881080205,-0.029741564300472766,23.53,23.53,24.27,23.65,23.55,24.21
stepstone group inc.,STEP,2023-01-01,2023-03-31,1653317000.0,5484.43885674858,95.53964757709251,0.5272729508152192,1.8965509200763955,-0.4470304123984926,25.0,24.92,25.18,24.11,23.24,23.32
stepstone group inc.,STEP,2022-10-01,2022-12-31,1610183000.0,25.890142217039923,-0.11155614405432362,0.5403603393753379,1.8506169441599105,-0.0011449623984514244,25.32,24.43,24.51,25.0,24.92,25.18
stepstone group inc.,STEP,2022-07-01,2022-09-30,1641109000.0,26.724749809608983,-0.475851338446492,0.5410247919646358,-2.1787669191991514,-0.02667515945291422,25.72,25.03,26.03,24.84,24.34,24.97
stepstone group inc.,STEP,2022-04-01,2022-06-30,1749375000.0,28.610673543052098,-0.18055696229527413,0.5521523185165672,-2.2329020364415864,-0.030275322653335032,32.8,32.52,33.06,27.78,25.97,26.3
stepstone group inc.,STEP,2022-01-01,2022-03-31,1824330000.0,508.6790205350369,11.659301356482965,0.5644041187882406,1.7717801247570115,-0.2939175403576337,41.14,41.14,41.59,34.05,32.72,32.84
stepstone group inc.,STEP,2021-10-01,2021-12-31,1818054000.0,31.4130486204604,0.8353411112127465,0.5496108262612195,1.8194692539129846,-0.029452706280744093,43.5,42.62,42.64,41.14,41.14,41.59
stepstone group inc.,STEP,2021-07-01,2021-09-30,1731753000.0,41.48359300688084,1.4869629515924738,0.5480206509900726,-2.2124904648642154,0.055046129721264415,33.78,33.64,34.4,43.5,42.975,43.45
stepstone group inc.,STEP,2021-04-01,2021-06-30,761135000.0,19.49503895716506,1.0667862765027554,0.5309647041134063,-2.1320357098280858,-0.022857255356712132,34.23,33.9,35.27,34.23,33.44,33.87
stepstone group inc.,STEP,2021-01-01,2021-03-31,659693000.0,1569.5578211061015,90.04413461652847,0.5005246931340156,1.997903427578247,-1.9747203050493456,39.52,39.33,39.8,33.2,32.57,34.08
stepstone group inc.,STEP,2020-10-01,2020-12-31,534137000.0,18.268901239846087,0.8748353997434801,0.4630833826720934,2.159438315902806,-0.007157943651368333,25.43,24.67,26.61,38.29,38.15,39.72
stepstone group inc.,STEP,2020-07-01,2020-09-30,424395000.0,,,0.48100459323683786,-1.9267993260995064,,,,,26.3,25.17,25.56
stepstone group inc.,STEP,2020-04-01,2020-07-01,,,,,,,,,,,,
