company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
thor industries inc,THO,2023-11-01,2024-01-31,3942595000.0,73.93866949684133,0.13534623205241825,0.45437471603604235,1.7456686634355205,0.010054082238142586,85.63,85.375,87.93,114.65,113.36,113.69
thor industries inc,THO,2023-08-01,2023-10-31,11096063000.0,208.1975636557716,1.0050503946509142,-0.5470344747202255,1.634163716406939,-0.0031449323689559518,114.27,114.13,115.49,86.18,84.545,85.59
thor industries inc,THO,2023-05-01,2023-07-31,3983398000.0,-70582.57140832093,-1599.8121766248494,0.45138530994390447,1.6275032304445953,84.3114378935402,77.68,77.595,79.02,113.12,112.465,114.17
thor industries inc,THO,2023-02-01,2023-04-30,3898276000.0,72.96674488729411,2.259581537081843,0.4839426584126284,1.7929097841375383,-0.03293504769528731,93.39,92.54,95.33,77.68,77.595,79.02
thor industries inc,THO,2022-11-01,2023-01-31,11100090000.0,207.40513282060957,0.5059896808748494,-0.5180731295028966,1.9523003582024823,-0.011051243952663497,81.99,81.0001,81.47,91.76,91.68,92.61
thor industries inc,THO,2022-08-01,2022-10-31,10932224000.0,203.7449576159719,2.5380935345755025,-0.5014182288379835,1.8458400953005767,-0.011805935827871383,84.06,82.72,84.33,79.79,79.23,82.61
thor industries inc,THO,2022-05-01,2022-07-31,3600654000.0,-14776.945585573754,-1152.9792708901903,0.5139592545057242,1.7440919725089354,16.05275378774744,76.26,76.07,76.55,84.06,82.72,84.33
thor industries inc,THO,2022-02-01,2022-04-30,3441183000.0,62.67367297148621,6.338992884539633,0.5551440760131859,1.703396686137599,-0.04779087347159983,91.58,90.296,94.59,76.26,76.07,76.55
thor industries inc,THO,2021-11-01,2022-01-31,10918729000.0,196.75646689632188,4.803579049138295,-0.42446476876823597,1.680672374809259,-0.026357893790683522,104.49,101.74,101.96,90.76,88.78,91.74
thor industries inc,THO,2021-08-01,2021-10-31,10901013000.0,196.68804858010378,4.370796206200424,-0.4031837210802069,1.5778684781872225,0.09894754519600485,117.36,117.13,118.36,104.49,101.74,101.96
thor industries inc,THO,2021-05-01,2021-07-31,2948106000.0,270990.5322180347,21167.386708337162,0.5569481497689841,1.5620383499973534,-94.55958365032562,141.57,140.5176,141.59,117.36,117.13,118.36
thor industries inc,THO,2021-02-01,2021-04-30,2757922000.0,49.81233961684341,3.310880361193385,0.5892261609269155,1.4579422015542638,-0.01937134200513238,120.99,118.05,121.01,144.06,140.35,141.94
thor industries inc,THO,2020-11-01,2021-01-31,8966257000.0,161.94447804394017,2.393588540713826,-0.40767599449003117,1.492189999204739,0.03256147456122171,86.23,83.05,84.58,120.99,118.05,121.01
thor industries inc,THO,2020-08-01,2020-10-31,8281443000.0,149.92248837235067,2.0593914019300135,-0.4129932116482697,1.4031001634631644,-0.01071454373175713,115.73,111.67,113.99,86.23,83.05,84.58
thor industries inc,THO,2020-05-01,2020-07-31,2345569000.0,268034.3960690207,13617.6436978631,0.593591742817242,1.387384254141641,-693.2148467398678,68.89,66.11,66.2,115.63,113.9,115.7
thor industries inc,THO,2020-02-01,2020-04-30,2111512000.0,38.25289106153044,0.4360243190987855,0.6237699762485545,1.6495518333372818,0.04413475923921942,81.39,80.245,80.52,70.42,68.53,70.29
thor industries inc,THO,2019-11-01,2020-01-31,7750811000.0,140.41640721033642,0.5194501122452833,-0.3770707422274267,1.3830071314232812,-0.01632619931687618,64.93,63.07,63.26,80.44,80.26,81.86
thor industries inc,THO,2019-08-01,2019-10-31,7732512000.0,140.34851827225063,0.9268523715931483,-0.37894881196588664,1.3849546855080468,-0.034911998398329425,59.67,58.855,59.6,66.32,65.05,65.18
thor industries inc,THO,2019-05-01,2019-07-31,2095228000.0,5369.956122365292,235.93198966620193,0.6298475420488068,1.4066987727202114,-12.158567959285419,66.71,65.14,65.87,57.87,56.9647,59.59
thor industries inc,THO,2019-02-01,2019-04-30,2039533000.0,37.03967237954642,0.5935695338359787,0.6585023910306212,1.5436358562238117,,,,,66.84,66.64,67.16
thor industries inc,THO,2018-11-01,2019-01-31,4637129000.0,87.81280262925843,-0.1025811341117948,-0.6984588663532828,1.6627824411870888,,,,,,,
thor industries inc,THO,2018-08-01,2018-10-31,1928346000.0,36.572618062842636,0.26462976033909025,0.31141025586088983,1.6566816502347566,,,,,,,
thor industries inc,THO,2018-05-01,2018-07-31,1937741000.0,271202.3792862141,12344.996501049685,0.30263597806860487,1.7049562606423772,,,,,,,
thor industries inc,THO,2018-02-01,2018-04-30,1865626000.0,35.4039866694158,2.538895024258775,0.349158306244379,1.6683256093926235,,,,,,,
thor industries inc,THO,2017-11-01,2018-01-31,1747929000.0,33.170881766432586,1.5134734663916738,0.3547598911611434,1.6328163531048798,,,,,,,
thor industries inc,THO,2017-08-01,2017-10-31,1684105000.0,32.0099477065333,2.4406253441472567,0.3785512438163431,1.501721593143261,,,,,,,
thor industries inc,THO,2017-05-01,2017-07-31,1576540000.0,227462.12667724714,17236.18525465301,0.38366593938616794,1.51100831449108,,,,,,,
thor industries inc,THO,2017-02-01,2017-04-30,1471958000.0,27.99350060611842,2.1159848704504842,0.433878855848829,1.6332068849902435,,,,,,,
thor industries inc,THO,2016-11-01,2017-01-31,1375564000.0,26.160292391328202,1.2320154218160868,0.4344886276041399,1.6388373104246605,,,,,,,
thor industries inc,THO,2016-08-01,2016-10-31,1325650000.0,25.24856884144714,1.4997914633725002,0.4434153259902979,1.6091115446694635,,,,,,,
thor industries inc,THO,2016-05-01,2016-07-31,1265222000.0,219504.16377515614,14360.166551006245,0.455927075198756,1.5604310276036903,,,,,,,
