company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
urban edge properties,UE,2023-10-01,2023-12-31,1221428000.0,87244.85714285714,15790.0,0.6275917286646875,1.5933925740667059,309.1476282227727,15.57,15.11,15.26,18.54,18.3,18.3
urban edge properties,UE,2023-07-01,2023-09-30,1007297000.0,8.569604315016631,0.3070195587997584,0.6504678948617622,1.5373548916084794,-0.010864715814162675,15.57,15.23,15.43,15.57,15.11,15.26
urban edge properties,UE,2023-04-01,2023-06-30,986498000.0,8.397014010656951,0.08728145588260329,0.6601949138326269,-2.9428635435652177,-0.01348501536697082,14.6,14.6,15.06,14.91,14.86,15.4
urban edge properties,UE,2023-01-01,2023-03-31,992489000.0,8.450310770540655,-0.1626649638143891,0.6605301466252389,-2.945769676036712,-0.014757037293013399,13.97,13.96,14.09,14.58,14.31,14.44
urban edge properties,UE,2022-10-01,2022-12-31,1030106000.0,147158.0,1952.7142857142858,0.6540287066169773,1.5289848746434855,-254.6193003357522,13.19,13.072,13.34,13.97,13.96,14.09
urban edge properties,UE,2022-07-01,2022-09-30,1032054000.0,8.792267979758396,0.09692286721984632,0.6515087665271424,1.5348987632668165,-0.016654155606137495,15.21,14.97,15.21,13.5,12.955,13.11
urban edge properties,UE,2022-04-01,2022-06-30,1036950000.0,8.835332810742647,0.09900821376231213,0.6508937315738247,-2.864457302666474,-0.0009665306008307268,19.5,19.08,19.1,15.59,15.26,15.39
urban edge properties,UE,2022-01-01,2022-03-31,1041133000.0,8.873544702974517,0.08080627290548027,0.6484128085661499,-2.844244683436218,-0.010613646512393637,18.72,18.72,18.86,19.52,19.325,19.37
urban edge properties,UE,2021-10-01,2021-12-31,1047894000.0,52394.7,2121.75,0.6489603754091968,1.540926130304116,267.19269994632316,18.63,18.18,18.31,18.72,18.72,18.86
urban edge properties,UE,2021-07-01,2021-09-30,1015055000.0,8.669237404664907,0.2370374166218282,0.6477730573828145,1.5437505289897073,-0.011450874566285296,18.97,18.97,19.1,18.39,18.22,18.47
