company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
ufp industries inc,UFPI,2023-10-01,2023-12-30,3050220000.0,-36312.142857142855,-1231.5119047619048,0.24082276929371993,4.405272405876304,4.185632026323005,104.2,102.13,102.4,126.8,125.07,125.55
ufp industries inc,UFPI,2023-07-02,2023-09-30,2955551000.0,49.644757617495884,2.251402559881748,0.26186588493148494,4.16247310309304,-0.005018325789923557,97.66,96.48,97.05,104.2,102.13,102.4
ufp industries inc,UFPI,2023-04-02,2023-07-01,2841769000.0,47.6598966893637,2.528443967396773,0.26071510425622857,4.343598247494622,-0.008096378164872377,78.05,77.75,79.47,97.66,96.48,97.05
ufp industries inc,UFPI,2023-01-01,2023-04-01,2712442000.0,45.2465803696537,2.102972576232735,0.266270809613424,4.274487658359715,-0.012510421277015118,79.16,78.0,79.25,78.05,77.75,79.47
ufp industries inc,UFPI,2022-09-25,2022-12-31,2603703000.0,-25526.5,-1299.8921568627452,0.2909446516994624,3.697259882157771,8.11188966189839,70.77,69.055,69.6,79.16,78.0,79.25
ufp industries inc,UFPI,2022-06-26,2022-09-24,2476302000.0,41.35095599899808,2.7927026801369292,0.3376298331945539,3.034601257253746,-0.006670705246484262,66.69,66.23,67.35,70.77,69.055,69.6
ufp industries inc,UFPI,2022-03-27,2022-06-25,2325068000.0,38.6153360681603,3.3734367474381757,0.356083640765554,2.8840584810793297,-0.04339811688604931,80.88,79.5,80.04,66.69,66.23,67.35
ufp industries inc,UFPI,2021-12-26,2022-03-26,2218172000.0,36.514321459142685,3.122785935339435,0.39624590973351415,2.737390971233456,0.016163748232304185,87.92,87.445,87.73,80.88,79.5,80.04
ufp industries inc,UFPI,2021-09-26,2021-12-25,2016569000.0,59310.85294117647,4056.0588235294117,0.37861306497978137,2.6718605436303706,-4.8846983496541805,68.72,67.88,68.53,87.92,87.445,87.73
ufp industries inc,UFPI,2021-06-27,2021-09-25,1877474000.0,31.170189098998886,2.0095462620158386,0.377133327162638,2.8884432226178136,-0.06138923236631046,73.43,72.47,72.73,68.72,67.88,68.53
ufp industries inc,UFPI,2021-03-28,2021-06-26,1759563000.0,29.225222980716527,2.8797648114006678,0.45495391822835857,2.9022981825938685,0.03194085044605162,70.72,70.31,73.29,73.43,72.47,72.73
ufp industries inc,UFPI,2020-12-27,2021-03-27,1586543000.0,26.448113757980895,1.7222231483488089,0.43054813774726425,2.8428312147828834,0.030341990764665677,56.0,55.565,56.41,70.72,70.31,73.29
ufp industries inc,UFPI,2020-09-27,2020-12-26,1483152000.0,-70626.28571428571,-2997.714285714286,0.38327683042599436,3.317229794565595,8.84429877155115,53.61,53.4,54.12,56.0,55.565,56.41
ufp industries inc,UFPI,2020-06-28,2020-09-26,1413804000.0,23.642998093581724,1.29107996922974,0.39853995967021466,3.0634050777546373,0.05078337545418075,46.81,45.71,45.72,53.61,53.4,54.12
