company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
umb financial corp,UMBF,2023-10-01,2023-12-31,3100419000.0,266794.50993890374,6103.003183891231,0.9295546222577219,1.0757840110258168,3055.6307290330774,62.1,61.895,62.05,84.13,83.34,83.55
umb financial corp,UMBF,2023-07-01,2023-09-30,2806659000.0,57.83851864625514,1.9897466451644175,0.9323120577652084,1.0726022383503677,0.03283844119951291,62.72,60.66,60.9,62.1,61.895,62.05
umb financial corp,UMBF,2023-04-01,2023-06-30,2831628000.0,58.366900943406826,1.8573913819224803,0.9313428917294704,-14.56513426198639,0.16008071260615717,59.29,56.85,57.72,62.11,61.8,61.99
umb financial corp,UMBF,2023-01-01,2023-03-31,2814659000.0,58.112069169131686,1.9084746456984756,0.9306856987641844,-14.42703716507044,0.49446143821576827,83.74,83.3,83.52,60.45,58.56,58.64
umb financial corp,UMBF,2022-10-01,2022-12-31,2667093000.0,-264461.37828458106,-9932.870599900843,0.9307472716428067,1.0744055131474728,-396.24275375941767,85.05,84.02,84.29,83.74,83.3,83.52
umb financial corp,UMBF,2022-07-01,2022-09-30,2523545000.0,52.24716894648459,1.8217342649333297,0.9328506203470248,1.0719829929769413,0.015484846717636107,85.1,84.52,86.1,85.07,83.8,85.18
umb financial corp,UMBF,2022-04-01,2022-06-30,2642888000.0,54.664728851247844,2.845168407387013,0.9295377198596955,-14.1919903529775,-0.6481794499034359,98.12,97.05,97.16,88.12,86.04,86.56
umb financial corp,UMBF,2022-01-01,2022-03-31,2748405000.0,56.777203386959364,2.189008826025413,0.932314868178003,-14.77429345383959,-0.36784203422664136,107.24,106.19,106.4,101.91,97.62,98.38
umb financial corp,UMBF,2021-10-01,2021-12-31,3145424000.0,93494.15926047023,2333.2045299170704,0.9263254317684638,1.079534217354783,1525.571088654199,99.12,96.63,96.71,107.24,106.19,106.4
umb financial corp,UMBF,2021-07-01,2021-09-30,3112840000.0,64.42213889431689,1.955052683378983,0.9171109235603874,1.0903806445983901,0.19863914528314627,92.37,92.37,93.06,97.4,96.36,98.65
umb financial corp,UMBF,2021-04-01,2021-06-30,3090244000.0,63.98689453092323,1.8099614220550422,0.9156109469356289,-11.849878197320342,0.39742340375739293,92.63,91.51,92.33,94.01,92.4,92.9
umb financial corp,UMBF,2021-01-01,2021-03-31,2958239000.0,61.506142954717234,1.9261843284987685,0.9146728833323252,-11.719603791309627,0.5046075387057798,68.67,68.41,68.99,92.21,92.16,93.25
umb financial corp,UMBF,2020-10-01,2020-12-31,3016948000.0,-42699.10552536232,-2212.409420289855,0.9089292087927904,1.1001956921685538,-767.8283210533995,49.17,48.67,49.01,68.33,68.33,68.87
umb financial corp,UMBF,2020-07-01,2020-09-30,2854180000.0,59.527742433237194,1.5244314478870193,0.9056499738256344,1.104179350633461,0.17859688533395274,49.83,49.83,51.55,49.26,48.24,48.68
