company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
union pacific corp,UNP,2023-10-01,2023-12-31,14788000000.0,-147880.0,-16520.0,0.7797175713519633,0.8123775949862906,52.70060229259763,205.88,203.325,203.63,245.99,244.725,245.62
union pacific corp,UNP,2023-07-01,2023-09-30,14004000000.0,23.006407097092165,2.5102677838015444,0.7895401262398557,0.7188914027149321,-0.009685891106656934,205.57,203.36,204.62,205.88,203.325,203.63
union pacific corp,UNP,2023-04-01,2023-06-30,13194000000.0,21.675702316412025,2.5776244455396746,0.8001908136840671,0.7148028195846828,-0.011573522486821364,198.87,198.65,201.26,202.37,201.65,204.65
union pacific corp,UNP,2023-01-01,2023-03-31,12454000000.0,20.396331477235506,2.669505404520144,0.8112114964831434,0.6535674021581576,-0.00731053517833471,207.67,204.675,207.07,200.36,197.5,198.36
union pacific corp,UNP,2022-10-01,2022-12-31,12163000000.0,-3577.3529411764707,-481.7647058823529,0.8141606441656862,0.7159420289855073,2.4908357444583733,198.02,194.73,194.82,207.67,204.675,207.07
union pacific corp,UNP,2022-07-01,2022-09-30,11743000000.0,18.928110896196003,3.0544809800128947,0.8202867943008433,0.7711834733893558,-0.010853212980872554,210.0,209.02,213.28,200.15,197.37,199.2
union pacific corp,UNP,2022-04-01,2022-06-30,12710000000.0,20.316496163682864,2.9331841432225065,0.8027622594661701,0.6624458513828724,-0.0077901771979344,275.57,273.21,273.21,214.03,210.46,213.15
union pacific corp,UNP,2022-01-01,2022-03-31,11897000000.0,18.818411894969945,2.5782980069598227,0.8142573886434248,0.7096301720981325,-0.009146827378543068,251.27,248.58,249.54,274.13,273.86,276.69
union pacific corp,UNP,2021-10-01,2021-12-31,14161000000.0,-3146.8888888888887,-380.22222222222223,0.7770798898071626,0.6182103064066853,2.0513665705260267,202.25,195.93,196.01,251.27,248.58,249.54
union pacific corp,UNP,2021-07-01,2021-09-30,13917000000.0,21.453676583937106,2.5790041621704947,0.7768280949326491,0.7454509880649579,-0.01046788792684171,218.54,217.77,219.93,201.3,200.93,201.68
