company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
vishay intertechnology inc,VSH,2023-10-01,2023-12-31,2200806000.0,-5776.393700787402,-135.0971128608924,0.4809325546713938,3.320200903342367,3.7150912811977572,24.79,24.62,24.72,24.02,23.96,23.97
vishay intertechnology inc,VSH,2023-07-02,2023-09-30,2142523000.0,15.404636080613734,0.4711503203123315,0.49483177784060056,3.4034861614982375,0.007885642281209604,29.31,29.11,29.4,24.79,24.62,24.72
vishay intertechnology inc,VSH,2023-04-02,2023-07-01,2214442000.0,15.844151569789073,0.682686528719842,0.4711731046569747,3.1584046921439817,0.011860492083544779,22.23,22.21,22.62,29.31,29.11,29.4
vishay intertechnology inc,VSH,2023-01-01,2023-04-01,2147317000.0,15.268615432748371,0.797726044540516,0.47145151905102756,3.0775878407055552,0.008976290467867108,21.51,21.36,21.57,22.23,22.21,22.62
vishay intertechnology inc,VSH,2022-10-02,2022-12-31,2050150000.0,-3510.530821917808,-124.63698630136986,0.4696497590445909,2.920738910965525,0.040547640622263514,17.99,17.77,17.79,21.51,21.36,21.57
vishay intertechnology inc,VSH,2022-07-03,2022-10-01,1900281000.0,13.299187469818808,0.980222133574083,0.47513966125551227,2.9433681467967707,-0.015330355277780842,17.7,17.13,17.4,17.99,17.77,17.79
vishay intertechnology inc,VSH,2022-04-03,2022-07-02,1840411000.0,12.78098697186033,0.7831398094391511,0.4835518534243389,2.940511459987331,-0.012433538062414533,19.75,18.92,19.18,17.7,17.13,17.4
vishay intertechnology inc,VSH,2022-01-01,2022-04-02,1816122000.0,12.520402887220532,0.7166346094186263,0.4927272986275229,3.0607082082193076,-0.00809452318352492,22.54,21.78,21.79,19.75,18.92,19.18
vishay intertechnology inc,VSH,2021-10-03,2021-12-31,1746720000.0,349344.0,7304.6,0.5070298315927972,2.8983618941076914,-142.8007889546351,20.28,20.12,20.47,22.54,21.78,21.79
vishay intertechnology inc,VSH,2021-07-04,2021-10-02,1728179000.0,11.917078687326313,0.6676458622092583,0.49531580087831656,3.0569832159991575,-0.004204997340248248,22.56,22.28,22.36,20.28,20.12,20.47
vishay intertechnology inc,VSH,2021-04-04,2021-07-03,1659418000.0,11.442920485184496,0.6439314011460725,0.5047670947357678,2.991125213968087,,,,,22.56,22.28,22.36
vishay intertechnology inc,VSH,2021-01-01,2021-04-03,1568461000.0,10.819360134650406,0.4941987197174549,0.5114683971217501,3.0285470864524204,-0.005335931743347358,20.71,20.6,20.71,,,
vishay intertechnology inc,VSH,2020-10-04,2020-12-31,1579185000.0,315837.0,7513.4,0.4993823056973383,3.0178993391095315,-223.1824062095731,15.46,15.46,15.63,20.33,20.33,20.68
