company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
vse corp,VSEC,2023-10-01,2023-12-31,616725000.0,1131.7238683678843,21.295805249356356,0.543281015567954,2.6980403365796866,-1.2011958146841368,50.51,49.5,50.44,65.47,64.07,64.61
vse corp,VSEC,2023-07-01,2023-09-30,609520000.0,40.62949859444545,0.6370523002807377,0.5461436506872775,3.0552017069340227,0.25543302305597004,55.53,54.42,54.69,50.51,49.5,50.44
vse corp,VSEC,2023-04-01,2023-06-30,469137000.0,36.40643794476219,0.6871745524247057,0.5629718921144586,3.207215263936524,0.03803292946272755,44.73,44.005,44.9,55.18,54.39,54.7
vse corp,VSEC,2023-01-01,2023-03-31,457315000.0,35.60407142130871,0.709800288965093,0.5621278376258972,2.992088815956078,0.10890011689784178,45.27,45.27,46.88,45.71,44.05,44.21
vse corp,VSEC,2022-10-01,2022-12-31,449526000.0,60861.90089358245,656.3769293257515,0.5503791299964292,2.4437587932539047,-48.82793686959639,35.14,34.775,35.4,45.27,45.27,46.88
vse corp,VSEC,2022-07-01,2022-09-30,445428000.0,34.805243149818715,0.73599007073678,0.5348136760777253,2.8467220478466775,-0.02715411423599184,36.56,36.56,37.58,34.92,33.955,35.31
vse corp,VSEC,2022-04-01,2022-06-30,431283000.0,33.751057941339084,0.5906863598640044,0.5446869427790499,2.8685179103294414,0.004909899323345657,46.27,45.93,46.09,36.66,36.19,37.17
vse corp,VSEC,2022-01-01,2022-03-31,423792000.0,33.26103878429629,0.49005626856841566,0.5398426879427387,3.022420325384444,0.02132052116540849,61.7,58.68,60.86,46.01,45.97,46.04
vse corp,VSEC,2021-10-01,2021-12-31,417333000.0,7613.759509605386,113.11185302756645,0.5456650532682749,2.5782545397968484,-4.051608342561218,49.5,48.08,48.17,61.7,58.68,60.86
vse corp,VSEC,2021-07-01,2021-09-30,411021000.0,32.3532479308951,0.7100820872524877,0.5497821319739128,2.758697021506344,0.028276601623191212,49.13,49.06,49.51,48.03,48.0,49.13
vse corp,VSEC,2021-04-01,2021-06-30,401494000.0,31.607812276862436,-0.9735194214999001,0.5277763402413493,3.1355370406641256,0.040405655346445885,38.8,37.975,39.5,49.74,49.28,49.36
vse corp,VSEC,2021-01-01,2021-03-31,414303000.0,34.30652020381056,0.42321833238396955,0.5143490472260775,2.850940498518579,0.11142853336462205,39.24,38.19,38.49,38.62,38.45,38.89
vse corp,VSEC,2020-10-01,2020-12-31,356317000.0,32.24004705030764,0.5440644227289179,0.5432307670613693,2.5494656247306575,-0.0007834379165766714,31.645,30.33,30.64,39.55,39.1001,39.58
vse corp,VSEC,2020-07-01,2020-09-30,350457000.0,31.73566965498506,0.7342207733405778,0.5452337110757288,2.552846074110532,-0.03321131733402043,31.04,28.32,31.39,31.5,30.8,31.19
vse corp,VSEC,2020-04-01,2020-06-30,342954000.0,31.061860338737432,-2.0490897563626485,0.5645371412028514,2.4127479506381473,-0.08346917658962374,16.17,15.825,16.39,29.63,29.2873,30.98
vse corp,VSEC,2020-01-01,2020-03-31,366401000.0,33.30918181818182,0.3029090909090909,0.5484385802967431,2.6322032465986003,-0.0706211607333444,38.33,37.56,38.04,18.36,16.04,16.28
vse corp,VSEC,2019-10-01,2019-12-31,363101000.0,33.36712001470318,0.918581143172211,0.5707335931071662,2.164298374374935,0.00410605411917437,34.6,33.73,34.09,38.715,38.26,38.3
vse corp,VSEC,2019-07-01,2019-09-30,355860000.0,32.43938012762079,0.9596171376481313,0.5700268114007054,2.4428884026258206,-0.037939556231424136,28.03,27.395,28.69,34.02,34.02,34.49
vse corp,VSEC,2019-04-01,2019-06-30,346337000.0,31.571285323609846,0.9022789425706472,0.5810988479332345,2.4585879158180584,,,,,28.03,27.395,28.69
vse corp,VSEC,2019-01-01,2019-03-31,337531000.0,30.909432234432234,0.6046703296703296,0.5802088191581317,2.578143869672766,,,,,,,
vse corp,VSEC,2018-10-01,2018-12-31,328395000.0,30.177816577834957,0.8493843043558169,0.4859414427670672,2.681401247163371,,,,,,,
vse corp,VSEC,2018-07-01,2018-09-30,320507000.0,29.455656649205036,0.9221578898998254,0.49690220965769694,2.874310659341818,,,,,,,
vse corp,VSEC,2018-04-01,2018-06-30,311316000.0,28.610973256134546,0.8042459332781914,0.5141328114392197,2.695184135977337,,,,,,,
vse corp,VSEC,2018-01-01,2018-03-31,303313000.0,27.92680232022834,0.649295644968235,0.5182625158229607,2.216460683441036,,,,,,,
vse corp,VSEC,2017-10-01,2017-12-31,293095000.0,27.04327366672818,1.6014947407270714,0.5340398370144973,2.1806153873149845,,,,,,,
vse corp,VSEC,2017-07-01,2017-09-30,277192000.0,25.575936519653073,0.6125668942609338,0.5522256899348027,1.9099507050326723,,,,,,,
vse corp,VSEC,2017-04-01,2017-06-30,270533000.0,24.96152426646983,0.7203358553238605,0.5635480425783178,2.1116637698309972,,,,,,,
vse corp,VSEC,2017-01-01,2017-03-31,263509000.0,24.347131109673843,0.6738427423080476,0.5917633516710794,2.04086279603127,,,,,,,
vse corp,VSEC,2016-10-01,2016-12-31,255194000.0,23.63126215390314,0.6652467821094545,0.6144167992517818,1.7411716360598752,,,,,,,
vse corp,VSEC,2016-07-01,2016-09-30,248940000.0,23.05213445689416,0.6563570700990833,0.6106370199827326,1.980519703713888,,,,,,,
vse corp,VSEC,2016-04-01,2016-06-30,241515000.0,22.364570793591998,0.5527363644781924,0.6198924748105876,1.9347522043174217,,,,,,,
vse corp,VSEC,2016-01-01,2016-03-31,236294000.0,21.923733531267395,0.6079049916496567,0.6194453391741287,1.9377365470532997,,,,,,,
vse corp,VSEC,2015-10-01,2015-12-31,229309000.0,42.66213953488372,1.4409302325581395,0.631415418543272,2.076471740722027,,,,,,,
vse corp,VSEC,2015-07-01,2015-09-30,222156000.0,41.331348837209305,1.2044651162790698,0.6443734402238553,2.3205029625944187,,,,,,,
vse corp,VSEC,2015-04-01,2015-06-30,216130000.0,40.21023255813954,1.0193488372093022,0.658038384253912,2.060355674443949,,,,,,,
vse corp,VSEC,2015-01-01,2015-03-31,211120000.0,39.3147113594041,0.9720670391061452,0.6719038960635305,2.1042532975060535,,,,,,,
vse corp,VSEC,2014-10-01,2014-12-31,205489000.0,38.36613144137416,0.7772591486183719,0.42169532547209637,1.398539378492977,,,,,,,
vse corp,VSEC,2014-07-01,2014-09-30,202272000.0,37.76549663928305,0.7249813293502614,0.44284592819072016,1.3124514598769967,,,,,,,
vse corp,VSEC,2014-04-01,2014-06-30,198365000.0,37.03603435399552,1.0576923076923077,0.4537972470268827,1.5098389982110911,,,,,,,
vse corp,VSEC,2014-01-01,2014-03-31,193140000.0,36.12118945202918,1.0574153731064149,0.48426960891646953,1.565974415177521,,,,,,,
vse corp,VSEC,2013-10-01,2013-12-31,186803000.0,35.0277517344834,1.01368835552222,0.5090965471751168,1.5834832079280603,,,,,,,
vse corp,VSEC,2013-07-01,2013-09-30,182241000.0,34.17232327020439,0.9986874179636227,0.523511832393383,1.7894310645724258,,,,,,,
vse corp,VSEC,2013-04-01,2013-06-30,176800000.0,33.15207200450028,1.286705419088693,0.5510171949240564,1.822588424437299,,,,,,,
vse corp,VSEC,2013-01-01,2013-03-31,170271000.0,32.02388564980252,0.9889035170208764,0.572854186265287,1.7941288350800793,,,,,,,
vse corp,VSEC,2012-10-01,2012-12-31,164335000.0,31.37361588392516,0.4518900343642612,0.5993890948804396,1.8021827429968271,,,,,,,
vse corp,VSEC,2012-07-01,2012-09-30,162074000.0,30.65519198032911,1.1280499337998866,0.6320138045341538,1.7012141280353201,,,,,,,
vse corp,VSEC,2012-04-01,2012-06-30,156522000.0,29.605069037261206,1.1906563268394175,0.651693444301037,1.7757602936882066,,,,,,,
vse corp,VSEC,2012-01-01,2012-03-31,150675000.0,28.607366622365674,1.2659958230491741,0.6694172265054215,1.809855036136525,,,,,,,
vse corp,VSEC,2011-10-01,2011-12-31,143600000.0,68250.9505703422,2875.0,0.684056746576548,1.6626942715515636,,,,,,,
vse corp,VSEC,2011-07-01,2011-09-30,137582000.0,26.26651823633146,1.1684020555475902,0.6866284922945166,1.6449387224910108,,,,,,,
vse corp,VSEC,2011-04-01,2011-06-30,132658000.0,25.3292847109132,0.8040345694768162,0.7255463398385859,1.7789940573594005,,,,,,,
vse corp,VSEC,2011-01-01,2011-03-30,,,-364.74908200734393,,,,,,,,,
