company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
weis markets inc,WMK,2023-10-01,2023-12-30,1374336000.0,,,0.3261843312911349,2.4420714709110225,,62.13,61.345,63.0,64.37,63.415,63.96
weis markets inc,WMK,2023-07-02,2023-09-30,1358316000.0,50.49794146077526,0.8634700528948832,0.2979622383282364,2.833052256625661,-0.005286619558700306,64.31,63.78,64.21,62.13,61.345,63.0
weis markets inc,WMK,2023-04-02,2023-07-01,1345198000.0,50.01025524042414,1.2738655542255737,0.3183718122104457,2.409656575326074,-0.0040411181446760435,84.14,83.83,84.67,64.31,63.78,64.21
weis markets inc,WMK,2023-01-01,2023-04-01,1320211000.0,49.081316714131,0.959683800285392,0.32112531206532613,2.3422676228702595,-0.004083383423252662,83.26,81.775,82.29,84.14,83.83,84.67
weis markets inc,WMK,2022-09-25,2022-12-31,1301834000.0,,,0.3355108082586836,2.1461353811050206,,72.13,71.48,72.36,83.26,81.775,82.29
weis markets inc,WMK,2022-06-26,2022-09-24,1281089000.0,47.6268830876196,1.0654148271704798,0.33989255578319066,2.1011497721054786,-0.004304795843492283,74.34,73.78,74.68,72.13,71.48,72.36
weis markets inc,WMK,2022-03-27,2022-06-25,1263062000.0,46.95669559758533,1.3482564771499972,0.3443427813243937,2.0659402141277443,-0.004309513079221423,74.25,73.16,74.09,74.34,73.78,74.68
weis markets inc,WMK,2021-12-26,2022-03-26,1237477000.0,46.005525301222825,1.1669448674036635,0.3476449941959094,2.0640184187155564,-0.004927910733064618,64.94,64.72,64.77,74.25,73.16,74.09
weis markets inc,WMK,2021-09-26,2021-12-25,1219742000.0,,,0.3615503997696908,1.9457237461507486,,52.16,52.16,52.45,64.94,64.72,64.77
weis markets inc,WMK,2021-06-27,2021-09-25,1206651000.0,44.85951101333263,1.0598011193435992,0.35546106943216627,1.984981632322219,-0.005801233985054328,53.44,51.73,52.3,52.16,52.16,52.45
weis markets inc,WMK,2021-03-28,2021-06-26,1186585000.0,44.113519879198954,1.2443842939161944,0.3499991509236034,1.9961373906433242,-0.005467997306196465,56.69,56.5,57.51,53.44,51.73,52.3
weis markets inc,WMK,2020-12-27,2021-03-27,1161257000.0,,,0.3494077895797186,1.969527477947517,,47.33,46.78,47.43,56.69,56.5,57.51
weis markets inc,WMK,2020-09-27,2020-12-26,1146115000.0,,,0.3704121189549011,1.8084263968186582,,47.93,47.43,47.73,47.33,46.78,47.43
weis markets inc,WMK,2020-06-28,2020-09-26,1134706000.0,,,0.3540816959663193,1.951510333863275,,49.24,48.44,49.21,47.93,47.43,47.73
weis markets inc,WMK,2020-03-29,2020-06-27,1111347000.0,,,0.3609753152438288,1.857839893613604,,37.81,37.81,38.64,49.24,48.44,49.21
weis markets inc,WMK,2019-12-29,2020-03-28,1077185000.0,,,0.3724029401688686,1.7144765994736009,,40.69,39.63,40.12,37.81,37.81,38.64
weis markets inc,WMK,2019-09-29,2019-12-28,1058745000.0,,,0.36812544089684535,1.7410957121032549,,38.43,38.2,38.29,40.69,39.63,40.12
weis markets inc,WMK,2019-06-30,2019-09-28,1048184000.0,,,0.3598645691661562,1.7304470009660138,,36.41,36.34,36.41,38.43,38.2,38.29
weis markets inc,WMK,2019-03-31,2019-06-29,1042076000.0,,,0.349480277643043,1.7804955673486917,,,,,36.41,36.34,36.41
weis markets inc,WMK,2018-12-30,2019-03-30,1029485000.0,,,0.35969376807204373,1.6616515853429739,,,,,,,
weis markets inc,WMK,2018-09-30,2018-12-29,1022899000.0,,,0.285690542879908,1.755610692593549,,,,,,,
weis markets inc,WMK,2018-07-01,2018-09-29,1017545000.0,,,0.2855638319608106,1.7904341776313275,,,,,,,
weis markets inc,WMK,2018-04-01,2018-06-30,1011583000.0,,,0.28371587485351546,1.7511666660222778,,,,,,,
weis markets inc,WMK,2017-12-31,2018-03-31,1000600000.0,,,0.29466018425117035,1.7657416962886519,,,,,,,
weis markets inc,WMK,2017-10-01,2017-12-30,992844000.0,,,0.3113566325111549,1.7617207718832697,,,,,,,
weis markets inc,WMK,2017-07-02,2017-09-30,937424000.0,,,0.3332441882630083,1.9110185709055814,,,,,,,
weis markets inc,WMK,2017-04-02,2017-07-01,940760000.0,,,0.3245034444034368,1.9750131050148523,,,,,,,
weis markets inc,WMK,2017-01-01,2017-04-01,930552000.0,,,0.335031688739332,2.0271811887793647,,,,,,,
weis markets inc,WMK,2016-09-25,2016-12-31,926722000.0,,,0.35253307473464757,1.7520838915724601,,,,,,,
weis markets inc,WMK,2016-06-26,2016-09-24,894321000.0,,,0.31207664438512955,1.8617204171022281,,,,,,,
weis markets inc,WMK,2016-03-27,2016-06-25,892165000.0,,,0.2739477648318792,2.101397003781729,,,,,,,
weis markets inc,WMK,2015-12-27,2016-03-26,884464000.0,,,0.28266035565922504,2.0663310135144557,,,,,,,
weis markets inc,WMK,2015-09-27,2015-12-26,871747000.0,,,0.2946796778857551,2.0486373959121877,,,,,,,
weis markets inc,WMK,2015-06-28,2015-09-26,862950000.0,,,0.2825788751714678,2.065562894942823,,,,,,,
weis markets inc,WMK,2015-03-29,2015-06-27,871115000.0,,,0.2666956245775218,2.10898583513673,,,,,,,
weis markets inc,WMK,2014-12-28,2015-03-28,862886000.0,,,0.27321410673119606,2.103300216407633,,,,,,,
