company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"amc entertainment holdings, inc.",AMC,2023-10-01,2023-12-31,-1847900000.0,-107.56737877641307,-10.594330286978288,1.2051125516139058,0.737012987012987,2.1828977239653065,7.84,7.835,7.99,6.2,6.06,6.12
"amc entertainment holdings, inc.",AMC,2023-07-01,2023-09-30,-2138000000.0,-13.163079347879624,0.07572772496675369,1.243145193390272,0.6410910518053375,0.04164676513408467,43.3,42.5,44.0,7.84,7.835,7.99
"amc entertainment holdings, inc.",AMC,2023-04-01,2023-06-30,-2582600000.0,-1.7069195475533008,0.005684003759373649,1.297888046875901,0.4553175062729203,-8.749591350335983e-05,49.1,48.7,50.1,43.6,41.8,44.2
"amc entertainment holdings, inc.",AMC,2023-01-01,2023-03-31,-2590300000.0,-1.8852983412023898,-0.17140399156590466,1.2927686604276867,0.4324592653156573,0.001241274623078223,40.4,39.0,40.7,51.1,48.65,49.7
"amc entertainment holdings, inc.",AMC,2022-10-01,2022-12-31,-2624500000.0,-179.3548827991526,-19.661040114808994,1.2872827181575375,0.5336922439803585,0.04333672804369675,69.7,68.2,69.7,40.4,39.0,40.7
"amc entertainment holdings, inc.",AMC,2022-07-01,2022-09-30,-2579000000.0,-2.494954947634001,-0.21950572997989717,1.28014034172994,0.5578700850486873,7.219490800072923e-06,67.0,64.55,67.75,74.6,69.0,71.0
"amc entertainment holdings, inc.",AMC,2022-04-01,2022-06-30,-2326800000.0,-4.502139038467864,-0.23528455693557343,1.236986036279193,0.7493041380590091,-0.0009326918206083955,123.85,116.3,123.2,65.35,64.0,68.25
"amc entertainment holdings, inc.",AMC,2022-01-01,2022-03-31,-2178300000.0,-4.222248066523231,-0.6539900370219612,1.2105573491600132,0.843138431984632,-0.001059792278907659,139.55,138.4175,144.7,142.8,126.75,128.4
"amc entertainment holdings, inc.",AMC,2021-10-01,2021-12-31,-1789500000.0,-145.83163556352375,-10.952652595550484,1.1653652451138936,1.0460875887913195,-0.012922155890804447,175.95,168.7,190.3,139.55,138.4175,144.7
"amc entertainment holdings, inc.",AMC,2021-07-01,2021-09-30,-1642700000.0,-3.200085714842304,-0.4367560828317067,1.148559801040018,1.102895032857735,-0.000336041143124306,280.0,273.25,283.4,186.25,176.85,177.7
