company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
amplify energy corp.,AMPY,2023-10-01,2023-12-31,391036000.0,7820.72,835.0,0.469906760981138,1.0181684313135817,-14.5027027027027,7.4,7.24,7.35,6.0,5.91,5.93
amplify energy corp.,AMPY,2023-07-01,2023-09-30,346037000.0,8.858433812047206,-0.34311240816117555,0.5174528137441519,0.7228539493981914,-0.017786439000247466,6.72,6.61,6.77,7.4,7.24,7.35
amplify energy corp.,AMPY,2023-04-01,2023-06-30,358144000.0,9.19001308665418,0.2407687767827359,0.499435344104657,0.8746336633663366,-0.019258384914898733,6.75,6.68,6.87,6.54,6.54,6.66
amplify energy corp.,AMPY,2023-01-01,2023-03-31,346994000.0,8.967643562309402,8.693156561740839,0.5176163440525376,0.8468094620578634,-0.20510385114166665,8.46,8.445,8.79,6.75,6.62,6.73
amplify energy corp.,AMPY,2022-10-01,2022-12-31,-4565000.0,-138.33333333333334,867.1818181818181,1.0099351873212645,0.7096359008094271,-78.94942967640867,6.19,6.18,6.57,8.46,8.445,8.79
amplify energy corp.,AMPY,2022-07-01,2022-09-30,-35323000.0,-0.9188886865586223,1.1696365859368902,1.0770938186135641,0.685282294431417,-0.03958052994238317,6.6,6.455,6.54,6.07,5.93,6.31
amplify energy corp.,AMPY,2022-04-01,2022-06-30,-83391000.0,-2.1756065744847377,0.7257500652230628,1.1826622945648817,0.5852559031077931,-0.050102738226046946,5.48,5.44,5.5,7.5,6.78,6.83
amplify energy corp.,AMPY,2022-01-01,2022-03-31,-113003000.0,-2.9596658023624314,-1.2732510934758126,1.2477429680135048,0.5917720137908963,-0.041463686126607474,3.2,3.105,3.11,5.82,5.52,5.58
amplify energy corp.,AMPY,2021-10-01,2021-12-31,-64841000.0,-2947.318181818182,1625.0454545454545,1.1424763788178423,0.761574929009524,-0.4680468046804681,5.05,4.9556,5.32,3.2,3.105,3.11
amplify energy corp.,AMPY,2021-07-01,2021-09-30,-100151000.0,-2.635830087377619,-0.35451100115801665,1.2467277793243445,0.51254767836282,-0.03365015866331794,3.92,3.86,4.05,4.98,4.73,5.08
amplify energy corp.,AMPY,2021-04-01,2021-06-30,-87375000.0,-2.3003712187031042,-0.9220703999157518,1.2210206791880098,0.5491636233207252,-0.14448453793485408,2.74,2.72,2.78,3.98,3.86,3.88
amplify energy corp.,AMPY,2021-01-01,2021-03-31,-53274000.0,-1.4082846493430965,-0.5109307674006714,1.136056471838144,0.7844715437269754,-0.0980043725027732,1.35,1.3,1.31,2.7,2.63,2.72
amplify energy corp.,AMPY,2020-10-01,2020-12-31,-33737000.0,-2108.5625,-2363.125,1.0876834589964108,0.9995603390665119,-704.7097388770593,0.8923,0.8301,0.8527,1.35,1.33,1.36
amplify energy corp.,AMPY,2020-07-01,2020-09-30,4036000.0,0.10726625205974592,-0.4700207303460373,0.9904290789055571,1.2162998423725846,-0.31787374316476535,1.26,1.22,1.23,1.03,0.852,0.8923
amplify energy corp.,AMPY,2020-04-01,2020-06-30,21255000.0,0.5653677350711531,-1.0995079132863412,0.9531501070130466,1.2691708836123006,-0.21365460868405609,0.5565,0.52,0.5659,1.33,1.25,1.26
amplify energy corp.,AMPY,2020-01-01,2020-03-31,62096000.0,1.6528960817717206,-9.774249361158432,0.8775528715799852,2.0910021919580295,0.004825087366248578,6.62,6.49,6.61,0.672,0.53,0.53
amplify energy corp.,AMPY,2019-07-01,2019-09-30,480045000.0,14.24170053698045,0.15299492686978966,0.4751478468318848,1.2870218533516282,,,,,6.42,6.35,6.41
