company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
artisan partners asset management inc.,APAM,2023-10-01,2023-12-31,603757000.0,18666.16169423404,1814.036172515072,0.5705419750785641,1.7527194206215926,-32.87616462699204,38.23,37.39,37.42,44.63,43.97,44.18
artisan partners asset management inc.,APAM,2023-07-01,2023-09-30,543050000.0,8.549221713048983,0.7629674635875258,0.6169440451216708,1.6208925394567748,-0.01598305375964088,40.0,39.3,39.31,38.23,37.39,37.42
artisan partners asset management inc.,APAM,2023-04-01,2023-06-30,513025000.0,8.078702697268644,0.764132446537617,0.6351770336289227,-4.584481167906056,-0.01944055037029482,31.47,31.46,31.98,39.1,39.1,39.89
artisan partners asset management inc.,APAM,2023-01-01,2023-03-31,442592000.0,6.999516398371535,0.7243349418015117,0.6673368654689275,-4.73082885894108,-0.029265435440250002,29.64,29.155,29.7,31.59,30.99,31.17
artisan partners asset management inc.,APAM,2022-10-01,2022-12-31,414637000.0,2836.0167984460068,332.9731060709693,0.6641549382476057,1.5056727615976662,-11.71765768981543,27.49,26.47,26.93,29.64,29.155,29.7
artisan partners asset management inc.,APAM,2022-07-01,2022-09-30,383994000.0,6.131794050131457,0.6480641096749821,0.7140527402217913,1.4004567781497357,-0.026719599858131264,34.31,34.1518,35.57,28.43,27.67,27.87
artisan partners asset management inc.,APAM,2022-04-01,2022-06-30,370372000.0,5.943032560845433,0.6157857979410007,0.7135946129445844,-5.315272879725764,-0.02801017953510813,39.93,39.305,39.35,36.74,34.84,34.98
artisan partners asset management inc.,APAM,2022-01-01,2022-03-31,359013000.0,5.786888571676434,0.9026896903204721,0.71444036314871,-4.991487807395761,-0.044596813498032996,47.78,47.42,47.49,40.15,39.6,39.93
artisan partners asset management inc.,APAM,2021-10-01,2021-12-31,406996000.0,1172.3720748021062,220.21223887819886,0.6630958894811212,1.5080775131670767,-4.755477373212647,50.42,48.82,48.92,47.78,47.42,47.49
artisan partners asset management inc.,APAM,2021-07-01,2021-09-30,368344000.0,6.142593641559089,1.3038653244048513,0.7074333860997022,1.4135606541179906,-0.031531114065373574,50.22,50.14,50.82,50.69,49.88,49.92
artisan partners asset management inc.,APAM,2021-04-01,2021-06-30,330922000.0,5.531795731201955,1.3279773374938677,0.7287110985773241,-5.072751014704904,-0.03385199447747809,51.5,51.35,52.17,50.63,50.1,50.54
artisan partners asset management inc.,APAM,2021-01-01,2021-03-31,329990000.0,5.616059175587905,1.1936870042018246,0.7431872517401537,-6.2657271729854935,-0.01811287421251403,49.75,49.31,50.34,50.75,50.51,51.39
artisan partners asset management inc.,APAM,2020-10-01,2020-12-31,284795000.0,640.0376657991847,150.10135605866515,0.7527739630300305,1.3284200159830806,-3.116570094511049,38.92,38.72,38.99,49.65,49.35,49.74
artisan partners asset management inc.,APAM,2020-07-01,2020-09-30,213922000.0,3.792774941211386,0.9311820789229868,0.8023886437347754,1.2462788547771917,-0.03378027130732843,31.18,31.16,32.5,38.6,38.38,38.7
artisan partners asset management inc.,APAM,2020-04-01,2020-06-30,171833000.0,,,0.8284933771033722,-7.96387294723622,,21.77,20.95,21.49,31.05,30.9,31.41
artisan partners asset management inc.,APAM,2020-01-01,2020-03-31,147971000.0,,,0.8480781195777387,-8.794687037237694,,32.12,32.1071,32.32,22.09,21.535,21.8
artisan partners asset management inc.,APAM,2019-10-01,2019-12-31,181611000.0,,,0.8054763238537348,1.2415014201976575,,28.31,28.1,28.24,32.2,31.98,32.17
