company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"aris water solutions, inc.",ARIS,2023-10-01,2023-12-31,687893000.0,22741.768050780218,168.2755884686591,0.48683121953985176,1.1225671678835136,-41.055499813201045,10.18,9.97,9.98,8.67,8.32,8.39
"aris water solutions, inc.",ARIS,2023-07-01,2023-09-30,678794000.0,22.58839768709801,0.16868238062784854,0.4988652756634483,1.1083289218281278,-0.0011372057448442597,10.71,10.18,10.32,10.18,9.97,9.98
"aris water solutions, inc.",ARIS,2023-04-01,2023-06-30,669366000.0,22.285017478513627,0.1464214000569239,0.4977342868912795,1.1434875066454013,-0.07292491998795647,7.93,7.705,7.79,10.33,10.24,10.59
"aris water solutions, inc.",ARIS,2023-01-01,2023-03-31,661222000.0,22.0884849563949,0.10586218974386127,0.5021818346082033,1.2867837276957046,6.518156208012762e-05,14.35,14.23,14.41,7.91,7.69,7.86
"aris water solutions, inc.",ARIS,2022-10-01,2022-12-31,657087000.0,508.63756592254407,1.3020016921377522,0.4958538123596902,1.520478263723281,1.618835790514033,12.88,12.4,12.76,14.35,14.23,14.41
"aris water solutions, inc.",ARIS,2022-07-01,2022-09-30,666822000.0,27.217276702530818,0.021224530512364656,0.47933899784652717,1.0974344004411145,-0.013042539975701489,16.58,16.01,16.68,12.85,12.625,13.01
"aris water solutions, inc.",ARIS,2022-04-01,2022-06-30,594993000.0,27.06443453566186,0.05526668038250729,0.48535938339274115,1.7601908178651275,-0.0124833439184126,18.23,18.01,18.2,17.46,16.36,16.9
"aris water solutions, inc.",ARIS,2022-01-01,2022-03-31,593385000.0,27.153522318206143,-0.10996219002949073,0.4809079703723403,2.2847830939802067,-0.0320358825151423,12.65,12.5984,13.04,19.11,18.15,18.37
ari network services inc /wi,ARIS,2017-02-01,2017-04-30,32048000.0,1.8320471045561082,0.0814611558909278,0.46726952358788526,0.9055240793201134,,,,,,,
ari network services inc /wi,ARIS,2016-11-01,2017-01-31,30522000.0,1.747309365697275,0.013853904282115869,0.4860145159389051,0.7805752815436482,,,,,,,
ari network services inc /wi,ARIS,2016-08-01,2016-10-31,29888000.0,1.7153351698806245,0.020431588613406795,0.38813028435727887,0.8710108473510454,,,,,,,
ari network services inc /wi,ARIS,2016-05-01,2016-07-31,29326000.0,1543.4736842105262,24.105263157894736,0.4056705105080761,0.8534812547819434,,,,,,,
ari network services inc /wi,ARIS,2016-02-01,2016-04-30,28757000.0,1.666299687101634,0.02595897554757214,0.4204788198782798,0.8523759079903148,,,,,,,
ari network services inc /wi,ARIS,2015-11-01,2016-01-31,28224000.0,1642.0758668838725,26.064696299744007,0.42098676787362804,0.7707715133531158,,,,,,,
ari network services inc /wi,ARIS,2015-08-01,2015-10-31,27528000.0,1604.9440298507463,22.67957089552239,0.44452964203559464,0.732013557233092,,,,,,,
ari network services inc /wi,ARIS,2015-02-01,2015-04-30,21233000.0,1478.4152624982594,23.603954880935802,0.5225642524677895,0.6832582639896175,,,,,,,
ari network services inc /wi,ARIS,2014-11-01,2015-01-31,20168000.0,,,0.5210411323263988,0.5878130841121495,,,,,,,
ari network services inc /wi,ARIS,2014-08-01,2014-10-31,19473000.0,,,0.5377439111237715,0.5695491614094476,,,,,,,
ari network services inc /wi,ARIS,2014-02-01,2014-04-30,16726000.0,1.2487681051216963,0.011945647304763328,0.4901076121086486,0.6052313535911602,,,,,,,
ari network services inc /wi,ARIS,2013-11-01,2014-01-31,16397000.0,,,0.4989763803587252,0.5430390492359932,,,,,,,
