company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"b&g foods, inc.",BGS,2023-10-01,2023-12-30,835463000.0,575.3877410468319,1.7734159779614325,0.7587660865824115,3.0593328201571537,-32.41458781027126,9.73,9.7121,9.89,10.55,10.47,10.5
"b&g foods, inc.",BGS,2023-07-02,2023-09-30,840639000.0,11.294660611597786,-1.1116918364056538,0.7875484286743243,1.5193598978797715,0.28638286918050904,14.09,13.815,13.92,9.73,9.7121,9.89
"b&g foods, inc.",BGS,2023-04-02,2023-07-01,866363000.0,11.993341362459681,0.14608856956961114,0.767025743087584,3.9560171467378376,-0.04459996098144309,15.39,15.27,15.53,14.09,13.815,13.92
"b&g foods, inc.",BGS,2023-01-01,2023-04-01,861819000.0,12.006561807771075,0.04757658925312417,0.770331221553532,4.061165923947912,-0.15903583517458295,11.08,10.91,11.15,15.39,15.27,15.53
"b&g foods, inc.",BGS,2022-10-02,2022-12-31,868166000.0,2170.415,60.7525,0.774009796416033,3.752078929342182,-9.521390374331553,16.83,16.49,16.49,11.08,10.91,11.15
"b&g foods, inc.",BGS,2022-07-03,2022-10-01,841574000.0,11.742346867587553,-0.8313520301381331,0.7887389565249698,3.2742352207241723,0.05369600327879921,23.64,23.5,24.16,16.83,16.49,16.49
"b&g foods, inc.",BGS,2022-04-03,2022-07-02,940181000.0,13.449602311741817,0.0036621652552071412,0.7599694351840552,3.273394652650823,,26.89,26.3,26.84,23.64,23.5,24.16
"b&g foods, inc.",BGS,2021-01-03,2021-04-03,840614000.0,13.01602588916588,0.41617763188455165,0.7753092320012488,3.513925221488344,-0.012825261896863399,28.31,27.06,27.73,,,
"b&g foods, inc.",BGS,2020-06-28,2020-10-03,843376000.0,13.133220175342977,0.7289814223647944,0.7427873024683546,2.5576300273562946,-0.06614027127154178,24.53,24.05,24.3,27.52,27.5,28.19
"b&g foods, inc.",BGS,2020-03-29,2020-06-27,817149000.0,12.742070793700297,0.700311866521129,0.7487104152687324,3.1226303472155763,,16.57,16.38,16.8,24.53,24.05,24.3
"b&g foods, inc.",BGS,2019-12-29,2020-03-28,796287000.0,12.432853997845333,0.438615391821631,0.7600666388653193,3.68717480733305,0.0594443183262264,17.98,17.86,18.22,16.57,16.38,16.8
"b&g foods, inc.",BGS,2019-09-29,2019-12-28,812542000.0,-2515.609907120743,-31.761609907120743,0.7482511719270415,3.0510308517896987,45.68663512356854,19.46,19.08,19.18,17.98,17.86,18.22
"b&g foods, inc.",BGS,2019-06-30,2019-09-28,843415000.0,12.959465896344556,0.47768165824126857,0.7638985660886101,3.4655467816258714,0.201656249667574,20.8,20.76,20.8,19.46,19.08,19.18
"b&g foods, inc.",BGS,2019-03-31,2019-06-29,868360000.0,13.28966498829219,0.2793192635558072,0.7262220081109363,3.0150135753000193,,,,,20.8,20.76,20.8
"b&g foods, inc.",BGS,2018-12-30,2019-03-30,877119000.0,13.373453944200651,0.2560127704189205,0.7146822424039168,2.14641814675581,,,,,,,
"b&g foods, inc.",BGS,2018-09-30,2018-12-29,900049000.0,-8357.854562675853,-1039.3262078763848,0.7053655576029716,2.2676292839953263,,,,,,,
"b&g foods, inc.",BGS,2018-07-01,2018-09-29,832586000.0,12.627882590931991,0.4851639450083625,0.7574038099839072,1.6050816992648977,,,,,,,
"b&g foods, inc.",BGS,2018-04-01,2018-06-30,827014000.0,12.472463393487192,0.12028861425133534,0.7535063647632733,3.7283866908230903,,,,,,,
"b&g foods, inc.",BGS,2017-12-31,2018-03-31,872648000.0,13.119043949416614,0.3088954492861534,0.7462320026125674,3.7781889217476023,,,,,,,
"b&g foods, inc.",BGS,2017-10-01,2017-12-30,880819000.0,267076.7131594906,39389.93329290479,0.7526510528671696,4.400280912817764,,,,,,,
"b&g foods, inc.",BGS,2017-07-02,2017-09-30,791389000.0,11.901242734693355,0.4922075928607973,0.7549477917590838,3.2386103561722215,,,,,,,
"b&g foods, inc.",BGS,2017-04-02,2017-07-01,787666000.0,11.847896287910562,0.33183664142872094,0.7483445358981552,3.722099069674209,,,,,,,
"b&g foods, inc.",BGS,2017-01-01,2017-04-01,790967000.0,11.898807954463845,0.4928809214797247,0.7420792022708412,3.4692008811852424,,,,,,,
"b&g foods, inc.",BGS,2016-10-02,2016-12-31,785657000.0,735.59670203941,12.703477539525155,0.7418578251062509,2.672772794671723,,,,,,,
"b&g foods, inc.",BGS,2016-07-03,2016-10-01,804848000.0,12.428556661495925,0.5004789990148238,0.7152681866551951,4.093442791842666,,,,,,,
"b&g foods, inc.",BGS,2016-04-03,2016-07-02,622457000.0,9.9361180798218,0.482888790764164,0.7565158512285357,4.9103702209220215,,,,,,,
"b&g foods, inc.",BGS,2016-01-03,2016-04-02,618870000.0,10.928895549871415,0.5862226585123393,0.7562154483938747,4.1387579954490885,,,,,,,
"b&g foods, inc.",BGS,2014-09-28,2015-01-03,337995000.0,143400.50912176495,4859.567246499788,0.7950741896974147,2.1201290294739565,,,,,,,
"b&g foods, inc.",BGS,2014-06-29,2014-09-27,353218000.0,6.582066084638186,-0.08223436413633596,0.791978996367474,1.9967825742846819,,,,,,,
"b&g foods, inc.",BGS,2014-03-30,2014-06-28,375552000.0,6.999535764855916,0.3007799403897324,0.780033303793739,1.6390047139232806,,,,,,,
"b&g foods, inc.",BGS,2013-12-29,2014-03-29,376451000.0,7.016794035414725,0.33135135135135135,0.7461636388891512,1.9601945854483926,,,,,,,
"b&g foods, inc.",BGS,2013-09-29,2013-12-28,378363000.0,2087.923185166791,103.70002483238143,0.7450973258876149,1.7191384301038652,,,,,,,
"b&g foods, inc.",BGS,2013-06-30,2013-09-28,348165000.0,6.5848845933086455,0.2903163112526754,0.7549585069687601,1.6254151283737082,,,,,,,
"b&g foods, inc.",BGS,2013-03-31,2013-06-29,348481000.0,6.592140706993334,-0.027107755180688323,0.7516632698145747,3.606876508546377,,,,,,,
"b&g foods, inc.",BGS,2012-12-30,2013-03-30,363820000.0,6.901640899174808,0.37245565778241485,0.6926352250406572,1.716818517606501,,,,,,,
"b&g foods, inc.",BGS,2012-09-30,2012-12-29,361175000.0,371.72224703744035,9.83814760000247,0.6969927045021342,1.573639693895165,,,,,,,
"b&g foods, inc.",BGS,2012-07-01,2012-09-29,246719000.0,5.098845821391906,0.3492037412767523,0.7846621804439091,2.231754244559424,,,,,,,
"b&g foods, inc.",BGS,2012-04-01,2012-06-30,241775000.0,4.997877336224712,0.33128314420571703,0.7886707783103801,2.10502934309333,,,,,,,
"b&g foods, inc.",BGS,2012-01-01,2012-03-31,237582000.0,4.945643756775795,0.3492605119545433,0.7895798718253026,2.229527447861698,,,,,,,
"b&g foods, inc.",BGS,2011-10-02,2011-12-31,235547000.0,-4976.274982042506,-258.9048041576879,0.7920891358018153,2.090305703591356,,,,,,,
"b&g foods, inc.",BGS,2011-07-03,2011-10-01,237231000.0,4.9607084605411735,0.25268704780226675,0.731311486178847,3.990458048018672,,,,,,,
"b&g foods, inc.",BGS,2011-04-03,2011-07-02,237647000.0,4.96069385880683,0.2629941969690644,0.7303235250729094,3.8622979555375774,,,,,,,
"b&g foods, inc.",BGS,2011-01-01,2011-03-30,,,,,,,,,,,,
