company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
caseys general stores inc,CASY,2023-11-01,2024-01-31,2947461000.0,79.44608191941471,2.3431985154342936,0.5251402687346928,0.8865917589390923,-0.005942664209929287,270.64,270.16,271.91,273.1,268.96,274.41
caseys general stores inc,CASY,2023-08-01,2023-10-31,2897391000.0,77.82841657710131,4.26513081629138,0.5347395993326975,1.0641001615032648,-0.005475381514638575,251.49,251.165,252.66,269.15,266.55,270.64
caseys general stores inc,CASY,2023-05-01,2023-07-31,2776295000.0,74.42960168952256,4.537069187939225,0.542043253179624,1.0944240839658286,-0.010909517770415414,227.24,226.87,228.82,250.83,250.51,251.46
caseys general stores inc,CASY,2023-02-01,2023-04-30,2660666000.0,458577.3871078938,9667.700792830059,0.552322879492266,0.9933450182014292,-26.54122966785108,231.2,230.09,235.91,227.24,226.87,228.82
caseys general stores inc,CASY,2022-11-01,2023-01-31,2606782000.0,69.92234108524096,2.6853282747562486,0.5536803731523571,1.1016257592184031,-0.002454340476754591,230.72,229.82,232.71,228.8,228.24,230.38
caseys general stores inc,CASY,2022-08-01,2022-10-31,2512816000.0,67.40914256159549,3.690069071933746,0.5660423758786861,1.0781994533799053,-0.00207042636231341,202.23,201.03,202.65,228.21,225.92,231.35
caseys general stores inc,CASY,2022-05-01,2022-07-31,2380046000.0,63.94029617701104,4.10854133699208,0.5809144375883606,0.9631644695924718,-0.005823742291728389,205.76,199.91,201.3,202.23,201.03,202.65
caseys general stores inc,CASY,2022-02-01,2022-04-30,2240838000.0,558116.5628891656,14888.169364881694,0.5929989302054405,0.8014287956598922,-250.68932773390955,186.11,183.615,187.81,205.76,199.91,201.3
caseys general stores inc,CASY,2021-11-01,2022-01-31,2185606000.0,58.80151403797546,1.7225008234637629,0.5954037278808755,0.8431435097166043,0.018826342101295,187.75,187.75,191.54,184.62,182.61,187.38
caseys general stores inc,CASY,2021-08-01,2021-10-31,2123134000.0,57.13034238585362,2.605576559729434,0.595755991401551,0.989452343259954,-0.00241017108520347,196.82,196.82,197.71,187.75,187.75,191.54
caseys general stores inc,CASY,2021-05-01,2021-07-31,2030665000.0,54.69648543368189,3.2095783931825785,0.5999455867762864,0.9059629498665213,0.03192011639329843,223.75,220.315,222.19,196.82,196.82,197.71
caseys general stores inc,CASY,2021-02-01,2021-04-30,1932679000.0,25901.322754868193,558.8270769395714,0.566694407613455,1.1809615356369412,-0.9014311494874603,194.82,187.01,187.48,224.84,221.91,222.94
caseys general stores inc,CASY,2020-11-01,2021-01-31,1893589000.0,51.11930217319847,1.042773952026621,0.5693439621267927,1.2800699865595555,-0.0030114569943871807,170.1,165.38,168.57,194.82,187.01,187.48
caseys general stores inc,CASY,2020-08-01,2020-10-31,1859851000.0,50.22427068449094,3.0240403688582305,0.5698441693488029,1.2968084141001301,0.011939743469447985,160.49,157.05,159.19,170.1,165.38,168.57
caseys general stores inc,CASY,2020-05-01,2020-07-31,1751238000.0,47.367401202487024,3.261766616422391,0.5727638471205001,1.045278658066063,-0.0245960248385158,154.35,149.0,151.41,160.09,160.09,160.77
caseys general stores inc,CASY,2020-02-01,2020-04-30,1643205000.0,29998.083137083082,1133.5231940412948,0.5833544630532479,0.36415253312871204,2.725616810129229,160.97,158.49,160.86,154.65,152.28,155.68
caseys general stores inc,CASY,2019-11-01,2020-01-31,1588590000.0,43.026779368683805,0.919775650470627,0.5949576163796643,0.35266133368090063,0.00629462545009207,166.0,166.0,170.81,163.26,160.18,161.47
caseys general stores inc,CASY,2019-08-01,2019-10-31,1561848000.0,42.30708522757454,2.220688027286771,0.5959904487192919,0.364666748457882,-0.007458237116498333,161.81,161.22,161.91,165.86,163.65,165.82
caseys general stores inc,CASY,2019-05-01,2019-07-31,1489214000.0,40.3974384814265,2.32787643903671,0.6118549416615017,0.7618237720597953,-0.00843502042992105,131.06,130.62,132.35,161.7,160.97,162.72
caseys general stores inc,CASY,2019-02-01,2019-04-30,1408769000.0,90120.84186284544,1612.8454452405322,0.6224532183301816,0.6948007554168669,,,,,130.98,130.57,131.57
caseys general stores inc,CASY,2018-11-01,2019-01-31,1390868000.0,37.880335530156465,1.1393775950730736,0.6118795657661474,0.7575398802245412,,,,,,,
caseys general stores inc,CASY,2018-08-01,2018-10-31,1357079000.0,36.979112622718816,1.815195421462136,0.6172559838698441,0.8114596072835983,,,,,,,
caseys general stores inc,CASY,2018-05-01,2018-07-31,1298699000.0,35.416789556503296,1.9150770346445847,0.6315232172896805,0.7736269131305981,,,,,,,
caseys general stores inc,CASY,2018-02-01,2018-04-30,1271141000.0,-8266.669701561454,-125.26745010307803,0.6336692385747597,0.7814118342030127,,,,,,,
caseys general stores inc,CASY,2017-11-01,2018-01-31,1329803000.0,35.38639700259958,5.134847866643877,0.6149049238948089,1.032557201676427,,,,,,,
caseys general stores inc,CASY,2017-08-01,2017-10-31,1154332000.0,30.53412822322461,1.293967839775473,0.6624939842382657,1.232233244730331,,,,,,,
caseys general stores inc,CASY,2017-05-01,2017-07-31,1166512000.0,30.4095108814095,1.479610169982855,0.6305561300289693,0.9941972964470888,,,,,,,
caseys general stores inc,CASY,2017-02-01,2017-04-30,1190620000.0,-20275.190300223083,-512.2013521107573,0.6057682819984226,0.7853278273682891,,,,,,,
caseys general stores inc,CASY,2016-11-01,2017-01-31,1215506000.0,31.012022016972665,0.5826047117476761,0.5916158526854275,0.9714186722377933,,,,,,,
caseys general stores inc,CASY,2016-08-01,2016-10-31,1199413000.0,30.605230891177715,1.4590529720434426,0.593729327215064,1.1007144425926643,,,,,,,
caseys general stores inc,CASY,2016-05-01,2016-07-31,1149043000.0,29.344913746293013,1.72109523071824,0.6018671006580208,1.0362212933693873,,,,,,,
caseys general stores inc,CASY,2016-02-01,2016-04-30,1083463000.0,86822.90247615994,3769.853353634105,0.6025663316885217,0.8408394848943807,,,,,,,
caseys general stores inc,CASY,2015-11-01,2016-01-31,1043130000.0,26.723634457325613,0.9760468486091365,0.6093949221676891,0.8470446307456247,,,,,,,
caseys general stores inc,CASY,2015-08-01,2015-10-31,1009408000.0,25.88056687376255,2.026354894883016,0.616313284144483,0.8071316253355234,,,,,,,
caseys general stores inc,CASY,2015-05-01,2015-07-31,935901000.0,24.01916192744907,1.5862023035427006,0.6336084692374727,0.8136852309456648,,,,,,,
caseys general stores inc,CASY,2015-02-01,2015-04-30,875229000.0,20841.26681747827,984.4743421835933,0.6456512541675692,0.8365831800903837,,,,,,,
caseys general stores inc,CASY,2014-11-01,2015-01-31,839109000.0,21.629041962804067,1.0134944339001168,0.6485466212084405,0.7890135253658311,,,,,,,
caseys general stores inc,CASY,2014-08-01,2014-10-31,800102000.0,20.670939132335818,1.2883845604566104,0.6668889899196805,0.8103115660266086,,,,,,,
caseys general stores inc,CASY,2014-05-01,2014-07-31,770954000.0,19.964450281927288,1.2973005727627216,0.6756045539254402,0.9607885226816438,,,,,,,
caseys general stores inc,CASY,2014-02-01,2014-04-30,719866000.0,51923.3987305251,1645.7010963646856,0.6861225518452017,1.0418826096659806,,,,,,,
caseys general stores inc,CASY,2013-11-01,2014-01-31,701753000.0,18.235416861016706,0.38118159798996804,0.6847756852253299,1.0816755696166882,,,,,,,
caseys general stores inc,CASY,2013-08-01,2013-10-31,692148000.0,17.998806715843177,1.0744706257793482,0.6834208847226065,1.0283118708108723,,,,,,,
caseys general stores inc,CASY,2013-05-01,2013-07-31,653474000.0,17.020621114077965,1.4510428911713142,0.7019413127145446,1.102874135302345,,,,,,,
caseys general stores inc,CASY,2013-02-01,2013-04-30,602295000.0,40457.78195741251,1563.2430980049708,0.6964266453227743,0.685904140309945,,,,,,,
caseys general stores inc,CASY,2012-11-01,2013-01-31,583486000.0,15.227806668242986,0.4035530835547747,0.6983726724770737,0.711596391711752,,,,,,,
caseys general stores inc,CASY,2012-08-01,2012-10-31,572513000.0,14.946231337867486,0.8578289323229127,0.6924554177918424,0.8255705702366163,,,,,,,
caseys general stores inc,CASY,2012-05-01,2012-07-31,544745000.0,14.251159881090214,1.0210961483241372,0.7048146939961006,0.9216328792537957,,,,,,,
caseys general stores inc,CASY,2012-05-01,2012-07-30,,,-972.9534350383886,,,,,,,,,
caseys general stores inc,CASY,2011-11-01,2012-01-31,485638000.0,12.75586496672519,0.43861927830883074,0.718245647827656,0.9226011800939955,,,,,,,
caseys general stores inc,CASY,2011-08-01,2011-10-31,473058000.0,12.43060571749843,0.988860888856971,0.7214668009114514,0.9668650814262316,,,,,,,
caseys general stores inc,CASY,2011-05-01,2011-07-31,439642000.0,11.562109526794076,1.0359407344383509,0.7427574052576393,0.9839344604951461,,,,,,,
caseys general stores inc,CASY,2011-02-01,2011-04-30,403896000.0,,,0.7492816372896822,0.997918505942275,,,,,,,
caseys general stores inc,CASY,2010-11-01,2011-01-31,385169000.0,10.152485632364934,0.3393659731616473,0.7489537267273041,1.026971937071951,,,,,,,
caseys general stores inc,CASY,2010-05-01,2010-07-31,858460000.0,16.850116422358692,0.7318610545908559,0.4065059929441094,1.1239631948335445,,,,,,,
