company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
caterpillar inc,CAT,2023-10-01,2023-12-31,19503000000.0,-8126.25,-1115.0,0.7770474187205634,1.3519062428011979,4.528271463379676,279.08,271.36,273.0,296.85,293.2,295.67
caterpillar inc,CAT,2023-07-01,2023-09-30,20507000000.0,40.22557865829737,5.4805806198509215,0.7637197405260914,1.449251298152397,-0.011137506471090144,246.57,243.89,246.05,279.08,271.36,273.0
caterpillar inc,CAT,2023-04-01,2023-06-30,18256000000.0,35.59368297913824,5.697016962370832,0.7862970723541738,1.330916916803534,-0.011997212788233036,226.38,224.9,228.84,241.94,241.37,244.24
caterpillar inc,CAT,2023-01-01,2023-03-31,18170000000.0,35.19953506392871,3.764044943820225,0.7827828186828294,1.4339551535707555,-0.008950166653559717,239.39,237.7,239.56,225.05,223.99,224.54
caterpillar inc,CAT,2022-10-01,2022-12-31,15891000000.0,-4965.9375,-454.375,0.8060725138205826,1.3886334083917415,2.1154831514859245,165.89,163.89,164.08,239.39,237.7,239.56
caterpillar inc,CAT,2022-07-01,2022-09-30,15622000000.0,29.756190476190476,3.8876190476190478,0.8069141112635495,1.4097410767498841,-0.02395481658768023,180.26,177.12,178.76,165.7,163.54,165.9
caterpillar inc,CAT,2022-04-01,2022-06-30,15759000000.0,29.677966101694917,3.150659133709981,0.8057011108782226,1.449504540275524,-0.018359071891543784,223.21,222.43,222.82,187.32,182.13,183.48
caterpillar inc,CAT,2022-01-01,2022-03-31,17097000000.0,31.98690364826941,2.875584658559401,0.7921994263211629,1.4414872003250712,-0.015475841286810336,207.33,205.93,206.08,222.0,220.7,223.08
caterpillar inc,CAT,2021-10-01,2021-12-31,16516000000.0,-9175.555555555555,-1177.7777777777778,0.8005145362530649,1.455925218614936,1.6390874813994338,198.62,191.63,191.97,207.33,205.93,206.08
caterpillar inc,CAT,2021-07-01,2021-09-30,16695000000.0,30.689338235294116,2.6213235294117645,0.7933377896613191,1.6127579303972899,-0.023519681845340874,214.62,214.055,217.63,200.48,197.7,197.87
caterpillar inc,CAT,2021-04-01,2021-06-30,16880000000.0,30.808541704690636,2.578937762365395,0.7933828659559102,1.5612185546022974,-0.010918972076130781,234.35,228.85,231.87,218.04,214.59,215.1
