company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
clearone inc,CLRO,2023-10-01,2023-12-31,44685000.0,51185.56701030928,3026.3459335624284,0.11853473783879749,10.156389214536928,-1896.9072164948454,0.75,0.75,0.7596,1.06,0.99,1.0814
clearone inc,CLRO,2023-07-01,2023-09-30,42013000.0,1.7534412008724594,-0.05638490615711072,0.1446342406905959,7.879985021531549,-0.011149604533147511,0.831,0.81,0.8279,0.75,0.75,0.7596
clearone inc,CLRO,2023-04-01,2023-06-30,43366000.0,1.8102503936207186,-0.042536668152458434,0.1608096601904172,6.806166718314223,-0.8584764959130351,1.42,1.42,1.51,0.85,0.801,0.8261
clearone inc,CLRO,2023-01-01,2023-03-31,73326000.0,3.0608913502957344,-0.034730676751030344,0.09679247142294048,12.638027452974072,-0.059922267192185574,1.55,1.44,1.52,1.4301,1.42,1.44
clearone inc,CLRO,2022-10-01,2022-12-31,74130000.0,15039.561777236762,4874.822479204707,0.11486567164179104,9.535344827586206,625.8360240843709,0.59,0.5401,0.5401,1.55,1.44,1.52
clearone inc,CLRO,2022-07-01,2022-09-30,50078000.0,2.090716418352865,-0.05210300112033977,0.13295358138407465,4.542056074766355,-0.013344833448576034,0.56,0.5401,0.5401,0.54,0.54,0.58
clearone inc,CLRO,2022-04-01,2022-06-30,51323000.0,2.143045253818475,-0.010731302344589133,0.13523395507927682,4.6859232175502745,0.03531492479131062,0.9199,0.894951,0.9126,0.5999,0.5496,0.5521
clearone inc,CLRO,2022-01-01,2022-03-31,51536000.0,2.1565611687175603,-0.08231053669022512,0.17876151321031328,3.3207728309132367,-0.011937384480361168,1.29,1.29,1.29,0.89,0.880101,0.89
clearone inc,CLRO,2021-10-01,2021-12-31,51504000.0,60.093879184513554,-2.6649273853958713,0.22189992748368384,2.5663354253835426,-0.40787888720197873,2.36,2.35,2.35,1.29,1.29,1.29
clearone inc,CLRO,2021-07-01,2021-09-30,53765000.0,2.7643692572111784,-0.11152082058757641,0.2120843530635872,3.2998449912807595,0.22500427779265694,2.56,2.5532,2.74,2.3597,2.35,2.36
clearone inc,CLRO,2021-04-01,2021-06-30,46618000.0,2.4828746466798224,-0.08447035886640779,0.2179500083878544,3.068896478624426,-0.0012729725103892363,3.64,3.28,3.6,2.6,2.52,2.58
clearone inc,CLRO,2021-01-01,2021-03-31,48180000.0,2.5660727790008964,-0.08814550538079045,0.1949605667691485,3.909090909090909,-0.002035720298824566,2.25,2.2,2.27,3.48,3.06,3.08
clearone inc,CLRO,2020-10-01,2020-12-31,49814000.0,98.92739618025146,11.01995666688512,0.20071241756654848,4.125968719177117,0.0025903507878940477,2.3,2.28,2.29,2.26,2.211,2.289
clearone inc,CLRO,2020-07-01,2020-09-30,44250000.0,2.6029082573367455,-0.07411670970043614,0.23405802118673405,2.8783978830887658,0.14167972926141573,1.98,1.98,2.0,2.31,2.21,2.28
clearone inc,CLRO,2020-04-01,2020-06-30,40719000.0,2.4454719041889583,-0.11633092852019972,0.22544749006106027,3.2363931762794476,0.055682726450263544,1.62,1.62,1.68,2.03,1.85,1.99
clearone inc,CLRO,2020-01-01,2020-03-31,42614000.0,2.5592879589327193,-0.11092610081542996,0.18591678447254806,4.1080481036077705,0.00010122041283049034,1.78,1.66,1.66,1.61,1.61,1.62
clearone inc,CLRO,2019-10-01,2019-12-31,44478000.0,16937.54760091394,-755.9025133282558,0.1929232444202504,4.029924787966075,546.9216360305469,1.85,1.8105,1.8105,1.7,1.65,1.67
clearone inc,CLRO,2019-07-01,2019-09-30,45984000.0,2.7624118551586436,-0.11870489356718598,0.13456543832574247,5.656029838375466,0.00010012221117340248,2.4,2.23,2.23,1.94,1.83,1.83
clearone inc,CLRO,2019-04-01,2019-06-30,48036000.0,2.888380994987003,-0.12615170554339938,0.14078737904019176,5.047704233750745,,,,,2.4,2.23,2.23
clearone inc,CLRO,2019-01-01,2019-03-31,49979000.0,3.005243888719088,-0.14124568107807556,0.13734120408726871,5.593655892391086,,,,,,,
clearone inc,CLRO,2018-10-01,2018-12-31,52201000.0,81.86401737616737,-3.977072241258988,0.11396079097004158,5.719873501997337,,,,,,,
clearone inc,CLRO,2018-07-01,2018-09-30,44736000.0,5.38552762243811,-1.220941102172016,0.11935274316423551,4.833396440742143,,,,,,,
clearone inc,CLRO,2018-04-01,2018-06-30,54787000.0,6.599973449282709,-0.26056806488397793,0.10538691399552587,5.113499111900533,,,,,,,
clearone inc,CLRO,2018-01-01,2018-03-31,56874000.0,6.846411965631912,-0.22221887837248144,0.11391892312965445,4.813949938949939,,,,,,,
clearone inc,CLRO,2017-10-01,2017-12-31,56567000.0,-875.8535263606101,55.86436479058605,0.16662492449577912,3.1967924528301888,,,,,,,
clearone inc,CLRO,2017-07-01,2017-09-30,61584000.0,7.228134230809452,-1.088727155186225,0.17194643145269725,3.3228995057660624,,,,,,,
clearone inc,CLRO,2017-04-01,2017-06-30,72444000.0,8.386575228253557,-0.09492838174545741,0.14513293133356148,3.525700721263581,,,,,,,
clearone inc,CLRO,2017-01-01,2017-03-31,75863000.0,8.652147691544085,-0.05337523060836814,0.13849805244211266,3.7550738007380073,,,,,,,
clearone inc,CLRO,2016-10-01,2016-12-31,77449000.0,-1425.6603773584907,20.027611596870685,0.1211361263673914,4.306404892178951,,,,,,,
clearone inc,CLRO,2016-07-01,2016-09-30,79955000.0,8.962078040863176,0.13551563193550845,0.12406879929886065,4.381072111032887,,,,,,,
clearone inc,CLRO,2016-04-01,2016-06-30,79783000.0,8.755227507192503,0.10479979781869371,0.1168096529584325,4.645525249205828,,,,,,,
clearone inc,CLRO,2016-01-01,2016-03-31,82505000.0,8.971326334020622,0.14875188685461743,0.1255709940330461,4.389869095048378,,,,,,,
clearone inc,CLRO,2015-10-01,2015-12-31,82569000.0,11068.23056300268,210.72386058981232,0.11718290583669236,4.8033725408556265,,,,,,,
