company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
commercial metals co,CMC,2023-12-01,2024-02-29,4222688000.0,36.27846981349015,0.737539168908214,0.3661783192352751,4.193957880628997,-0.012180720458814792,44.96,44.785,45.33,53.98,53.78,54.19
commercial metals co,CMC,2023-09-01,2023-11-30,4229977000.0,36.22425932312385,1.5095493104726128,0.3682045964784459,4.12199808121176,-0.012757029927946782,56.4,56.19,56.29,44.66,44.66,44.87
commercial metals co,CMC,2023-06-01,2023-08-31,4121114000.0,-35833.59273783335,-1601.346005025781,0.37926560461412356,3.7265649260294365,12.569374936000807,43.19,42.47,42.75,56.46,56.2334,56.35
commercial metals co,CMC,2023-03-01,2023-05-31,4023625000.0,34.370385827222506,1.9986140712370255,0.3829609898080928,3.68329104841584,-0.04128811771785068,52.42,51.58,51.75,44.61,44.17,44.21
commercial metals co,CMC,2022-12-01,2023-02-28,3783193000.0,32.27305257312342,1.534226837547985,0.4166106515014763,3.0747569755793753,-0.0017315897099749987,48.58,47.73,49.22,52.56,52.01,52.46
commercial metals co,CMC,2022-09-01,2022-11-30,3584235000.0,30.562979472736707,2.2321620620568066,0.42871312520451577,2.9920727723580858,-0.05710021617780638,40.89,39.87,40.51,48.23,47.7,48.38
commercial metals co,CMC,2022-06-01,2022-08-31,3286429000.0,-5221.004252831382,-458.53370253692435,0.4730776377912105,2.536109778501931,6.20598657662747,40.69,39.716,39.73,42.4,40.49,40.89
commercial metals co,CMC,2022-03-01,2022-05-31,3142169000.0,25.91541464020935,2.576795544932805,0.48520275072406877,2.476156097939801,-3.1991298141125936e-05,37.64,37.59,38.55,41.0,40.4,41.35
commercial metals co,CMC,2021-12-01,2022-02-28,2869947000.0,23.629092926754815,3.155933585577049,0.4785915170541875,4.229573158539556,0.09384268329653565,31.91,30.59,30.9,36.06,36.06,37.66
commercial metals co,CMC,2021-09-01,2021-11-30,2486189000.0,20.525019305962168,1.922641931545117,0.47385116325923365,3.123319732771376,-0.0096977570003188,33.46,32.49,32.62,33.17,31.96,32.01
commercial metals co,CMC,2021-06-01,2021-08-31,2295109000.0,23715.19353572093,1573.8390956622372,0.5052227243535918,2.7913343865664837,-6.936422288056038,31.63,30.67,31.47,34.07,33.46,33.53
commercial metals co,CMC,2021-03-01,2021-05-31,2156597000.0,17.880206462863757,1.0812043067894173,0.5088681017746224,2.951221455716005,0.006764083484918988,25.63,24.9,25.15,31.63,30.67,31.47
commercial metals co,CMC,2020-12-01,2021-02-28,2009492000.0,16.69770066553087,0.5513877751504519,0.5055433741933214,3.272005494790778,-0.03228199261846804,20.72,19.91,19.91,25.63,24.9,25.15
commercial metals co,CMC,2020-09-01,2020-11-30,1934899000.0,16.156106225589124,0.5351665985235838,0.5182825665452061,3.537522076846179,-0.011080123736401699,21.53,20.86,20.87,20.89,20.65,20.91
commercial metals co,CMC,2020-06-01,2020-08-31,1889413000.0,20319.764690699474,727.2541512518283,0.5371046282358845,2.97090154750739,-71.98533709090273,17.19,16.92,17.16,21.5,21.39,21.59
commercial metals co,CMC,2020-03-01,2020-05-31,1800662000.0,15.10711681114192,0.5431025365407062,0.5446995072172732,3.41916463561401,-0.005029581043041946,17.67,17.6,18.26,17.19,16.92,17.16
commercial metals co,CMC,2019-12-01,2020-02-29,1758055000.0,14.783577674485642,0.536480763387286,0.5501323204206413,3.211937750911214,-0.01660690910390339,21.66,21.33,21.36,17.67,17.6,18.26
commercial metals co,CMC,2019-09-01,2019-11-30,1701697000.0,14.376060270106349,0.7041299781293755,0.5531669743676463,3.3466835226026808,-0.042621682358359274,15.73,15.46,15.67,21.66,21.33,21.36
commercial metals co,CMC,2019-06-01,2019-08-31,1624057000.0,22678.2427771494,1202.449275969447,0.5679287192542456,2.994579536129227,-143.21077913723573,13.47,13.265,13.35,15.73,15.46,15.67
commercial metals co,CMC,2019-03-01,2019-05-31,1564195000.0,13.250795910134952,0.66406675088175,0.5847648400190071,3.0018430745550635,,,,,14.09,13.755,13.79
commercial metals co,CMC,2018-12-01,2019-02-28,1498496000.0,12.714814435973016,0.11751795129131228,0.5981175168128663,2.751791432228633,,,,,,,
commercial metals co,CMC,2018-09-01,2018-11-30,1489027000.0,12.684765076021426,0.16817870470502885,0.598498914699419,2.675074987968963,,,,,,,
commercial metals co,CMC,2018-06-01,2018-08-31,1493583000.0,14924.04000839337,515.1929975319498,0.5512480230171283,3.832884639159469,,,,,,,
commercial metals co,CMC,2018-03-01,2018-05-31,1452902000.0,12.406111189530954,0.34125511128046115,0.5523324191424847,3.896885548193524,,,,,,,
commercial metals co,CMC,2017-12-01,2018-02-28,1451473000.0,12.426054610696495,0.08705676876950012,0.5012942882273714,3.107600056569085,,,,,,,
commercial metals co,CMC,2017-09-01,2017-11-30,1434973000.0,12.344539217209867,0.3166627445850864,0.5049386319351296,3.2002067491397117,,,,,,,
commercial metals co,CMC,2017-06-01,2017-08-31,1400930000.0,17472.96606258653,-368.4348379210996,0.5291198942164227,2.816885204408666,,,,,,,
commercial metals co,CMC,2017-03-01,2017-05-31,1418085000.0,12.236857324345264,0.3388319033751441,0.566943921988616,2.2390063307298997,,,,,,,
commercial metals co,CMC,2016-12-01,2017-02-28,1362020000.0,11.768297310243074,0.26207837918260596,0.5651045250497073,2.3651831105281262,,,,,,,
commercial metals co,CMC,2016-09-01,2016-11-30,1330092000.0,11.55622304007785,0.054519010396640616,0.5570169654097477,2.583114885387419,,,,,,,
commercial metals co,CMC,2016-06-01,2016-08-31,1367431000.0,-8428.13382148096,0.8074158993133883,0.5632423458151714,2.494312632289147,,,,,,,
commercial metals co,CMC,2016-03-01,2016-05-31,1363462000.0,11.889574230546744,0.16854279087206497,0.5616844644557503,4.167925163228372,,,,,,,
commercial metals co,CMC,2015-12-01,2016-02-29,1348798000.0,11.685032125655866,0.09098190194798472,0.5568282815471999,4.388591816157161,,,,,,,
commercial metals co,CMC,2015-09-01,2015-11-30,1366178000.0,11.775138871865094,0.21601892692281302,0.5863459883059563,4.387096398385302,,,,,,,
commercial metals co,CMC,2015-06-01,2015-08-31,1319350000.0,-4708.533782529871,20.524332272201683,0.6087687283048789,3.737115856858692,,,,,,,
commercial metals co,CMC,2015-03-01,2015-05-31,1353290000.0,11.692244443170736,0.48971625245391637,0.6219570995098508,3.216716618080279,,,,,,,
commercial metals co,CMC,2014-12-01,2015-02-28,1311439000.0,11.238835007102091,0.4666368812973505,0.6346459759598964,3.006391912108518,,,,,,,
commercial metals co,CMC,2014-09-01,2014-11-30,1339109000.0,11.365895430220991,0.30770296296403177,0.6297019052622846,2.9972030909186365,,,,,,,
commercial metals co,CMC,2014-06-01,2014-08-31,1348591000.0,14037.294945457574,363.5398451161629,0.6343815405636949,2.865715539306943,,,,,,,
commercial metals co,CMC,2014-03-01,2014-05-31,1350646000.0,11.474826675570725,0.2001866817481953,0.6267355060938756,3.051482857778071,,,,,,,
commercial metals co,CMC,2013-12-01,2014-02-28,1335919000.0,11.376788863683005,0.0948946442920714,0.6230984148013938,3.155211889780524,,,,,,,
commercial metals co,CMC,2013-09-01,2013-11-30,1323146000.0,11.302130009713206,0.39223374284925533,0.6259878921641095,3.1670669043624162,,,,,,,
commercial metals co,CMC,2013-06-01,2013-08-31,1270155000.0,14359.497591968708,45.86564768128066,0.6365587053454546,3.029276323790918,,,,,,,
commercial metals co,CMC,2013-03-01,2013-05-31,1281717000.0,10.969327353541653,0.16229973069918235,0.6427434995342376,2.809823679040047,,,,,,,
commercial metals co,CMC,2012-12-01,2013-02-28,1296882000.0,11.12381321615527,0.03925853939706363,0.619623020033935,2.171968225810863,,,,,,,
commercial metals co,CMC,2012-09-01,2012-11-30,1308357000.0,11.246315258020818,0.4273551146078792,0.625923891708784,2.0952887209046414,,,,,,,
commercial metals co,CMC,2012-06-01,2012-08-31,1246507000.0,9220.203708771904,223.49529931283425,0.6377745153935522,2.4855692938009217,,,,,,,
commercial metals co,CMC,2012-03-01,2012-05-31,1196081000.0,10.315783828621724,0.3508681416358833,0.6543164455039037,2.4450651708848747,,,,,,,
commercial metals co,CMC,2011-12-01,2012-02-29,1242117000.0,10.735378301135505,0.24937092892429835,0.6476631659446617,2.226288974046333,,,,,,,
commercial metals co,CMC,2011-09-01,2011-11-30,1182161000.0,10.232454109863326,0.9325152928171506,0.6628805302378079,2.119763850942385,,,,,,,
commercial metals co,CMC,2011-06-01,2011-08-31,1160648000.0,6601.192101192101,-684.0419965419966,0.6848746351948926,1.9403972460366317,,,,,,,
commercial metals co,CMC,2011-03-01,2011-05-31,1312545000.0,11.373540950371174,0.3133790525049987,0.6504594602799744,2.0626010681949656,,,,,,,
commercial metals co,CMC,2010-12-01,2011-02-28,1257787000.0,10.962350204359565,-0.402328860239171,0.6527686177767852,2.0859143823874318,,,,,,,
commercial metals co,CMC,2010-09-01,2010-11-30,1260325000.0,11.024631186253115,0.005694590603416403,0.6527661068091538,2.1003620053841656,,,,,,,
