company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"cheniere energy partners, l.p.",CQP,2023-10-01,2023-12-31,-784000000.0,,,1.0433101314771849,1.0095785440613028,,54.57,54.01,54.19,51.5,48.5,49.79
"cheniere energy partners, l.p.",CQP,2023-07-01,2023-09-30,-973000000.0,,,1.0538401947764497,0.8741123305358296,,46.21,45.725,46.14,54.57,54.01,54.19
"cheniere energy partners, l.p.",CQP,2023-04-01,2023-06-30,18511000000.0,,,0.05348468579025413,0.9525920873124147,,47.42,46.77,47.32,45.95,45.66,46.0
"cheniere energy partners, l.p.",CQP,2023-01-01,2023-03-31,17867000000.0,,,0.05048626242227773,1.4339762611275964,,56.93,56.78,56.87,47.95,46.81,47.47
"cheniere energy partners, l.p.",CQP,2022-10-01,2022-12-31,-2131000000.0,,,1.1085417409463658,1.0821974390747624,,51.97,51.353,53.36,56.93,56.78,56.87
"cheniere energy partners, l.p.",CQP,2022-07-01,2022-09-30,-3884000000.0,,,1.1894634146341463,0.7359807986035348,,44.67,43.83,44.87,54.61,51.99,52.16
"cheniere energy partners, l.p.",CQP,2022-04-01,2022-06-30,17505000000.0,,,0.13040238450074515,0.7832759989415189,,55.91,55.64,56.36,46.51,44.9091,45.93
"cheniere energy partners, l.p.",CQP,2022-01-01,2022-03-31,17428000000.0,,,0.11343982093804049,1.52125,,41.85,41.4743,42.14,54.39,54.0,55.7
"cheniere energy partners, l.p.",CQP,2021-10-01,2021-12-31,718000000.0,,,0.9629093914660606,1.6446096654275093,,41.34,40.59,40.67,41.85,41.4743,42.14
"cheniere energy partners, l.p.",CQP,2021-07-01,2021-09-30,589000000.0,,,0.9704450800341211,1.3698296836982968,,43.44,43.44,44.29,41.24,40.74,41.38
"cheniere energy partners, l.p.",CQP,2021-04-01,2021-06-30,19694000000.0,,,-0.029859331694817758,1.3579017264276227,,42.32,41.54,41.55,43.08,43.06,43.44
"cheniere energy partners, l.p.",CQP,2021-01-01,2021-03-31,19688000000.0,,,-0.027932960893854747,1.2190914318573893,,34.47,34.02,35.25,42.6,41.36,41.64
"cheniere energy partners, l.p.",CQP,2020-10-01,2020-12-31,539000000.0,,,0.9718464351005485,2.417893544733862,,34.66,32.81,33.26,32.97,32.97,34.24
"cheniere energy partners, l.p.",CQP,2020-07-01,2020-09-30,478000000.0,,,0.9748817656332107,2.4477434679334915,,34.26,34.14,34.98,33.64,33.4594,34.78
"cheniere energy partners, l.p.",CQP,2020-04-01,2020-06-30,19945000000.0,,,-0.04659705095240594,4.387423935091278,,25.22,24.28,27.01,35.01,34.3,34.54
"cheniere energy partners, l.p.",CQP,2020-01-01,2020-03-31,20053000000.0,,,-0.04263505433369729,0.901657458563536,,39.0,38.98,39.81,24.0,23.99,24.18
"cheniere energy partners, l.p.",CQP,2019-10-01,2019-12-31,715000000.0,,,0.9631139083780438,2.8022774327122155,,44.93,44.8,45.48,39.96,39.15,39.15
"cheniere energy partners, l.p.",CQP,2019-07-01,2019-09-30,592000000.0,,,0.9692003537797201,2.820261437908497,,41.86,41.59,42.18,44.88,44.7,44.84
"cheniere energy partners, l.p.",CQP,2019-04-01,2019-06-30,19774000000.0,,,-0.0422178885785063,1.830827067669173,,,,,41.86,41.59,42.18
"cheniere energy partners, l.p.",CQP,2019-01-01,2019-03-31,18886000000.0,,,-0.04893085254096084,2.252155172413793,,,,,,,
"cheniere energy partners, l.p.",CQP,2018-10-01,2018-12-31,800000000.0,,,0.9554912651607878,2.2059925093632957,,,,,,,
"cheniere energy partners, l.p.",CQP,2018-07-01,2018-09-30,748000000.0,,,0.957344890510949,2.9322766570605188,,,,,,,
"cheniere energy partners, l.p.",CQP,2018-04-01,2018-06-30,728000000.0,,,0.9584996009577015,2.824657534246575,,,,,,,
"cheniere energy partners, l.p.",CQP,2018-01-01,2018-03-31,725000000.0,,,0.9584884053821929,3.1818181818181817,,,,,,,
"cheniere energy partners, l.p.",CQP,2017-10-01,2017-12-31,639000000.0,,,0.9635959665014527,2.58021712907117,,,,,,,
"cheniere energy partners, l.p.",CQP,2017-07-01,2017-09-30,485000000.0,,,0.9717875632598453,2.7535321821036107,,,,,,,
"cheniere energy partners, l.p.",CQP,2017-04-01,2017-06-30,486000000.0,,,0.9716832721552177,1.9518459069020866,,,,,,,
"cheniere energy partners, l.p.",CQP,2017-01-01,2017-03-31,465000000.0,,,0.9727942897261876,1.9532062391681109,,,,,,,
"cheniere energy partners, l.p.",CQP,2016-10-01,2016-12-31,443054000.0,,,0.9714937390380084,1.119840693879125,,,,,,,
"cheniere energy partners, l.p.",CQP,2016-07-01,2016-09-30,382262000.0,,,0.9744179607916779,0.34959956096364847,,,,,,,
"cheniere energy partners, l.p.",CQP,2016-04-01,2016-06-30,488422000.0,,,0.965746045438447,0.2983871042243476,,,,,,,
"cheniere energy partners, l.p.",CQP,2016-01-01,2016-03-31,613269000.0,,,0.9550753074215197,0.22298977041488008,,,,,,,
"cheniere energy partners, l.p.",CQP,2015-10-01,2015-12-31,712931000.0,,,0.9451436548187807,0.23887435346966238,,,,,,,
"cheniere energy partners, l.p.",CQP,2015-07-01,2015-09-30,793710000.0,,,0.936742727457917,1.5038697300079547,,,,,,,
"cheniere energy partners, l.p.",CQP,2015-04-01,2015-06-30,842529000.0,,,0.9315492166128273,1.5291348687755322,,,,,,,
"cheniere energy partners, l.p.",CQP,2015-01-01,2015-03-31,927299000.0,,,0.9242956520447094,1.9390325119573772,,,,,,,
"cheniere energy partners, l.p.",CQP,2014-10-01,2014-12-31,1130729000.0,,,0.8911453798141327,2.2654547486449736,,,,,,,
"cheniere energy partners, l.p.",CQP,2014-07-01,2014-09-30,1226311000.0,,,0.8851030933533911,1.7215192353374786,,,,,,,
"cheniere energy partners, l.p.",CQP,2014-04-01,2014-06-30,1294279000.0,,,0.8791798133758508,1.7987087709732974,,,,,,,
"cheniere energy partners, l.p.",CQP,2014-01-01,2014-03-31,1545257000.0,,,0.8154500317623955,2.641710936799195,,,,,,,
"cheniere energy partners, l.p.",CQP,2013-10-01,2013-12-31,1639744000.0,,,0.8074690877999358,2.3059720858861095,,,,,,,
"cheniere energy partners, l.p.",CQP,2013-07-01,2013-09-30,1725763000.0,,,0.7720476446223462,2.664718357434218,,,,,,,
"cheniere energy partners, l.p.",CQP,2013-04-01,2013-06-30,1848454000.0,,,0.7692777395970192,1.7093507286927634,,,,,,,
"cheniere energy partners, l.p.",CQP,2013-01-01,2013-03-31,1696752000.0,,,0.7028211248874907,2.5756724842026837,,,,,,,
"cheniere energy partners, l.p.",CQP,2012-10-01,2012-12-31,1362808000.0,,,0.6364175762843631,3.4267035583295797,,,,,,,
"cheniere energy partners, l.p.",CQP,2012-07-01,2012-09-30,930475000.0,,,0.731917639889883,3.0212582591209425,,,,,,,
"cheniere energy partners, l.p.",CQP,2012-04-01,2012-06-30,-442206000.0,,,1.2360950347036839,2.428477249697843,,,,,,,
"cheniere energy partners, l.p.",CQP,2012-01-01,2012-03-31,-574893000.0,,,1.3262096687249127,1.3045624819902026,,,,,,,
"cheniere energy partners, l.p.",CQP,2011-10-01,2011-12-31,-545019000.0,,,1.3137161112070455,2.1133582924852368,,,,,,,
"cheniere energy partners, l.p.",CQP,2011-07-01,2011-09-30,-524132000.0,,,1.2906947852284374,1.6992864002974193,,,,,,,
"cheniere energy partners, l.p.",CQP,2011-04-01,2011-06-30,-558958000.0,,,1.3237249116060337,1.409584445566698,,,,,,,
"cheniere energy partners, l.p.",CQP,2011-01-01,2011-03-30,,,,,,,,,,,,
