company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"dick's sporting goods, inc.",DKS,2023-10-29,2024-02-03,2617281000.0,-3776.7402597402597,-427.75324675324674,0.7189271148973899,1.7766529791882995,2.5758584559580537,104.42,100.98,101.02,151.5,150.03,155.96
"dick's sporting goods, inc.",DKS,2023-07-30,2023-10-28,2384704000.0,29.16284302695299,2.4593503888861714,0.7430919793163911,1.6538458965261855,-0.0363483646194012,135.31,134.1,135.27,104.42,100.98,101.02
"dick's sporting goods, inc.",DKS,2023-04-30,2023-07-29,12001725000.0,142.6365548715267,2.903793587031447,-0.2825967868728843,1.8093028768816568,-0.02493792876392951,144.07,143.12,145.01,135.31,134.1,135.27
"dick's sporting goods, inc.",DKS,2023-01-29,2023-04-29,11781982000.0,141.83026567634914,3.6673327635396227,-0.2936127798861022,1.95749924262075,-0.01382935558855375,126.1,125.47,126.23,144.07,143.12,145.01
"dick's sporting goods, inc.",DKS,2022-10-30,2023-01-28,2524623000.0,2204.910917030568,205.7825327510917,0.7192428857200177,1.8789655363009503,-2.371707104212187,110.48,108.76,116.23,126.1,125.47,126.23
"dick's sporting goods, inc.",DKS,2022-07-31,2022-10-29,2377172000.0,30.55923073956472,2.936867680520382,0.7345899113502892,1.8052959129367554,-0.037084034521886904,93.32,92.04,93.59,110.48,108.76,116.23
"dick's sporting goods, inc.",DKS,2022-05-01,2022-07-30,11238784000.0,148.6415024467663,4.212432217960587,-0.2397620590660515,1.8248606823053317,-0.05528263245178361,99.8,96.24,96.42,93.32,92.04,93.59
"dick's sporting goods, inc.",DKS,2022-01-30,2022-04-30,11414406000.0,149.83271419382785,3.420262270119846,-0.23803184450855766,1.8754787556473989,-0.03071585006441602,111.65,108.91,113.19,99.8,96.24,96.42
"dick's sporting goods, inc.",DKS,2021-10-31,2022-01-29,2101586000.0,-1940.5226223453371,-319.56879039704523,0.7675667652767031,1.882513234144831,-5.766181245169118,122.28,121.88,124.21,111.65,108.91,113.19
"dick's sporting goods, inc.",DKS,2021-08-01,2021-10-30,2530817000.0,30.29576115972563,3.7888959383267293,0.6836193611949277,1.5163819537668526,-0.08946056515580965,103.88,103.38,104.14,122.28,121.88,124.21
"dick's sporting goods, inc.",DKS,2021-05-02,2021-07-31,11391539000.0,134.79197037107156,5.863179193487316,-0.35837302967125373,1.721235973612786,-0.014572286288953313,82.58,80.42,82.58,103.88,103.38,104.14
"dick's sporting goods, inc.",DKS,2021-01-31,2021-05-01,10665304000.0,125.84429498525074,4.268507374631269,-0.32215932898452626,1.5618580945163132,-0.030064036345374738,68.02,66.71,67.01,82.58,80.42,82.58
"dick's sporting goods, inc.",DKS,2020-11-01,2021-01-30,2339534000.0,14352.969325153374,1347.3251533742332,0.6982359668865382,1.4742580772159652,3.316158330240377,56.2,55.64,56.65,68.02,66.71,67.01
"dick's sporting goods, inc.",DKS,2020-08-02,2020-10-31,2121639000.0,25.13135201724669,2.099168463196797,0.7195635708989108,1.3970124187673283,0.005184499817206374,46.41,45.15,45.62,56.2,55.64,56.65
"dick's sporting goods, inc.",DKS,2020-05-03,2020-08-01,9082865000.0,107.96226078687745,3.290657316058481,-0.26987450243402056,1.3546829980331763,-0.6137325769965716,28.66,26.81,27.21,46.41,45.15,45.62
"dick's sporting goods, inc.",DKS,2020-02-02,2020-05-02,9624575000.0,114.94225762533738,-1.7128287195165643,-0.2102501713286933,2.035211289997774,0.4449301187328466,45.34,44.115,44.23,28.66,26.81,27.21
dicks sporting goods inc,DKS,2019-11-03,2020-02-01,1731598000.0,20.615489017203405,0.8312280492886481,0.738767092701884,1.160629027861654,-0.1912093399967873,39.14,38.23,38.65,45.34,44.115,44.23
"dick's sporting goods, inc.",DKS,2019-08-04,2019-11-02,1708902000.0,20.09338256043646,0.6770764744614806,0.7628829974861936,1.3820392045713847,0.05637343195567948,34.76,33.395,33.79,39.14,38.23,38.65
"dick's sporting goods, inc.",DKS,2019-05-05,2019-08-03,8680301000.0,98.55019300635786,1.2776339691189826,-0.2552467276867024,1.2807876426138898,-0.03318721836859465,36.1,35.92,36.47,34.76,33.395,33.79
dicks sporting goods inc,DKS,2019-02-03,2019-05-04,8738029000.0,94.07160313068567,0.6193008709507251,-0.2641835337241323,1.3149292762484182,,,,,36.1,35.92,36.47
dicks sporting goods inc,DKS,2018-11-04,2019-02-02,1904161000.0,20.215525569840647,1.0887751743760152,0.5452368664215197,1.4105695784836096,,,,,,,
dicks sporting goods inc,DKS,2018-08-05,2018-11-03,1847042000.0,19.105288744996226,0.3912719674793384,0.5970463536687582,1.6056621244323817,,,,,,,
dicks sporting goods inc,DKS,2018-05-06,2018-08-04,1931226000.0,19.563454759106932,1.2094999797398598,0.5450755896482534,1.5301321854268393,,,,,,,
dicks sporting goods inc,DKS,2018-02-04,2018-05-05,1898210000.0,18.72297403929614,0.5926477550698335,0.5605399250916907,1.6483621638712282,,,,,,,
