company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
physicians realty trust,DOC,2023-10-01,2023-12-31,2889526000.0,31453.70430844926,73.96642936450918,0.43953870930388406,2.2751124732193486,-50.88133483424066,12.24,12.09,12.19,13.5,13.31,13.31
physicians realty trust,DOC,2023-07-01,2023-09-30,2950741000.0,12.373101729464034,0.05172335011203588,0.4339070156223531,2.304641234172486,-0.027837158411924575,14.14,13.825,13.99,12.24,12.09,12.19
physicians realty trust,DOC,2023-04-01,2023-06-30,2985974000.0,12.525076955544058,0.05261752625118125,0.4344251334112947,-1.7699589554853246,0.05265536243976071,14.9,14.71,14.93,13.59,13.54,14.02
physicians realty trust,DOC,2023-01-01,2023-03-31,3021651000.0,12.723595917558132,0.04295867575405898,0.40297346442036,-1.6767392489807709,-0.013525107563015911,14.42,14.26,14.47,14.75,14.69,14.79
physicians realty trust,DOC,2022-10-01,2022-12-31,2997109000.0,3506.957494459513,13.368545946844087,0.41197148763841074,2.4273524503659454,-4.218106701796027,14.99,14.84,15.04,14.42,14.26,14.47
physicians realty trust,DOC,2022-07-01,2022-09-30,2968670000.0,13.105030537784337,0.27792463042299287,0.4227156034235662,2.3656567013401393,-0.016661010512489628,17.56,17.33,17.45,15.06,14.655,14.85
physicians realty trust,DOC,2022-04-01,2022-06-30,2946953000.0,13.061734745267179,0.07486572116430358,0.42513519877042905,-1.7429556262679873,-0.006908173817609079,17.9,17.53,17.54,17.47,17.38,17.65
physicians realty trust,DOC,2022-01-01,2022-03-31,2959773000.0,13.150501689240405,0.058168774468695866,0.42147221983865263,-1.7322330788728255,-0.01742852124481237,18.83,18.83,18.9,17.9,17.62,17.77
physicians realty trust,DOC,2021-10-01,2021-12-31,2994114000.0,1971.2345027957676,17.969547759139328,0.42228784213043796,2.368053020316687,15.1329621798125,18.14,17.6,17.62,18.83,18.83,18.9
physicians realty trust,DOC,2021-07-01,2021-09-30,2764950000.0,12.71787183591163,0.0982674601357768,0.3729525623798752,2.6813061522324073,0.006923018343182765,18.59,18.46,18.47,17.81,17.8,18.11
