company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
entravision communications corp,EVC,2023-10-01,2023-12-31,266286000.0,2712.5539890799446,-185.47795615679243,0.6924912176971775,1.4183081972997909,-24.64388795138868,3.69,3.595,3.65,4.28,4.17,4.17
entravision communications corp,EVC,2023-07-01,2023-09-30,286017000.0,3.2503569185479537,0.030899283824149915,0.6735468848978753,1.503664962335584,-0.023267391334212063,4.47,4.35,4.39,3.69,3.595,3.65
entravision communications corp,EVC,2023-04-01,2023-06-30,281207000.0,3.203259333201895,-0.02265691399481012,0.6749638215535695,1.4999118137506413,-0.07823366935231733,5.93,5.89,6.05,4.42,4.37,4.41
entravision communications corp,EVC,2023-01-01,2023-03-31,286564000.0,3.2703867610894735,0.02329273523325894,0.6737224789731784,1.6388610656438571,-0.012944523580182807,4.73,4.7,4.8,5.98,5.87,5.88
entravision communications corp,EVC,2022-10-01,2022-12-31,285369000.0,-3634.7182596291013,20.73568371713878,0.676026660884314,1.6432539346844397,22.040385961492458,4.14,3.97,3.97,4.73,4.7,4.8
entravision communications corp,EVC,2022-07-01,2022-09-30,278470000.0,3.278205169543669,0.11057629603736016,0.6822776245725689,1.6000954426151277,-0.06454485885688539,4.54,4.485,4.56,4.11,3.96,4.15
entravision communications corp,EVC,2022-04-01,2022-06-30,255293000.0,3.004891881543514,0.0996596834266076,0.6961531915501373,1.6893811372459466,-0.06701646845706247,6.31,6.28,6.41,4.69,4.53,4.6
entravision communications corp,EVC,2022-01-01,2022-03-31,251755000.0,2.9097096707166323,0.021809386699935592,0.7078082981955852,1.8093828003328143,-0.04240328539223908,6.77,6.76,6.83,6.46,6.27,6.28
entravision communications corp,EVC,2021-10-01,2021-12-31,256926000.0,2744.6133467220734,41.3199303500657,0.6982105898687014,1.8165719419021444,-10.654432287418551,7.23,7.1,7.1,6.77,6.76,6.83
entravision communications corp,EVC,2021-07-01,2021-09-30,253270000.0,2.966026610998226,0.14206526164969985,0.6942671622386689,1.9770628102876135,-0.004694749965721151,6.77,6.52,6.68,7.32,7.08,7.23
entravision communications corp,EVC,2021-04-01,2021-06-30,324432000.0,3.8084155851571055,0.09231327415814555,0.5830019356878633,2.3304725820961187,-0.011271564424659902,3.92,3.88,4.04,6.51,6.51,6.61
entravision communications corp,EVC,2021-01-01,2021-03-31,315541000.0,3.7104299085149215,0.06383932348990308,0.5804913264058029,2.396118002061107,-0.012029986601268626,2.82,2.73,2.75,3.74,3.7277,3.93
entravision communications corp,EVC,2020-10-01,2020-12-31,309265000.0,13875.852476669059,912.0603015075377,0.5861817500618858,2.260954214337278,-126.69782212861848,1.51,1.48,1.52,2.8,2.79,2.84
