company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"evi industries, inc.",EVI,2023-10-01,2023-12-31,131580000.0,10394.185954656767,92.34536693261711,0.46732195485312694,1.6196316467800274,-25.32369042870798,24.45,24.45,24.82,23.215,23.2,23.73
"evi industries, inc.",EVI,2023-07-01,2023-09-30,134009000.0,10.651697003417853,0.08973849455528178,0.4628617923980007,1.7233967333663296,-0.005021308077503928,20.8,20.21,22.0,24.45,24.45,24.82
"evi industries, inc.",EVI,2023-04-01,2023-06-30,130956000.0,10.442683299768628,0.13261081834750016,0.4841144468912376,1.641677022696056,-0.015681782409549455,20.04,19.8,19.8,20.305,19.85,21.02
"evi industries, inc.",EVI,2023-01-01,2023-03-31,128204000.0,10199.204455051711,191.96499602227527,0.5058566874930139,1.6306880389720626,6.699144228330029,23.05,22.4,23.87,20.5,19.8,19.94
"evi industries, inc.",EVI,2022-10-01,2022-12-31,124728000.0,,,0.49448188932976134,1.6058890749156236,,17.6085,17.1737,18.14,23.05,22.4,23.87
"evi industries, inc.",EVI,2022-07-01,2022-09-30,121206000.0,,,0.49716651593471783,1.5656123320543933,,9.35,9.35,9.99,17.98,16.995,17.34
"evi industries, inc.",EVI,2022-04-01,2022-06-30,117679000.0,,,0.49005494695971713,1.4110385185778989,,18.9,18.59,18.59,9.57,9.45,9.45
"evi industries, inc.",EVI,2022-01-01,2022-03-31,114968000.0,,,0.43967521359190176,1.576368927215302,,33.25,32.4,33.25,19.0,18.6,18.62
"evi industries, inc.",EVI,2021-10-01,2021-12-31,110524000.0,,,0.40832026210271044,1.4616562039835697,,28.0,26.75,27.2,33.25,32.4,33.25
"evi industries, inc.",EVI,2021-07-01,2021-09-30,109238000.0,,,0.40493103523413154,1.5990313364878135,,29.0,28.11,28.4,26.8,26.49,26.91
"evi industries, inc.",EVI,2021-04-01,2021-06-30,106740000.0,,,0.39983131852684844,1.318648659577049,,28.16,28.0,28.77,29.79,28.2,29.2
"evi industries, inc.",EVI,2021-01-01,2021-03-31,99533000.0,,,0.4594534415154181,1.2983914989628444,,30.92,29.49,29.92,26.9001,25.46,26.94
"evi industries, inc.",EVI,2020-10-01,2020-12-31,98195000.0,,,0.4547539326903322,1.3056378665003119,,25.4,25.0,26.61,33.56,30.895,30.9
"evi industries, inc.",EVI,2020-07-01,2020-09-30,88922000.0,,,0.45791498259539004,1.3341412248721969,,24.02,21.55,21.71,25.82,25.56,26.11
"evi industries, inc.",EVI,2020-04-01,2020-06-30,87826000.0,,,0.4535397404148882,1.5220943098618076,,14.99,14.99,15.78,22.39,22.39,23.99
"evi industries, inc.",EVI,2020-01-01,2020-03-31,87428000.0,,,0.44820883088031105,1.7739979887947135,,27.8847,26.61,27.04,15.73,14.74,15.08
"evi industries, inc.",EVI,2019-10-01,2019-12-31,84271000.0,,,0.46798946976344846,1.9389607647999034,,30.53,30.53,31.92,27.5,26.86,27.65
"evi industries, inc.",EVI,2019-07-01,2019-09-30,83829000.0,,,0.4725347327091513,2.2691055487484686,,38.0,36.1,38.27,31.68,30.31,31.12
"envirostar, inc.",EVI,2019-04-01,2019-06-30,81502000.0,,,0.47242774379389585,2.209820265694191,,,,,38.0,36.1,38.27
"evi industries, inc.",EVI,2019-01-01,2019-03-31,80180000.0,,,0.48346614957449413,2.12574407056719,,,,,,,
"evi industries, inc.",EVI,2018-10-01,2018-12-31,72613000.0,,,0.49762695447626953,2.0357260306735627,,,,,,,
"envirostar, inc.",EVI,2018-07-01,2018-09-30,68623000.0,,,0.4333360858794385,1.608124290936594,,,,,,,
"envirostar, inc.",EVI,2018-04-01,2018-06-30,57031000.0,,,0.4026541257305654,1.2513416815742398,,,,,,,
"envirostar, inc.",EVI,2018-01-01,2018-03-31,56267000.0,,,0.4514229445543975,1.7224907137436594,,,,,,,
"envirostar, inc.",EVI,2017-10-01,2017-12-31,42391000.0,,,0.45614215151709536,1.289329018675192,,,,,,,
"envirostar, inc.",EVI,2017-07-01,2017-09-30,33144000.0,,,0.40383127979134814,1.224712957900492,,,,,,,
"envirostar, inc.",EVI,2017-04-01,2017-06-30,32224000.0,,,0.4360024503369213,1.1237016052880076,,,,,,,
"envirostar, inc.",EVI,2017-01-01,2017-03-31,28878000.0,,,0.44744848171746743,1.1769459360825818,,,,,,,
"envirostar, inc.",EVI,2016-10-01,2016-12-31,27829000.0,,,0.5197093645369507,1.0906103830840002,,,,,,,
"envirostar, inc.",EVI,2016-07-01,2016-09-30,5440784.0,,,0.44165814308917023,2.2259327029535836,,,,,,,
"envirostar, inc.",EVI,2016-04-01,2016-06-30,5088840.0,,,0.4991672372442329,1.9689334427199814,,,,,,,
"envirostar, inc.",EVI,2016-01-01,2016-03-31,4658758.0,,,0.5590626049102666,1.7574174864677587,,,,,,,
"envirostar, inc.",EVI,2015-10-01,2015-12-31,3885005.0,,,0.5971884098242355,1.6406167666282099,,,,,,,
"envirostar, inc.",EVI,2015-07-01,2015-09-30,4912579.0,,,0.6044098114774309,1.623986064064004,,,,,,,
"envirostar, inc.",EVI,2015-04-01,2015-06-30,4755546.0,,,0.4877019493746049,1.9961113052451986,,,,,,,
"envirostar, inc.",EVI,2015-01-01,2015-03-31,4464063.0,,,0.5147320340061077,1.8871094386865093,,,,,,,
"envirostar, inc.",EVI,2014-10-01,2014-12-31,4032102.0,,,0.5361709626900851,1.805298289456972,,,,,,,
"envirostar, inc.",EVI,2014-07-01,2014-09-30,4954436.0,,,0.517372430324463,1.8783309179567138,,,,,,,
"envirostar, inc.",EVI,2014-04-01,2014-06-30,4490475.0,,,0.67502918457526,1.455311177180183,,,,,,,
"envirostar, inc.",EVI,2014-01-01,2014-03-31,4087926.0,,,0.5557477157759798,1.7541460642650226,,,,,,,
"envirostar, inc.",EVI,2013-10-01,2013-12-31,3773248.0,,,0.6431573271072336,1.5195439198180667,,,,,,,
"envirostar, inc.",EVI,2013-07-01,2013-09-30,6109436.0,,,0.5282547079082698,1.8562437137064989,,,,,,,
"envirostar, inc.",EVI,2013-04-01,2013-06-30,5683665.0,,,0.4857496111679619,2.0096731682829905,,,,,,,
"envirostar, inc.",EVI,2013-01-01,2013-03-31,4603308.0,,,0.655071639966542,1.4919034107969393,,,,,,,
"envirostar, inc.",EVI,2012-10-01,2012-12-31,4353421.0,,,0.5754793557427613,1.6839167200006642,,,,,,,
"envirostar, inc.",EVI,2012-07-01,2012-09-30,8448504.0,,,0.4878579006845491,2.007844031898003,,,,,,,
"envirostar, inc.",EVI,2012-04-01,2012-06-30,8296665.0,,,0.23691966142035797,4.0977859663997345,,,,,,,
"envirostar, inc.",EVI,2012-01-01,2012-03-31,8107555.0,,,0.32994477360882146,2.9494704273953003,,,,,,,
"envirostar, inc.",EVI,2011-10-01,2011-12-31,8033871.0,,,0.24554213326058466,3.9570269831993707,,,,,,,
"envirostar, inc.",EVI,2011-07-01,2011-09-30,8370161.0,,,0.29374866525706,3.315156783015432,,,,,,,
