company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"expedia group, inc.",EXPE,2023-10-01,2023-12-31,2786000000.0,-1218.7226596675416,-57.74278215223097,0.8712688291285463,0.7833319188661632,2.0975429204972147,103.65,102.58,103.07,154.06,151.35,151.79
"expedia group, inc.",EXPE,2023-07-01,2023-09-30,2926000000.0,20.57260173805439,2.9881598560058498,0.8700825859159933,0.8036624203821656,-0.03750794506720387,108.91,108.39,109.39,103.65,102.58,103.07
"expedia group, inc.",EXPE,2023-04-01,2023-06-30,28892000000.0,196.31985214176996,2.6160578386605784,-0.1252531546969933,0.8304491541901614,-0.040699681463697845,97.0,96.33,97.03,108.26,106.64,107.84
"expedia group, inc.",EXPE,2023-01-01,2023-03-31,28276000000.0,185.44436210051353,-0.9509630960735062,-0.131673737292884,0.8298658636736929,-0.033411121713454804,85.78,85.78,87.6,96.1,95.67,96.13
"expedia group, inc.",EXPE,2022-10-01,2022-12-31,3728000000.0,-8710.280373831776,-413.5514018691589,0.827095218218079,0.8156429764334756,9.48494021734778,93.36,92.72,93.69,85.78,85.78,87.6
"expedia group, inc.",EXPE,2022-07-01,2022-09-30,3713000000.0,23.555459689902808,3.0578323648082826,0.8302938891174185,0.8337080672722367,-0.037400741749205345,94.65,90.37,94.83,93.95,92.73,94.21
"expedia group, inc.",EXPE,2022-04-01,2022-06-30,28125000000.0,178.80984169368682,-1.1761714031406956,-0.136639185257032,0.8517742285177423,-0.033670895570029766,193.35,192.49,195.67,97.98,94.09,95.98
"expedia group, inc.",EXPE,2022-01-01,2022-03-31,28144000000.0,180.02251560740967,-0.7803704840855593,-0.14513569597591244,0.893977063116529,-0.023434082043701013,180.97,180.16,181.47,193.5,190.82,192.17
"expedia group, inc.",EXPE,2021-10-01,2021-12-31,3552000000.0,2772.8337236533957,215.45667447306792,0.8351587154260256,0.8657142857142858,-2.918894846343885,166.35,163.66,163.9,180.97,180.16,181.47
"expedia group, inc.",EXPE,2021-07-01,2021-09-30,3091000000.0,20.467623279190036,2.397049377892848,0.8591414509660955,0.9273920623525792,0.0011191577517202622,159.75,159.14,163.71,169.05,166.075,166.27
"expedia group, inc.",EXPE,2021-04-01,2021-06-30,26763000000.0,179.50540937535632,-2.0188741255458003,-0.10677804888135313,0.948774865534022,-0.02232829716907202,176.63,171.92,172.12,163.76,159.54,159.9
"expedia group, inc.",EXPE,2021-01-01,2021-03-31,24554000000.0,169.12681411479463,-4.174099916655761,-0.12293057715174244,1.0070663323455664,0.010948983938748285,132.11,130.28,132.4,177.0,173.41,175.87
"expedia group, inc.",EXPE,2020-10-01,2020-12-31,3004000000.0,8682.08092485549,-1190.7514450867052,0.8392723381487427,1.042175360710322,-15.468533745827568,92.3,90.42,91.69,132.0,130.88,132.12
"expedia group, inc.",EXPE,2020-07-01,2020-09-30,3112000000.0,22.023127114206048,-1.5639817134445813,0.8418618832257737,1.1949964513839602,-0.06485330527040598,83.15,80.851,82.2,94.04,91.06,91.78
"expedia group, inc.",EXPE,2020-04-01,2020-06-30,25108000000.0,177.98003856186912,-5.337699897924464,-0.1462223236703949,1.136178861788618,0.48020623136142937,56.33,55.26,56.27,78.01,75.75,82.67
"expedia group, inc.",EXPE,2020-01-01,2020-03-31,24158000000.0,171.548681678419,-9.238547680421522,-0.18322966155654602,0.7964196502914238,0.10009652511805243,107.62,107.3023,108.14,60.01,54.125,56.39
"expedia group, inc.",EXPE,2019-10-01,2019-12-31,5536000000.0,-6452.214452214453,-88.57808857808858,0.7415016809861785,0.7219525854022774,3.798253647378572,132.56,132.56,134.41,108.2,107.61,107.77
"expedia group, inc.",EXPE,2019-07-01,2019-09-30,5739000000.0,38.97929797870028,2.77792871114975,0.7315841167391609,0.7530712530712531,0.029847511283880294,130.39,130.3402,133.03,133.46,131.01,132.17
"expedia group, inc.",EXPE,2019-04-01,2019-06-30,28108000000.0,188.58227831115943,1.227784151520641,-0.2660690959866673,0.7557382665296334,,,,,130.39,130.3402,133.03
"expedia group, inc.",EXPE,2019-01-01,2019-03-31,26597000000.0,179.85285565518453,-0.6965012645217132,-0.2687592424748366,0.7180682453850457,,,,,,,
"expedia group, inc.",EXPE,2018-10-01,2018-12-31,5651000000.0,-11556.237218813905,-34.76482617586912,0.686630067099207,0.644789081885856,,,,,,,
"expedia group, inc.",EXPE,2018-07-01,2018-09-30,5927000000.0,39.65025889404745,3.5121285505947206,0.6903505563972624,0.7043250028529042,,,,,,,
"expedia group, inc.",EXPE,2018-04-01,2018-06-30,5552000000.0,36.994589408033264,0.006663290599429622,0.7298822613603192,0.7424978565304373,,,,,,,
"expedia group, inc.",EXPE,2018-01-01,2018-03-31,5808000000.0,38.25658523090299,-0.9024022342688895,0.7156982720642224,0.7437693924532078,,,,,,,
"expedia, inc.",EXPE,2017-10-01,2017-12-31,6128568000.0,28772.61971830986,258.962441314554,0.6690056637560443,0.7031104155640088,,,,,,,
"expedia, inc.",EXPE,2017-07-01,2017-09-30,6215310000.0,40.86653779390879,2.316014412708432,0.6734838850401192,0.7233317006255382,,,,,,,
"expedia, inc.",EXPE,2017-04-01,2017-06-30,5822116000.0,38.4090195405787,0.3739823989655764,0.6873737599370421,0.6891828717061304,,,,,,,
"expedia, inc.",EXPE,2017-01-01,2017-03-31,5659058000.0,37.59397067713627,-0.5721213570626649,0.6797165597009798,0.6644261893809532,,,,,,,
"expedia, inc.",EXPE,2016-10-01,2016-12-31,5693103000.0,66198.87209302325,923.9186046511628,0.6391642274406932,0.5631042117457278,,,,,,,
"expedia, inc.",EXPE,2016-07-01,2016-09-30,3952628000.0,26.30893443113972,1.8592442707951997,0.7549785931682867,0.5469186356908246,,,,,,,
"expedia, inc.",EXPE,2016-04-01,2016-06-30,4266922000.0,28.531360329517494,0.2116253878249706,0.7449316264382156,0.5591666437260256,,,,,,,
"expedia, inc.",EXPE,2016-01-01,2016-03-31,4697209000.0,31.096635595688902,-0.7188848873235707,0.7134108364809759,0.545581176091843,,,,,,,
"expedia, inc.",EXPE,2015-10-01,2015-12-31,4929767000.0,3687.1854899027676,-9.37771129394166,0.6820287165504845,0.5026581935218883,,,,,,,
"expedia, inc.",EXPE,2015-07-01,2015-09-30,2506198000.0,19.28007754502304,2.1787689727592334,0.7979405919711676,0.5341425014214191,,,,,,,
"expedia, inc.",EXPE,2015-04-01,2015-06-30,2174909000.0,16.87454126482888,3.4886683684157442,0.8161830119627185,0.8361597445673993,,,,,,,
"expedia, inc.",EXPE,2015-01-01,2015-03-31,1828996000.0,14.337982016728988,0.34604861911369283,0.8195382220657581,0.6476231312872156,,,,,,,
"expedia, inc.",EXPE,2014-10-01,2014-12-31,1893729000.0,-4574.224637681159,-159.34541062801932,0.7900647389324229,0.6985330631070686,,,,,,,
"expedia, inc.",EXPE,2014-07-01,2014-09-30,2001879000.0,15.65056171869503,2.0096707867188903,0.7875987746615699,0.8447964608901455,,,,,,,
"expedia, inc.",EXPE,2014-04-01,2014-06-30,1990875000.0,15.369042288749247,0.6899365437169016,0.7844166903361177,0.7494971568856107,,,,,,,
"expedia, inc.",EXPE,2014-01-01,2014-03-31,2105934000.0,16.130132736923535,-0.1095596626812399,0.7630687807234099,0.7450582176117125,,,,,,,
