company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"diamondback energy, inc.",FANG,2023-10-01,2023-12-31,17430000000.0,-43466.33416458853,-2381.5461346633415,0.39898624185372916,0.7689753320683111,6.420693339759311,157.3,154.09,154.88,156.0,154.7253,155.08
"diamondback energy, inc.",FANG,2023-07-01,2023-09-30,16984000000.0,94.95057918511561,5.07066505657677,0.39448821704873616,0.8949089210649229,-0.024069410033154333,131.0,129.81,131.36,157.3,154.09,154.88
"diamondback energy, inc.",FANG,2023-04-01,2023-06-30,16212000000.0,89.88041447445016,3.0547809261918357,0.4123318954580056,0.4324069712670749,-0.03944034495917323,133.54,133.45,135.17,129.0,128.743,130.01
"diamondback energy, inc.",FANG,2023-01-01,2023-03-31,16123000000.0,88.59375343429237,3.8848715299909884,0.4156004204574287,0.6150583244962884,-0.010417387303958308,135.56,135.0,136.78,134.37,132.4,133.3
"diamondback energy, inc.",FANG,2022-10-01,2022-12-31,15690000000.0,42405.40540540541,2700.0,0.4013506810637567,0.8111888111888111,1.5183723048891589,119.26,117.985,120.46,135.56,135.0,136.78
"diamondback energy, inc.",FANG,2022-07-01,2022-09-30,14558000000.0,83.4718989025607,6.719952295219201,0.38942247200436186,0.6144219308700835,-0.059150462646690105,119.23,118.5701,121.15,118.48,115.95,120.91
"diamondback energy, inc.",FANG,2022-04-01,2022-06-30,14390000000.0,81.49742311831002,7.9458571671291836,0.38630160354827703,0.7323170731707317,,137.64,137.08,137.08,131.18,122.08,122.31
"diamondback energy, inc.",FANG,2022-01-01,2022-03-30,,,1625.5060728744938,,,,108.71,107.17,107.31,135.83,133.3,138.73
"diamondback energy, inc.",FANG,2021-10-01,2021-12-31,13245000000.0,11234.09669211196,849.8727735368957,0.4215652022010656,1.0055632823365785,-7.277817872341483,95.565,94.49,94.67,108.71,107.17,107.31
"diamondback energy, inc.",FANG,2021-07-01,2021-09-30,12422000000.0,68.61959818148674,3.585100565109072,0.4513008525111533,0.7334669338677354,-0.03714978945894285,93.53,92.605,93.89,94.31,94.06,96.05
