company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
first bancorp /nc/,FBNC,2023-10-01,2023-12-31,1372380000.0,24942.840006542956,536.6678177423165,0.8867200519820896,1.127751648070544,9.637451616147954,28.22,27.92,28.14,37.59,36.9,37.01
first bancorp /nc/,FBNC,2023-07-01,2023-09-30,1257683000.0,30.867899655120127,0.7276155861021348,0.8950002337626775,1.1173181439248259,-0.018115754628397204,30.99,29.75,29.75,28.22,27.92,28.14
first bancorp /nc/,FBNC,2023-04-01,2023-06-30,1297642000.0,31.865996231997375,0.7171090500822164,0.8921597094921814,-9.272972052384247,-0.23360390637742312,35.6,35.19,35.52,30.0,29.995,30.69
first bancorp /nc/,FBNC,2023-01-01,2023-03-31,1299961000.0,32.03182718695175,0.37089040580294164,0.8948519507449113,-9.510399927382437,0.21351253726347252,43.17,42.57,42.84,36.34,35.12,35.27
first bancorp /nc/,FBNC,2022-10-01,2022-12-31,1031596000.0,90641.94710482383,3358.8436868464987,0.9029090595252784,1.1075312507394366,122.8225373731041,36.63,36.45,36.58,43.17,42.57,42.84
first bancorp /nc/,FBNC,2022-07-01,2022-09-30,984497000.0,27.756547188910112,1.0628999672136241,0.9063798098529631,1.1032902422685522,0.01706076258331057,34.32,34.14,34.9,37.46,36.34,36.56
first bancorp /nc/,FBNC,2022-04-01,2022-06-30,1062343000.0,29.946527470986055,1.0264508777306531,0.8994585099773192,-9.946142630016858,-0.022405224038339795,42.26,41.61,41.77,34.88,34.445,34.71
first bancorp /nc/,FBNC,2022-01-01,2022-03-31,1117490000.0,31.53745643382427,0.9530746952784181,0.895091653633194,-9.532130041432138,0.15598791488631597,45.86,45.45,45.59,43.53,41.93,42.37
first bancorp /nc/,FBNC,2021-10-01,2021-12-31,1230575000.0,810.7847232562767,6.921393265593066,0.8829016468991382,1.132628989324152,1.3382584268540574,43.56,42.83,43.01,45.86,45.45,45.59
first bancorp /nc/,FBNC,2021-07-01,2021-09-30,929750000.0,32.75392384785805,0.9694245511646763,0.8904806318869984,1.1229890512957272,0.22209000863828285,40.45,40.0,40.91,42.75,42.47,43.35
first bancorp /nc/,FBNC,2021-04-01,2021-06-30,904510000.0,31.9259977319909,1.0279034017877513,0.889701730925927,-9.066325413759936,0.3484738277858792,43.74,43.01,43.5,41.88,40.75,40.76
first bancorp /nc/,FBNC,2021-01-01,2021-03-31,876853000.0,30.921041890083963,0.9879465652653208,0.8866586939600025,-8.8229087429706,0.47028237540417095,33.75,33.44,33.83,43.89,43.89,44.11
first bancorp /nc/,FBNC,2020-10-01,2020-12-31,893421000.0,-7280.751365006927,-191.74476407790726,0.877441492857575,1.1396771273527164,-79.40931987176737,21.03,20.76,20.93,33.3,33.02,33.6
first bancorp /nc/,FBNC,2020-07-01,2020-09-30,880818000.0,30.52342973626154,0.8050008886890999,0.8753136206044279,1.1424476627125635,0.22383006486391221,24.15,23.83,25.08,21.11,20.3149,20.96
first bancorp /nc/,FBNC,2020-04-01,2020-06-30,867891000.0,30.135284141280287,0.5644478154522312,0.874010447703777,-7.937166072698069,0.7640170128293321,22.2,21.99,23.08,23.01,22.63,24.34
