company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"forrester research, inc.",FORR,2023-10-01,2023-12-31,240265000.0,12645.526315789473,-34.89473684210526,0.5741296124954358,0.8997150902214299,-0.1015916017609211,29.53,28.85,28.9,27.57,26.76,26.81
"forrester research, inc.",FORR,2023-07-01,2023-09-30,232890000.0,12.135375957480068,0.1294356729717055,0.5655491217335502,0.8573621338873328,-0.00531700984751655,29.43,29.06,29.09,29.53,28.85,28.9
"forrester research, inc.",FORR,2023-04-01,2023-06-30,231645000.0,12.069243995206586,0.2763507528786537,0.5940852395588374,0.8632277880663083,-0.0016190903969578974,32.18,31.74,32.35,28.68,28.68,29.16
"forrester research, inc.",FORR,2023-01-01,2023-03-31,222746000.0,11.657211639104041,-0.21326146116809713,0.624936014871491,0.8386179239152634,-0.021176051796453158,35.19,34.66,35.76,32.41,31.62,31.83
"forrester research, inc.",FORR,2022-10-01,2022-12-31,221656000.0,7916.285714285715,-58.214285714285715,0.6356966527402956,0.8734209637364555,-0.08178082738261458,35.81,35.72,36.01,35.19,34.66,35.76
"forrester research, inc.",FORR,2022-07-01,2022-09-30,213889000.0,11.282255512184829,0.28557864753665996,0.6345277151254186,0.8268130195811781,-0.0005666596752142945,46.45,46.18,47.84,35.24,34.62,35.56
"forrester research, inc.",FORR,2022-04-01,2022-06-30,210099000.0,11.133432250543162,0.7352021620475863,0.6583367212528255,0.8033027721628646,-0.014584580773854125,56.51,56.23,56.42,47.01,46.35,46.81
"forrester research, inc.",FORR,2022-01-01,2022-03-31,202430000.0,10.660943753949864,0.218453760269644,0.6894778663050581,0.8163141044526938,-0.019802224057048522,60.47,59.34,59.35,56.19,56.19,56.69
"forrester research, inc.",FORR,2021-10-01,2021-12-31,203907000.0,67969.0,2674.3333333333335,0.7001936397359912,0.8628144049997438,-220.05106048703848,50.92,49.05,49.26,60.47,59.34,59.35
"forrester research, inc.",FORR,2021-07-01,2021-09-30,201152000.0,10.512804431901328,0.23633322880735863,0.6928001563855393,0.8601104581230788,-0.01036012691617825,45.78,45.7265,45.8,50.8,50.14,51.0
"forrester research, inc.",FORR,2021-04-01,2021-06-30,201502000.0,10.535501411690891,0.43621248562166687,0.6985533697359563,0.85182570593963,-0.006673985486390948,42.79,41.83,42.48,44.95,44.7379,45.9
"forrester research, inc.",FORR,2021-01-01,2021-03-31,192237000.0,10.085357536330728,0.20754420019935996,0.7103638738683087,0.8315074133641153,-0.001270241298292738,40.93,40.93,41.9,43.23,42.09,42.37
"forrester research, inc.",FORR,2020-10-01,2020-12-31,185766000.0,3870.125,50.541666666666664,0.7116410904383299,0.8050566275556544,-1.3943077230892358,33.32,32.64,32.79,41.65,41.34,41.51
"forrester research, inc.",FORR,2020-07-01,2020-09-30,174708000.0,9.257524374735057,-0.19923696481559983,0.7052709712791532,0.7047610956601057,-0.006457821920398336,31.41,31.34,32.04,34.14,32.81,33.14
"forrester research, inc.",FORR,2020-04-01,2020-06-30,173409000.0,9.244042859427475,0.6310037848499387,0.7053668366298026,0.699557194922267,-0.004422764700102692,28.18,27.73,29.23,30.64,30.42,31.6
"forrester research, inc.",FORR,2020-01-01,2020-03-31,158172000.0,8.456134723336007,-0.027425821972734563,0.7399761301204344,0.6718410612495483,-0.019585097189651905,41.74,41.63,41.7,26.05,26.05,27.5
"forrester research, inc.",FORR,2019-10-01,2019-12-31,158088000.0,3592.909090909091,111.13636363636364,0.7526628700168971,0.7140716391936965,-0.5870692284232998,32.79,32.02,32.14,41.99,41.0427,41.81
"forrester research, inc.",FORR,2019-07-01,2019-09-30,147652000.0,7.961393292354146,-0.1455300334303893,0.7532268928068243,0.606920022688599,-0.011843932798400602,47.31,46.82,47.03,33.65,32.77,32.95
"forrester research, inc.",FORR,2019-04-01,2019-06-30,149686000.0,8.119663683211282,0.08435042039598589,0.7602991336653482,0.6421346691070224,,,,,47.31,46.82,47.03
"forrester research, inc.",FORR,2019-01-01,2019-03-31,143814000.0,7.831726842019278,-0.7251538419648206,0.7754232656337351,0.6585927249275384,,,,,,,
"forrester research, inc.",FORR,2018-10-01,2018-12-31,151600000.0,2485.245901639344,88.11475409836065,0.5711748000135776,1.2426928441719083,,,,,,,
"forrester research, inc.",FORR,2018-07-01,2018-09-30,146830000.0,8.117536488279523,0.21837682441397613,0.5530207553258203,1.2164804387267998,,,,,,,
"forrester research, inc.",FORR,2018-04-01,2018-06-30,140111000.0,7.799109379348733,0.4335096020038965,0.5703987833520369,1.2244558467322704,,,,,,,
"forrester research, inc.",FORR,2018-01-01,2018-03-31,141295000.0,7.834054113994234,-0.09608560656464848,0.5853241219008265,1.213622420670233,,,,,,,
"forrester research, inc.",FORR,2017-10-01,2017-12-31,141189000.0,6417.681818181818,95.13636363636364,0.5909936268829664,1.21412641692258,,,,,,,
"forrester research, inc.",FORR,2017-07-01,2017-09-30,135220000.0,7.619315940722376,0.22274187186566743,0.5698945252363322,1.1645909144265758,,,,,,,
"forrester research, inc.",FORR,2017-04-01,2017-06-30,127374000.0,7.190177815410669,0.34230877787186,0.5945994977609304,1.1186436885763988,,,,,,,
"forrester research, inc.",FORR,2017-01-01,2017-03-31,133251000.0,7.309434997257268,0.1662095447065277,0.5935015649690972,1.1602142056094826,,,,,,,
"forrester research, inc.",FORR,2016-10-01,2016-12-31,150036000.0,1704.9545454545455,65.79545454545455,0.5531783730660988,1.2589787799903085,,,,,,,
"forrester research, inc.",FORR,2016-07-01,2016-09-30,142919000.0,7.912689624626287,0.17229542686302735,0.5384334660685508,1.2238633313307683,,,,,,,
"forrester research, inc.",FORR,2016-04-01,2016-06-30,136699000.0,7.65263393606897,0.41762301964955495,0.5675095072672856,1.1476294435061993,,,,,,,
"forrester research, inc.",FORR,2016-01-01,2016-03-31,130200000.0,7.3302556018466385,0.07257065645760613,0.5968029134241094,1.0977025590712124,,,,,,,
"forrester research, inc.",FORR,2015-10-01,2015-12-31,127302000.0,-2157.6610169491523,-34.23728813559322,0.6009229100507538,1.0837147100897218,,,,,,,
"forrester research, inc.",FORR,2015-07-01,2015-09-30,128992000.0,7.20947909680304,0.24871450927788957,0.5593030406559617,1.1138696246219995,,,,,,,
"forrester research, inc.",FORR,2015-04-01,2015-06-30,131977000.0,7.329205309046482,0.3193202643416449,0.570647329416434,1.1247305742531337,,,,,,,
"forrester research, inc.",FORR,2015-01-01,2015-03-31,133221000.0,7.377395060361059,-0.012404474471148522,0.5850588675014016,1.1289787501120774,,,,,,,
"forrester research, inc.",FORR,2014-10-01,2014-12-31,141602000.0,-818.5086705202312,-20.803468208092486,0.5743942868650194,1.1447354661882145,,,,,,,
"forrester research, inc.",FORR,2014-07-01,2014-09-30,144643000.0,7.909607918193252,0.1664023623338984,0.5347439118141845,1.1748746344167553,,,,,,,
"forrester research, inc.",FORR,2014-04-01,2014-06-30,153921000.0,8.206056405608573,0.22866129978141495,0.545788270011066,1.1886660208558892,,,,,,,
"forrester research, inc.",FORR,2014-01-01,2014-03-31,175311000.0,8.93851017182481,-0.0033651149747616375,0.5317035252257859,1.2801571812859327,,,,,,,
"forrester research, inc.",FORR,2013-10-01,2013-12-31,204662000.0,-560.7178082191781,-5.920547945205479,0.4911462399490803,1.4215146372960223,,,,,,,
"forrester research, inc.",FORR,2013-07-01,2013-09-30,207967000.0,10.337873440373814,0.12472038574340111,0.43614096543646363,1.4597699635918335,,,,,,,
"forrester research, inc.",FORR,2013-04-01,2013-06-30,217723000.0,10.242896123447498,0.2909766654121189,0.4442297383535418,1.4797929536269525,,,,,,,
"forrester research, inc.",FORR,2013-01-01,2013-03-31,298088000.0,13.363579306016318,0.0972384111898144,0.3917837511375183,1.8684809738582127,,,,,,,
forrester research inc,FORR,2012-10-01,2012-12-31,297070000.0,-4069.4520547945203,-58.23287671232877,0.3910403581560865,1.8561013406570377,,,,,,,
forrester research inc,FORR,2012-07-01,2012-09-30,296147000.0,13.222028752567194,0.4631217072952942,0.3627218069058717,1.999040116509996,,,,,,,
forrester research inc,FORR,2012-04-01,2012-06-30,287170000.0,12.716202453172741,0.3440198379311872,0.3875940723490737,1.937160315750394,,,,,,,
forrester research inc,FORR,2012-01-01,2012-03-31,287491000.0,12.643636203711848,0.13989796815902894,0.4091707786242599,1.8608910808880919,,,,,,,
forrester research inc,FORR,2011-10-01,2011-12-31,290735000.0,-48455.833333333336,-1482.8333333333333,0.40371591827358905,1.8819332489136074,,,,,,,
forrester research inc,FORR,2011-07-01,2011-09-30,278367000.0,12.306233421750663,0.2534040671971706,0.37016623337835913,1.8956112207143474,,,,,,,
forrester research inc,FORR,2011-04-01,2011-06-30,278327000.0,12.269749603244577,0.24113912890142833,0.38719329610906594,1.8303714294405744,,,,,,,
forrester research inc,FORR,2011-01-01,2011-03-30,,,207.92857142857142,,,,,,,,,
