company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
fuller h b co,FUL,2023-12-03,2024-03-02,1768245000.0,32.325052100471645,0.5665423567694051,0.6223290907487079,1.9854465175595588,-0.004100463032201324,75.38,74.95,76.89,79.55,78.895,79.53
fuller h b co,FUL,2023-09-03,2023-12-02,1755913000.0,33130.43396226415,848.8679245283018,0.6282660908316264,1.8938830359217738,-15.794166216568936,73.01,72.62,73.01,75.38,74.95,76.89
fuller h b co,FUL,2023-06-04,2023-09-02,1727126000.0,31.752141780343422,0.6917490899731588,0.6293647857425512,2.0075993052433425,0.0008444961517319905,64.83,64.81,67.1,73.01,72.62,73.01
fuller h b co,FUL,2023-03-05,2023-06-03,1683157000.0,31.01507306196908,0.7444581621183365,0.6355262300275419,1.9943828386034574,-0.0025400249042514525,71.82,70.9757,72.21,64.83,64.81,67.1
fuller h b co,FUL,2022-12-04,2023-03-04,1634127000.0,30.164414663860892,0.4040499132425149,0.6397217562926942,2.0848337002624477,0.024108907397775478,79.0,79.0,80.33,71.82,70.9757,72.21
fuller h b co,FUL,2022-08-28,2022-12-03,1610794000.0,19643.829268292684,589.0975609756098,0.6391290584410129,1.5646292197060117,-24.45199792423456,70.5,67.19,67.28,79.0,79.0,80.33
fuller h b co,FUL,2022-05-29,2022-08-27,1578685000.0,29.428920289314743,0.866769815822832,0.6546784762923049,1.9269641207988706,-0.004364606581150581,70.69,70.65,71.13,70.5,67.19,67.28
fuller h b co,FUL,2022-02-27,2022-05-28,1614754000.0,30.18401031833561,0.8823485429089482,0.6505223809046637,1.9515778072336882,0.008295845710527439,68.58,68.35,69.88,70.69,70.65,71.13
fuller h b co,FUL,2021-11-28,2022-02-26,1645848000.0,30.848274698704852,0.7179727475493412,0.6454013507448875,1.868058941512821,0.0722877368211962,74.62,72.9,73.9,68.58,68.35,69.88
fuller h b co,FUL,2021-08-29,2021-11-27,1597360000.0,17175.913978494624,547.1397849462365,0.6263074536849665,1.6572843862387188,-6.296353324608002,67.04,66.865,68.32,74.62,72.9,73.9
fuller h b co,FUL,2021-05-30,2021-08-28,1567856000.0,29.554864370676167,0.5959773040019605,0.6318093348663495,1.697055516573815,-0.015793779441010965,67.91,67.44,69.12,67.04,66.865,68.32
fuller h b co,FUL,2021-02-28,2021-05-29,1563212000.0,29.584435738753573,0.9292757243702569,0.6336445409073087,1.790692250089002,-0.014107915173485487,56.68,55.775,56.07,67.91,67.44,69.12
fuller h b co,FUL,2020-11-29,2021-02-27,1442163000.0,27.47395793644746,0.5675341004343519,0.6494286235186874,1.8946053198884285,-0.005588153115395363,53.4,52.98,53.73,56.68,55.775,56.07
fuller h b co,FUL,2020-08-30,2020-11-28,1381862000.0,26433.965873440968,776.7235442650547,0.6576756680697916,1.9236265684772849,-37.722855612518174,49.25,48.58,49.25,53.4,52.98,53.73
fuller h b co,FUL,2020-05-31,2020-08-29,1313908000.0,25204.450412430462,798.1392672165739,0.6700153827800764,2.1724874625633457,-32.309546291811536,37.89,37.0,37.62,49.25,48.58,49.25
fuller h b co,FUL,2020-03-01,2020-05-30,1218845000.0,23703.714507973553,614.7996888370284,0.6936851919800153,2.049511755686694,-28.343023915059522,38.59,38.41,39.23,37.89,37.0,37.62
fuller h b co,FUL,2019-12-01,2020-02-29,1222054000.0,23824.037430548786,192.90379179257238,0.6964041631037551,1.8925117105178395,-8.560814276396405,50.17,49.83,49.88,38.59,38.41,39.23
fuller h b co,FUL,2019-09-01,2019-11-30,1222789000.0,23.934486875844115,0.6307620035624107,0.6932085783948452,1.9060198429606183,-0.053485267551180514,42.45,42.45,42.61,50.17,49.83,49.88
fuller h b co,FUL,2019-06-02,2019-08-31,1176019000.0,23.086809713578987,0.9762657295981468,0.7083780202907097,2.3621518967977675,-0.05503227997690049,40.13,39.22,39.43,42.45,42.45,42.61
fuller h b co,FUL,2019-03-03,2019-06-01,1162989000.0,22.847609131271856,0.7198341911909159,0.7197525027326197,2.1422148631312115,,,,,40.13,39.22,39.43
fuller h b co,FUL,2018-12-02,2019-03-02,1174104000.0,23.134142496847414,0.24133039092055486,0.7181767120328365,2.0977489800815934,,,,,,,
fuller h b co,FUL,2018-09-02,2018-12-01,1152168000.0,22.719829626123996,0.8156846505758006,0.7240495287611272,1.9917344627492342,,,,,,,
fuller h b co,FUL,2018-06-03,2018-09-01,1127974000.0,22.277887501975037,0.745299415389477,0.7370553294495261,2.252248186697369,,,,,,,
fuller h b co,FUL,2018-03-04,2018-06-02,1130161000.0,22.35684754010801,0.8795869517912603,0.7395280413432261,2.242249329170927,,,,,,,
fuller h b co,FUL,2017-12-03,2018-03-03,1120388000.0,22.198648728973073,0.9444433437023241,0.7438558700591876,2.1373819638235974,,,,,,,
fuller h b co,FUL,2017-09-03,2017-12-02,1044020000.0,20.732782587973627,-0.1500913495909127,0.7605813450575901,2.2677015644279312,,,,,,,
fuller h b co,FUL,2017-06-04,2017-09-02,1032536000.0,20.49333121625913,0.498928231184503,0.5487804824755945,2.6275156534322925,,,,,,,
fuller h b co,FUL,2017-03-05,2017-06-03,991751000.0,19.64018932192649,0.5122583967046895,0.5492524438287529,2.613674430897932,,,,,,,
fuller h b co,FUL,2016-12-04,2017-03-04,949765000.0,18.903429333439483,0.2944688812371873,0.5621846949838845,2.559394092276645,,,,,,,
fuller h b co,FUL,2016-08-28,2016-12-03,942546000.0,18.78330011956955,0.7798724591470706,0.5420652650255994,2.070346872735068,,,,,,,
fuller h b co,FUL,2016-05-29,2016-08-27,961256000.0,19.125286007043233,0.6514991743101013,0.5379449940467979,2.094630269072904,,,,,,,
fuller h b co,FUL,2016-02-28,2016-05-28,928821000.0,18.52270415794197,0.6646923920630172,0.550594041441376,2.09236077635418,,,,,,,
fuller h b co,FUL,2015-11-29,2016-02-27,889789000.0,17.810741022458867,0.37867808959526,0.5602366586666772,2.086756039526651,,,,,,,
fuller h b co,FUL,2015-08-30,2015-11-28,877525000.0,17.500448716670324,0.49839459146840037,0.5703150247863633,2.2918274801516345,,,,,,,
fuller h b co,FUL,2015-05-31,2015-08-29,908485000.0,18.01798853652248,0.531663394220662,0.5608293959600471,2.4362416932922084,,,,,,,
fuller h b co,FUL,2015-03-01,2015-05-30,894921000.0,17.77576720627669,0.4999900685271626,0.571963578776894,2.2209131075110458,,,,,,,
fuller h b co,FUL,2014-11-29,2015-02-28,,,0.19347254323742727,,,,,,,,,
fuller h b co,FUL,2014-06-01,2014-08-30,955582.0,19.091403112700537,0.07965556510099295,0.5068009690748679,2.2788131677331727,,,,,,,
fuller h b co,FUL,2014-03-02,2014-05-31,959744000.0,19.211786372007367,0.41110176955721034,0.5105382200768558,2.257747922678064,,,,,,,
fuller h b co,FUL,2013-12-01,2014-03-01,938870000.0,18.81126026848327,0.2935083149669405,0.5082150974251313,2.2763391082078956,,,,,,,
fuller h b co,FUL,2013-09-01,2013-11-30,935178000.0,18.737662545833416,0.4385181029473642,0.5007132835173846,2.202723004174312,,,,,,,
fuller h b co,FUL,2013-06-02,2013-08-31,844418000.0,16.917796966722097,0.5663654759281149,0.5310047359514086,2.4053089064539166,,,,,,,
fuller h b co,FUL,2013-03-03,2013-06-01,820747000.0,16.436307199359167,0.5192550315410033,0.5373083338923801,2.4903400774314552,,,,,,,
fuller h b co,FUL,2012-12-02,2013-03-02,804660000.0,16.152317481984063,0.4150591163658992,0.5442078610634357,2.425825738106854,,,,,,,
fuller h b co,FUL,2012-09-02,2012-12-01,782679000.0,15.767103142626913,0.5058823529411764,0.5618483810291549,2.2830637583221707,,,,,,,
fuller h b co,FUL,2012-06-03,2012-09-01,797647000.0,16.072843411852418,1.5247143691941887,0.5436611483202674,2.2881715322409875,,,,,,,
fuller h b co,FUL,2012-03-04,2012-06-02,705201000.0,14.202871989043745,0.03899138000483364,0.5936384805143243,1.8425097020941525,,,,,,,
fuller h b co,FUL,2011-12-04,2012-03-03,731838000.0,14.825037982376177,0.3100374759444951,0.41716726781278646,2.324498206291322,,,,,,,
fuller h b co,FUL,2011-08-28,2011-12-03,709464000.0,14.497496781576313,0.539632588838711,0.4221236465644546,2.3397062572308176,,,,,,,
fuller h b co,FUL,2011-05-29,2011-08-27,752092000.0,15.348816326530612,0.4738775510204082,0.4149638908854434,2.3454024751968907,,,,,,,
fuller h b co,FUL,2011-02-27,2011-05-28,724143000.0,14.772097672426103,0.512555843414047,0.4206202459637447,2.3349484920339103,,,,,,,
fuller h b co,FUL,2010-11-28,2011-02-26,667201000.0,13.61467983512223,0.29284169285393624,0.43155059848124044,2.398848082749974,,,,,,,
