company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
genpact ltd,G,2023-10-01,2023-12-31,2248392000.0,-4856.452901915891,-629.2178758882865,0.5321418486705303,1.435209859082259,8.52250731721266,36.68,36.165,36.2,34.56,34.405,34.71
genpact ltd,G,2023-07-01,2023-09-30,2009453000.0,11.077475970121416,0.6482528487874499,0.5630458385312778,1.9097366792038064,-0.011671843966787889,38.04,37.49,37.57,36.68,36.165,36.2
genpact ltd,G,2023-04-01,2023-06-30,1932864000.0,10.548825747398961,0.634458549999702,0.568782377061981,1.876775068361671,-0.025819070478655403,45.76,45.42,46.22,36.87,36.65,37.8
genpact ltd,G,2023-01-01,2023-03-31,1925333000.0,10.475414281850052,0.5772777647911153,0.5727032332448186,1.835376337710847,-0.004846806367047419,46.3,45.91,46.32,45.71,45.39,45.52
genpact ltd,G,2022-10-01,2022-12-31,1826158000.0,-6735.6823806696,-330.8977305001162,0.6020413989322732,1.6128506572429964,8.358083556002981,44.23,43.74,43.77,46.3,45.91,46.32
genpact ltd,G,2022-07-01,2022-09-30,1731846000.0,9.44753140646598,0.5228408025828618,0.6182562900734283,1.0767046167769574,,42.21,41.741,42.36,43.95,43.715,44.14
genpact ltd,G,2022-03-31,2022-06-30,,,,,,,44.48,43.825,43.94,42.31,41.76,42.66
genpact ltd,G,2022-01-01,2022-03-31,1847394000.0,9.95160597054341,0.5181003676751654,0.628385980164831,1.4347882662687759,0.010150641409781216,53.84,53.05,53.18,44.48,43.825,43.94
genpact ltd,G,2021-10-01,2021-12-31,1897133000.0,-13265.27287347481,-511.03031150578613,0.6186873513773828,1.4682453635044594,26.34282899779164,48.25,47.48,47.51,53.84,53.05,53.18
genpact ltd,G,2021-07-01,2021-09-30,1952886000.0,10.39565267924916,0.5450237726204216,0.6132233447696247,1.5813214177946704,-0.0024207248043953966,45.39,45.07,45.43,47.77,47.53,47.93
genpact ltd,G,2021-04-01,2021-06-30,1838969000.0,9.81675802117385,0.5482530242797128,0.6245922552015467,1.5169588107473773,-0.004914958543708687,44.07,42.77,42.82,45.45,45.13,45.43
genpact ltd,G,2021-01-01,2021-03-31,1749624000.0,9.274439232773952,0.4838216051522938,0.6345756532476289,2.0286273701077824,-0.011537045316152064,41.3,40.96,41.36,44.08,43.49,44.03
genpact ltd,G,2020-10-01,2020-12-31,1834229000.0,9.680835827046849,0.3957458049042005,0.6236330958797073,1.454195616961408,-0.01232759421155151,38.7,38.7,38.95,41.21,41.12,41.23
genpact ltd,G,2020-07-01,2020-09-30,1777180000.0,9.307087205665292,0.44742288086519894,0.6300345696324328,1.6384363144813152,-0.04435939973929781,36.1,35.95,36.52,38.98,38.46,38.68
genpact ltd,G,2020-04-01,2020-06-30,1660614000.0,8.715251363973099,0.32623399539925096,0.6573288216511222,1.4931840637847575,0.05690291030472983,28.22,28.02,29.2,36.38,35.59,36.11
