company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
griffon corp,GFF,2023-10-01,2023-12-31,285022000.0,5.842530337815678,0.8645662512299115,0.8809090160793845,2.457640057291813,-0.06181826198051453,41.1,39.62,39.67,61.63,60.93,60.95
griffon corp,GFF,2023-07-01,2023-09-30,315244000.0,-595.9243856332703,-79.3289224952741,0.8696735140534106,2.730318057407928,6.394228177690045,40.68,40.225,40.3,41.1,39.62,39.67
griffon corp,GFF,2023-04-01,2023-06-30,335706000.0,6.418361884368308,0.9407502294279596,0.8694368226694383,2.9590089536310202,-0.09823522556774315,31.71,30.91,32.01,40.2,40.105,40.46
griffon corp,GFF,2023-01-01,2023-03-31,468311000.0,8.829725856932765,-1.1737810626343377,0.823953557610907,3.182393430681797,-0.011653458664670347,34.41,34.24,35.79,31.83,31.22,31.37
griffon corp,GFF,2022-10-01,2022-12-31,526848000.0,10.020122101979878,0.9262633370737366,0.8102978570795877,3.0260656656236646,-0.0506761610169879,29.41,29.37,29.52,34.41,34.24,35.79
griffon corp,GFF,2022-07-01,2022-09-30,477570000.0,3293.5862068965516,-2874.7034482758622,0.8304369221942045,2.867639802728653,-30.15475922169634,27.54,27.0406,28.03,29.07,28.6,29.39
griffon corp,GFF,2022-04-01,2022-06-30,906315000.0,17.518749758379403,2.711698302856922,0.7413655831006623,2.2570845742864973,-0.3659007577979969,20.4,19.94,20.03,27.83,27.36,27.99
griffon corp,GFF,2022-01-01,2022-03-31,883214000.0,17.094023380041804,1.2713671905241155,0.7667788128036191,2.82903085883186,0.6101358070211472,28.82,28.31,28.4,21.17,20.49,20.55
griffon corp,GFF,2021-10-01,2021-12-31,812385000.0,15.873715268279339,0.37707608738129667,0.685456508835761,2.640991892176477,-0.006768923203909615,24.86,24.48,24.6,28.82,28.31,28.4
griffon corp,GFF,2021-07-01,2021-09-30,807158000.0,15826.627450980392,311.6078431372549,0.6901130079069062,2.5699519972311884,-10.795172499379497,25.28,25.27,25.63,24.6,24.32,24.62
griffon corp,GFF,2021-04-01,2021-06-30,785341000.0,15.428186943795062,0.3282124825648783,0.691861576049874,2.630050356180476,-0.006028305024321677,27.41,27.09,27.17,25.85,25.43,25.49
griffon corp,GFF,2021-01-01,2021-03-31,764431000.0,15.036606475471105,0.3365986073409654,0.6971686976088232,2.5987897290519544,0.0032410024365896583,20.52,20.29,20.38,26.13,26.12,27.39
griffon corp,GFF,2020-10-01,2020-12-31,740047000.0,14.626591034864417,0.5830500434816982,0.7021275996269586,2.5611820106625367,-0.009294370436716045,19.77,19.29,19.54,20.31,20.2858,20.42
griffon corp,GFF,2020-07-01,2020-09-30,700151000.0,633.620814479638,18.181900452488687,0.714924204514871,2.4784906265164297,3.9311222936915367,17.84,17.84,18.52,20.17,19.68,19.68
griffon corp,GFF,2020-04-01,2020-06-30,508455000.0,12.189657652474109,0.5233745684695051,0.779910571287583,2.2650520094183246,-0.19071682856327835,13.03,12.44,12.65,17.7,17.62,18.03
griffon corp,GFF,2020-01-01,2020-03-31,476454000.0,11.462865391555395,0.021532539396126548,0.7945209201348832,2.592774850175656,0.07146920557874362,20.08,20.065,20.33,12.34,11.95,13.3
griffon corp,GFF,2019-10-01,2019-12-31,494693000.0,12.014985548781969,0.257741723945304,0.7808961990466835,2.434819091351339,0.04050022144346029,20.81,20.72,20.97,20.38,20.0,20.14
griffon corp,GFF,2019-07-01,2019-09-30,477763000.0,10386.152173913044,349.89130434782606,0.7697460021716301,2.371651811463244,-90.53283213290574,16.54,16.53,16.92,20.61,20.2,20.42
griffon corp,GFF,2019-04-01,2019-06-30,488165000.0,11.916054385236897,0.3318524666194742,0.7688020463575187,2.6178498488685564,,,,,16.54,16.53,16.92
griffon corp,GFF,2019-01-01,2019-03-31,474284000.0,11.582309702312633,-0.028230237612640114,0.7787759549383649,2.701114740130645,,,,,,,
griffon corp,GFF,2018-10-01,2018-12-31,471561000.0,11.572049079754601,0.21479754601226994,0.7727185752382532,2.4954454378151167,,,,,,,
griffon corp,GFF,2018-04-01,2018-06-30,466087000.0,11.56686933862762,0.1446085122223601,0.7782281644288228,2.2576637065915817,,,,,,,
griffon corp,GFF,2018-01-01,2018-03-31,474018000.0,11.428454324083226,2.176628010704728,0.772249075097295,2.451978483258988,,,,,,,
griffon corp,GFF,2017-10-01,2017-12-31,434813000.0,10.37170526918398,0.7391885122724996,0.8005916033597568,2.9192360196383667,,,,,,,
griffon corp,GFF,2017-07-01,2017-09-30,398808000.0,1661.7,-49.791666666666664,0.7871367640206433,2.959286297526942,,,,,,,
griffon corp,GFF,2017-04-01,2017-06-30,394088000.0,9.454405872897825,0.22918216059304752,0.7816061442529523,2.7196070766982205,,,,,,,
griffon corp,GFF,2017-01-01,2017-03-31,377925000.0,9.155825277999854,0.12222302977445067,0.78707071162357,2.818515733141506,,,,,,,
griffon corp,GFF,2016-10-01,2016-12-31,389021000.0,9.889693919056334,0.31177547284929835,0.7770894728307364,2.6484245148095957,,,,,,,
griffon corp,GFF,2016-07-01,2016-09-30,410947000.0,-1684.2090163934427,-31.651639344262296,0.7694024339878436,2.45381335562098,,,,,,,
griffon corp,GFF,2016-04-01,2016-06-30,420027000.0,10.35620592731397,0.18728734158489077,0.7639821739328325,2.7319685386904453,,,,,,,
griffon corp,GFF,2016-01-01,2016-03-31,425381000.0,10.268454593733404,0.14712982185101145,0.7608222369911061,2.8031565087465884,,,,,,,
