company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
global industrial co,GIC,2023-10-01,2023-12-31,255200000.0,,,0.5029216984807168,1.8932261768082663,,34.5,33.2108,33.5,39.19,38.75,38.84
global industrial co,GIC,2023-07-01,2023-09-30,246200000.0,6.4619422572178475,0.5406824146981627,0.5335354300871542,1.7328205128205127,-0.044244469441319836,28.0,27.715,27.77,34.5,33.2108,33.5
global industrial co,GIC,2023-04-01,2023-06-30,231800000.0,6.083989501312336,0.5616797900262467,0.5815884476534297,1.5538261997405967,0.03280839895013123,26.24,26.235,26.84,27.65,27.56,27.69
global industrial co,GIC,2023-01-01,2023-03-31,217000000.0,5.695538057742782,0.3464566929133858,0.529896013864818,2.1527599486521183,-0.008712146275833168,23.8,23.46,23.53,26.37,25.99,26.06
global industrial co,GIC,2022-10-01,2022-12-31,210400000.0,,,0.5377855887521968,2.1273677335075116,,26.63,26.31,26.83,23.8,23.46,23.53
global industrial co,GIC,2022-07-01,2022-09-30,202000000.0,5.315789473684211,0.531578947368421,0.5741989881956155,1.9228206551915603,-0.020946694274570233,32.79,32.65,33.77,26.92,26.24,26.52
global industrial co,GIC,2022-04-01,2022-06-30,187700000.0,4.939473684210526,0.5921052631578947,0.6286110011871785,1.695989061075661,-0.0015313935681470138,32.65,32.2,32.23,32.98,32.525,33.34
global industrial co,GIC,2022-01-01,2022-03-31,170800000.0,4.506596306068602,0.5725593667546174,0.6173835125448028,1.6658619024625785,0.00927832062396706,40.95,40.29,40.5,33.4,32.66,32.81
global industrial co,GIC,2021-07-01,2021-09-30,153300000.0,4.055555555555555,0.6111111111111112,0.6433224755700325,1.6035856573705178,-0.003400947055214013,36.56,36.415,36.71,38.28,38.14,38.55
global industrial co,GIC,2021-04-01,2021-06-30,134500000.0,3.5676392572944295,0.583554376657825,0.6660873882820258,1.535995796111403,,,,,36.48,36.3,36.7
