company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
gladstone commercial corp,GOOD,2023-10-01,2023-12-31,324307000.0,92474.19446820645,377.8157969774736,0.7138815196859911,1.4007926699655446,-513.8290280236603,12.51,12.08,12.16,13.42,13.2308,13.24
gladstone commercial corp,GOOD,2023-07-01,2023-09-30,346627000.0,8.683477213722783,-0.035547877592549425,0.7030157065550792,1.4224433261956615,-0.0387437320942325,12.69,12.245,12.37,12.51,12.08,12.16
gladstone commercial corp,GOOD,2023-04-01,2023-06-30,353764000.0,8.84881774718191,-0.19222748608420578,0.7006908163308473,1.4271629892860291,-0.012815078956623547,12.49,12.386,12.63,12.29,12.2893,12.53
gladstone commercial corp,GOOD,2023-01-01,2023-03-31,362564000.0,9.08172786082105,0.001026993419902867,0.6949341931445092,1.1933049183949074,-0.01730410606099837,18.52,18.32,18.5,12.42,12.24,12.36
gladstone commercial corp,GOOD,2022-10-01,2022-12-31,374626000.0,1649.223210787443,-5.551324437713788,0.6882037504504752,1.4530580505343562,-1.9857269320116135,15.51,15.42,15.5,18.52,18.32,18.5
gladstone commercial corp,GOOD,2022-07-01,2022-09-30,387647000.0,9.812672071149752,-0.015188053158388561,0.679542651372112,1.4715779767183563,-0.002888676058680583,18.56,18.42,18.84,15.72,15.09,15.25
gladstone commercial corp,GOOD,2022-04-01,2022-06-30,384156000.0,9.914790398565252,-0.0386881131817525,0.6780965804109138,1.4747161818660386,0.02738710076488316,22.05,22.01,22.02,18.83,18.49,18.69
gladstone commercial corp,GOOD,2022-01-01,2022-03-31,384831000.0,10.153141522837466,0.008495447535031387,0.6666424118315086,1.5000545753646803,0.0019344354538028002,25.45,25.0027,25.52,22.22,21.87,21.98
gladstone commercial corp,GOOD,2021-10-01,2021-12-31,372823000.0,,,0.673921067177912,1.4838533007842665,,21.32,21.0,21.03,25.45,25.0027,25.52
gladstone commercial corp,GOOD,2021-04-01,2021-06-30,375002000.0,10.303734050557324,-0.08330868006381247,0.6557163632090369,1.525049634427391,-0.0031581363833696687,19.88,19.55,19.56,22.44,22.3,22.39
gladstone commercial corp,GOOD,2021-01-01,2021-03-31,372449000.0,10.42862418483542,-0.08274041403303183,0.6577834377581332,1.5202571889134424,-0.018464788437957506,17.93,17.7109,18.0,19.5,19.466,19.805
gladstone commercial corp,GOOD,2020-10-01,2020-12-31,375323000.0,2404.714309511911,37.1096503030536,0.6581471307249788,1.5194170927987711,5.586651243414699,17.15,16.76,16.85,17.87,17.79,17.84
